solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.080000
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.252823
TREX-DA+BT: TLARS,TPR,1.000000,0.205000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.404715
TREX-DA+BT: TLARS,Avg_L,1.000000,1.690000
TREX-DA+BT: TLARS,Avg_T,1.000000,8.200000
TREX-DA+BT: TLARS,FDR,3.000000,0.133250
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.249139
TREX-DA+BT: TLARS,TPR,3.000000,0.595000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.398037
TREX-DA+BT: TLARS,Avg_L,3.000000,2.095000
TREX-DA+BT: TLARS,Avg_T,3.000000,23.390000
TREX-DA+BT: TLARS,FDR,5.000000,0.136506
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.162693
TREX-DA+BT: TLARS,TPR,5.000000,0.726000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.225339
TREX-DA+BT: TLARS,Avg_L,5.000000,1.600000
TREX-DA+BT: TLARS,Avg_T,5.000000,23.710000
TREX-DA+BT: TLARS,FDR,10.000000,0.190570
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.154331
TREX-DA+BT: TLARS,TPR,10.000000,0.619000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.192417
TREX-DA+BT: TLARS,Avg_L,10.000000,1.635000
TREX-DA+BT: TLARS,Avg_T,10.000000,19.175000
TREX-DA+BT: TLARS,FDR,15.000000,0.238815
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.167155
TREX-DA+BT: TLARS,TPR,15.000000,0.400333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.194681
TREX-DA+BT: TLARS,Avg_L,15.000000,2.135000
TREX-DA+BT: TLARS,Avg_T,15.000000,12.640000
TREX-DA+BT: TLARS,FDR,20.000000,0.234338
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.218654
TREX-DA+BT: TLARS,TPR,20.000000,0.202250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.147108
TREX-DA+BT: TLARS,Avg_L,20.000000,2.400000
TREX-DA+BT: TLARS,Avg_T,20.000000,10.300000
TREX-DA+BT: TLARS,FDR,30.000000,0.212638
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.260667
TREX-DA+BT: TLARS,TPR,30.000000,0.076333
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.079613
TREX-DA+BT: TLARS,Avg_L,30.000000,2.760000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.900000
TREX-DA+BT: TAFS,FDR,1.000000,0.025000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.156517
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.025000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.040000
TREX-DA+BT: TAFS,FDR,3.000000,0.169083
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.263303
TREX-DA+BT: TAFS,TPR,3.000000,0.348333
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.299446
TREX-DA+BT: TAFS,Avg_L,3.000000,1.745000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.505000
TREX-DA+BT: TAFS,FDR,5.000000,0.082738
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.134118
TREX-DA+BT: TAFS,TPR,5.000000,0.791000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.222636
TREX-DA+BT: TAFS,Avg_L,5.000000,1.730000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.585000
TREX-DA+BT: TAFS,FDR,10.000000,0.111761
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.118249
TREX-DA+BT: TAFS,TPR,10.000000,0.736500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.187868
TREX-DA+BT: TAFS,Avg_L,10.000000,1.635000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.425000
TREX-DA+BT: TAFS,FDR,15.000000,0.159334
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.150360
TREX-DA+BT: TAFS,TPR,15.000000,0.438333
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.205392
TREX-DA+BT: TAFS,Avg_L,15.000000,2.225000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.110000
TREX-DA+BT: TAFS,FDR,20.000000,0.177537
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.221963
TREX-DA+BT: TAFS,TPR,20.000000,0.157500
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.131167
TREX-DA+BT: TAFS,Avg_L,20.000000,2.630000
TREX-DA+BT: TAFS,Avg_T,20.000000,6.020000
TREX-DA+BT: TAFS,FDR,30.000000,0.160540
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.252516
TREX-DA+BT: TAFS,TPR,30.000000,0.048667
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.063742
TREX-DA+BT: TAFS,Avg_L,30.000000,2.745000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.395000
TREX-DA+BT: TOMP,FDR,1.000000,0.000000
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.000000
TREX-DA+BT: TOMP,TPR,1.000000,0.265000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.442441
TREX-DA+BT: TOMP,Avg_L,1.000000,1.800000
TREX-DA+BT: TOMP,Avg_T,1.000000,5.775000
TREX-DA+BT: TOMP,FDR,3.000000,0.004167
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.034191
TREX-DA+BT: TOMP,TPR,3.000000,0.801667
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.392699
TREX-DA+BT: TOMP,Avg_L,3.000000,2.325000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.940000
TREX-DA+BT: TOMP,FDR,5.000000,0.028417
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.075979
TREX-DA+BT: TOMP,TPR,5.000000,0.910000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.174506
TREX-DA+BT: TOMP,Avg_L,5.000000,1.885000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.880000
TREX-DA+BT: TOMP,FDR,10.000000,0.102812
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.117562
TREX-DA+BT: TOMP,TPR,10.000000,0.744500
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.191187
TREX-DA+BT: TOMP,Avg_L,10.000000,1.580000
TREX-DA+BT: TOMP,Avg_T,10.000000,6.690000
TREX-DA+BT: TOMP,FDR,15.000000,0.142246
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.146304
TREX-DA+BT: TOMP,TPR,15.000000,0.411000
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.196198
TREX-DA+BT: TOMP,Avg_L,15.000000,2.220000
TREX-DA+BT: TOMP,Avg_T,15.000000,6.305000
TREX-DA+BT: TOMP,FDR,20.000000,0.168484
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.251130
TREX-DA+BT: TOMP,TPR,20.000000,0.127750
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.119326
TREX-DA+BT: TOMP,Avg_L,20.000000,2.705000
TREX-DA+BT: TOMP,Avg_T,20.000000,6.220000
TREX-DA+BT: TOMP,FDR,30.000000,0.150649
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.266333
TREX-DA+BT: TOMP,TPR,30.000000,0.037000
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.052497
TREX-DA+BT: TOMP,Avg_L,30.000000,3.010000
TREX-DA+BT: TOMP,Avg_T,30.000000,6.590000
