solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.070000
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.245768
TREX-DA+BT: TLARS,TPR,1.000000,0.200000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.401004
TREX-DA+BT: TLARS,Avg_L,1.000000,1.700000
TREX-DA+BT: TLARS,Avg_T,1.000000,8.160000
TREX-DA+BT: TLARS,FDR,3.000000,0.119583
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.246638
TREX-DA+BT: TLARS,TPR,3.000000,0.461667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.414259
TREX-DA+BT: TLARS,Avg_L,3.000000,1.915000
TREX-DA+BT: TLARS,Avg_T,3.000000,23.555000
TREX-DA+BT: TLARS,FDR,5.000000,0.134857
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.200166
TREX-DA+BT: TLARS,TPR,5.000000,0.650000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.281953
TREX-DA+BT: TLARS,Avg_L,5.000000,1.625000
TREX-DA+BT: TLARS,Avg_T,5.000000,30.480000
TREX-DA+BT: TLARS,FDR,10.000000,0.140742
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.153296
TREX-DA+BT: TLARS,TPR,10.000000,0.558000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.207246
TREX-DA+BT: TLARS,Avg_L,10.000000,1.755000
TREX-DA+BT: TLARS,Avg_T,10.000000,25.735000
TREX-DA+BT: TLARS,FDR,15.000000,0.208599
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.169719
TREX-DA+BT: TLARS,TPR,15.000000,0.369333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.175919
TREX-DA+BT: TLARS,Avg_L,15.000000,2.365000
TREX-DA+BT: TLARS,Avg_T,15.000000,17.230000
TREX-DA+BT: TLARS,FDR,20.000000,0.224608
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.231054
TREX-DA+BT: TLARS,TPR,20.000000,0.177250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.146208
TREX-DA+BT: TLARS,Avg_L,20.000000,2.465000
TREX-DA+BT: TLARS,Avg_T,20.000000,11.470000
TREX-DA+BT: TLARS,FDR,30.000000,0.165529
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.229403
TREX-DA+BT: TLARS,TPR,30.000000,0.070167
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.080159
TREX-DA+BT: TLARS,Avg_L,30.000000,2.785000
TREX-DA+BT: TLARS,Avg_T,30.000000,7.495000
TREX-DA+BT: TAFS,FDR,1.000000,0.045000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.207824
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.065000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.080000
TREX-DA+BT: TAFS,FDR,3.000000,0.147000
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.269850
TREX-DA+BT: TAFS,TPR,3.000000,0.241667
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.289279
TREX-DA+BT: TAFS,Avg_L,3.000000,1.610000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.715000
TREX-DA+BT: TAFS,FDR,5.000000,0.079250
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.134858
TREX-DA+BT: TAFS,TPR,5.000000,0.752000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.229695
TREX-DA+BT: TAFS,Avg_L,5.000000,1.820000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.760000
TREX-DA+BT: TAFS,FDR,10.000000,0.098986
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.114557
TREX-DA+BT: TAFS,TPR,10.000000,0.731500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.189572
TREX-DA+BT: TAFS,Avg_L,10.000000,1.720000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.900000
TREX-DA+BT: TAFS,FDR,15.000000,0.143900
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.127485
TREX-DA+BT: TAFS,TPR,15.000000,0.419000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.195811
TREX-DA+BT: TAFS,Avg_L,15.000000,2.340000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.390000
TREX-DA+BT: TAFS,FDR,20.000000,0.161815
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.204883
TREX-DA+BT: TAFS,TPR,20.000000,0.149250
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.126856
TREX-DA+BT: TAFS,Avg_L,20.000000,2.605000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.525000
TREX-DA+BT: TAFS,FDR,30.000000,0.129760
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.227081
TREX-DA+BT: TAFS,TPR,30.000000,0.045667
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.063520
TREX-DA+BT: TAFS,Avg_L,30.000000,2.765000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.235000
TREX-DA+BT: TOMP,FDR,1.000000,0.000000
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.000000
TREX-DA+BT: TOMP,TPR,1.000000,0.260000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.439735
TREX-DA+BT: TOMP,Avg_L,1.000000,1.800000
TREX-DA+BT: TOMP,Avg_T,1.000000,5.800000
TREX-DA+BT: TOMP,FDR,3.000000,0.002917
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.029392
TREX-DA+BT: TOMP,TPR,3.000000,0.743333
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.428872
TREX-DA+BT: TOMP,Avg_L,3.000000,2.285000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.950000
TREX-DA+BT: TOMP,FDR,5.000000,0.024083
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.072402
TREX-DA+BT: TOMP,TPR,5.000000,0.892000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.212985
TREX-DA+BT: TOMP,Avg_L,5.000000,1.900000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.940000
TREX-DA+BT: TOMP,FDR,10.000000,0.093010
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.123720
TREX-DA+BT: TOMP,TPR,10.000000,0.740500
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.200276
TREX-DA+BT: TOMP,Avg_L,10.000000,1.635000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.285000
TREX-DA+BT: TOMP,FDR,15.000000,0.148283
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.152304
TREX-DA+BT: TOMP,TPR,15.000000,0.391000
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.198450
TREX-DA+BT: TOMP,Avg_L,15.000000,2.250000
TREX-DA+BT: TOMP,Avg_T,15.000000,6.230000
TREX-DA+BT: TOMP,FDR,20.000000,0.169030
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.240450
TREX-DA+BT: TOMP,TPR,20.000000,0.122750
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.116459
TREX-DA+BT: TOMP,Avg_L,20.000000,2.575000
TREX-DA+BT: TOMP,Avg_T,20.000000,6.080000
TREX-DA+BT: TOMP,FDR,30.000000,0.140946
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.258145
TREX-DA+BT: TOMP,TPR,30.000000,0.034667
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.049095
TREX-DA+BT: TOMP,Avg_L,30.000000,2.900000
TREX-DA+BT: TOMP,Avg_T,30.000000,6.430000
