solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.057500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.213710
TREX-DA+BT: TLARS,TPR,1.000000,0.190000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.393285
TREX-DA+BT: TLARS,Avg_L,1.000000,1.660000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.545000
TREX-DA+BT: TLARS,FDR,3.000000,0.101500
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.198699
TREX-DA+BT: TLARS,TPR,3.000000,0.638333
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.389387
TREX-DA+BT: TLARS,Avg_L,3.000000,2.095000
TREX-DA+BT: TLARS,Avg_T,3.000000,21.820000
TREX-DA+BT: TLARS,FDR,5.000000,0.143452
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.186002
TREX-DA+BT: TLARS,TPR,5.000000,0.724000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.250876
TREX-DA+BT: TLARS,Avg_L,5.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,5.000000,27.780000
TREX-DA+BT: TLARS,FDR,10.000000,0.186000
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.172314
TREX-DA+BT: TLARS,TPR,10.000000,0.594000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.207556
TREX-DA+BT: TLARS,Avg_L,10.000000,1.520000
TREX-DA+BT: TLARS,Avg_T,10.000000,19.405000
TREX-DA+BT: TLARS,FDR,15.000000,0.192431
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.170695
TREX-DA+BT: TLARS,TPR,15.000000,0.423333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.200919
TREX-DA+BT: TLARS,Avg_L,15.000000,2.095000
TREX-DA+BT: TLARS,Avg_T,15.000000,15.805000
TREX-DA+BT: TLARS,FDR,20.000000,0.242009
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.218817
TREX-DA+BT: TLARS,TPR,20.000000,0.229250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.171915
TREX-DA+BT: TLARS,Avg_L,20.000000,2.360000
TREX-DA+BT: TLARS,Avg_T,20.000000,9.190000
TREX-DA+BT: TLARS,FDR,30.000000,0.227923
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.255121
TREX-DA+BT: TLARS,TPR,30.000000,0.091167
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.097797
TREX-DA+BT: TLARS,Avg_L,30.000000,2.740000
TREX-DA+BT: TLARS,Avg_T,30.000000,7.305000
TREX-DA+BT: TAFS,FDR,1.000000,0.040000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.196451
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.055000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.095000
TREX-DA+BT: TAFS,FDR,3.000000,0.168250
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.278885
TREX-DA+BT: TAFS,TPR,3.000000,0.330000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.304425
TREX-DA+BT: TAFS,Avg_L,3.000000,1.800000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.620000
TREX-DA+BT: TAFS,FDR,5.000000,0.094262
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.143179
TREX-DA+BT: TAFS,TPR,5.000000,0.764000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.230150
TREX-DA+BT: TAFS,Avg_L,5.000000,1.810000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.510000
TREX-DA+BT: TAFS,FDR,10.000000,0.089165
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.100590
TREX-DA+BT: TAFS,TPR,10.000000,0.737000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.218563
TREX-DA+BT: TAFS,Avg_L,10.000000,1.570000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.535000
TREX-DA+BT: TAFS,FDR,15.000000,0.143689
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.140007
TREX-DA+BT: TAFS,TPR,15.000000,0.520667
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.243590
TREX-DA+BT: TAFS,Avg_L,15.000000,2.220000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.890000
TREX-DA+BT: TAFS,FDR,20.000000,0.190550
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.213082
TREX-DA+BT: TAFS,TPR,20.000000,0.221500
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.168388
TREX-DA+BT: TAFS,Avg_L,20.000000,2.625000
TREX-DA+BT: TAFS,Avg_T,20.000000,6.215000
