solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.057500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.219510
TREX-DA+BT: TLARS,TPR,1.000000,0.205000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.404715
TREX-DA+BT: TLARS,Avg_L,1.000000,1.715000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.870000
TREX-DA+BT: TLARS,FDR,3.000000,0.111833
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.194577
TREX-DA+BT: TLARS,TPR,3.000000,0.641667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.383841
TREX-DA+BT: TLARS,Avg_L,3.000000,2.085000
TREX-DA+BT: TLARS,Avg_T,3.000000,22.080000
TREX-DA+BT: TLARS,FDR,5.000000,0.154286
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.193860
TREX-DA+BT: TLARS,TPR,5.000000,0.741000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.244577
TREX-DA+BT: TLARS,Avg_L,5.000000,1.715000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.865000
TREX-DA+BT: TLARS,FDR,10.000000,0.198848
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.160212
TREX-DA+BT: TLARS,TPR,10.000000,0.617500
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.211346
TREX-DA+BT: TLARS,Avg_L,10.000000,1.715000
TREX-DA+BT: TLARS,Avg_T,10.000000,19.140000
TREX-DA+BT: TLARS,FDR,15.000000,0.213231
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.166251
TREX-DA+BT: TLARS,TPR,15.000000,0.459667
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.192012
TREX-DA+BT: TLARS,Avg_L,15.000000,2.175000
TREX-DA+BT: TLARS,Avg_T,15.000000,13.425000
TREX-DA+BT: TLARS,FDR,20.000000,0.257432
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.218883
TREX-DA+BT: TLARS,TPR,20.000000,0.241750
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.166683
TREX-DA+BT: TLARS,Avg_L,20.000000,2.425000
TREX-DA+BT: TLARS,Avg_T,20.000000,9.175000
TREX-DA+BT: TLARS,FDR,30.000000,0.238482
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.270581
TREX-DA+BT: TLARS,TPR,30.000000,0.086167
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.095299
TREX-DA+BT: TLARS,Avg_L,30.000000,2.595000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.725000
TREX-DA+BT: TAFS,FDR,1.000000,0.040000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.196451
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.115000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.195000
TREX-DA+BT: TAFS,FDR,3.000000,0.165917
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.260461
TREX-DA+BT: TAFS,TPR,3.000000,0.355000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.297162
TREX-DA+BT: TAFS,Avg_L,3.000000,1.810000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.720000
TREX-DA+BT: TAFS,FDR,5.000000,0.082917
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.123116
TREX-DA+BT: TAFS,TPR,5.000000,0.789000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.206622
TREX-DA+BT: TAFS,Avg_L,5.000000,1.805000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.505000
TREX-DA+BT: TAFS,FDR,10.000000,0.098765
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.098896
TREX-DA+BT: TAFS,TPR,10.000000,0.756500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.200396
TREX-DA+BT: TAFS,Avg_L,10.000000,1.620000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.585000
TREX-DA+BT: TAFS,FDR,15.000000,0.131786
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.126356
TREX-DA+BT: TAFS,TPR,15.000000,0.501333
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.245287
TREX-DA+BT: TAFS,Avg_L,15.000000,2.030000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.450000
TREX-DA+BT: TAFS,FDR,20.000000,0.197406
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.224350
TREX-DA+BT: TAFS,TPR,20.000000,0.212750
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.174506
TREX-DA+BT: TAFS,Avg_L,20.000000,2.555000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.560000
TREX-DA+BT: TAFS,FDR,30.000000,0.168137
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.270809
TREX-DA+BT: TAFS,TPR,30.000000,0.050833
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.065308
TREX-DA+BT: TAFS,Avg_L,30.000000,2.795000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.295000
TREX-DA+BT: TOMP,FDR,1.000000,0.000000
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.000000
TREX-DA+BT: TOMP,TPR,1.000000,0.265000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.442441
TREX-DA+BT: TOMP,Avg_L,1.000000,1.795000
TREX-DA+BT: TOMP,Avg_T,1.000000,5.755000
TREX-DA+BT: TOMP,FDR,3.000000,0.027917
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.112791
TREX-DA+BT: TOMP,TPR,3.000000,0.783333
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.395042
TREX-DA+BT: TOMP,Avg_L,3.000000,2.305000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.830000
TREX-DA+BT: TOMP,FDR,5.000000,0.031262
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.076625
TREX-DA+BT: TOMP,TPR,5.000000,0.928000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.144640
TREX-DA+BT: TOMP,Avg_L,5.000000,1.960000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.860000
TREX-DA+BT: TOMP,FDR,10.000000,0.085362
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.100990
TREX-DA+BT: TOMP,TPR,10.000000,0.766500
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.206010
TREX-DA+BT: TOMP,Avg_L,10.000000,1.510000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.075000
TREX-DA+BT: TOMP,FDR,15.000000,0.138919
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.142817
TREX-DA+BT: TOMP,TPR,15.000000,0.474333
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.252927
TREX-DA+BT: TOMP,Avg_L,15.000000,2.105000
TREX-DA+BT: TOMP,Avg_T,15.000000,6.585000
TREX-DA+BT: TOMP,FDR,20.000000,0.177177
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.207417
TREX-DA+BT: TOMP,TPR,20.000000,0.188250
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.153271
TREX-DA+BT: TOMP,Avg_L,20.000000,2.715000
TREX-DA+BT: TOMP,Avg_T,20.000000,6.360000
TREX-DA+BT: TOMP,FDR,30.000000,0.165012
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.295920
TREX-DA+BT: TOMP,TPR,30.000000,0.040000
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.047729
TREX-DA+BT: TOMP,Avg_L,30.000000,3.055000
TREX-DA+BT: TOMP,Avg_T,30.000000,6.550000
