solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.057500
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.225160
TREX-DA+BT: TLARS,TPR,1.000000,0.180000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.385152
TREX-DA+BT: TLARS,Avg_L,1.000000,1.665000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.820000
TREX-DA+BT: TLARS,FDR,3.000000,0.089583
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.205477
TREX-DA+BT: TLARS,TPR,3.000000,0.536667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.407619
TREX-DA+BT: TLARS,Avg_L,3.000000,2.060000
TREX-DA+BT: TLARS,Avg_T,3.000000,24.715000
TREX-DA+BT: TLARS,FDR,5.000000,0.118417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.191350
TREX-DA+BT: TLARS,TPR,5.000000,0.697000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.257532
TREX-DA+BT: TLARS,Avg_L,5.000000,1.775000
TREX-DA+BT: TLARS,Avg_T,5.000000,31.890000
TREX-DA+BT: TLARS,FDR,10.000000,0.136308
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.162881
TREX-DA+BT: TLARS,TPR,10.000000,0.583000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.215507
TREX-DA+BT: TLARS,Avg_L,10.000000,1.820000
TREX-DA+BT: TLARS,Avg_T,10.000000,30.405000
TREX-DA+BT: TLARS,FDR,15.000000,0.177768
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.179886
TREX-DA+BT: TLARS,TPR,15.000000,0.412333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.184258
TREX-DA+BT: TLARS,Avg_L,15.000000,2.285000
TREX-DA+BT: TLARS,Avg_T,15.000000,18.280000
TREX-DA+BT: TLARS,FDR,20.000000,0.209551
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.209987
TREX-DA+BT: TLARS,TPR,20.000000,0.213500
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.157773
TREX-DA+BT: TLARS,Avg_L,20.000000,2.480000
TREX-DA+BT: TLARS,Avg_T,20.000000,8.995000
TREX-DA+BT: TLARS,FDR,30.000000,0.207913
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.267932
TREX-DA+BT: TLARS,TPR,30.000000,0.075833
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.089038
TREX-DA+BT: TLARS,Avg_L,30.000000,2.810000
TREX-DA+BT: TLARS,Avg_T,30.000000,8.645000
TREX-DA+BT: TAFS,FDR,1.000000,0.040000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.196451
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.085000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.135000
TREX-DA+BT: TAFS,FDR,3.000000,0.132083
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.256174
TREX-DA+BT: TAFS,TPR,3.000000,0.263333
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.286666
TREX-DA+BT: TAFS,Avg_L,3.000000,1.660000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.890000
TREX-DA+BT: TAFS,FDR,5.000000,0.076190
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.143480
TREX-DA+BT: TAFS,TPR,5.000000,0.756000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.228748
TREX-DA+BT: TAFS,Avg_L,5.000000,1.840000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.730000
TREX-DA+BT: TAFS,FDR,10.000000,0.099757
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.118665
TREX-DA+BT: TAFS,TPR,10.000000,0.743500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.211617
TREX-DA+BT: TAFS,Avg_L,10.000000,1.615000
TREX-DA+BT: TAFS,Avg_T,10.000000,7.095000
TREX-DA+BT: TAFS,FDR,15.000000,0.131046
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.131656
TREX-DA+BT: TAFS,TPR,15.000000,0.481667
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.254885
TREX-DA+BT: TAFS,Avg_L,15.000000,2.205000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.400000
TREX-DA+BT: TAFS,FDR,20.000000,0.195539
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.232636
TREX-DA+BT: TAFS,TPR,20.000000,0.215500
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.177319
TREX-DA+BT: TAFS,Avg_L,20.000000,2.565000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.955000
TREX-DA+BT: TAFS,FDR,30.000000,0.164498
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.265793
TREX-DA+BT: TAFS,TPR,30.000000,0.051500
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.062499
TREX-DA+BT: TAFS,Avg_L,30.000000,2.820000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.470000
TREX-DA+BT: TOMP,FDR,1.000000,0.002500
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.035355
TREX-DA+BT: TOMP,TPR,1.000000,0.265000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.442441
TREX-DA+BT: TOMP,Avg_L,1.000000,1.790000
TREX-DA+BT: TOMP,Avg_T,1.000000,5.770000
TREX-DA+BT: TOMP,FDR,3.000000,0.015000
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.078263
TREX-DA+BT: TOMP,TPR,3.000000,0.740000
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.422906
TREX-DA+BT: TOMP,Avg_L,3.000000,2.305000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.895000
TREX-DA+BT: TOMP,FDR,5.000000,0.022500
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.067307
TREX-DA+BT: TOMP,TPR,5.000000,0.924000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.148100
TREX-DA+BT: TOMP,Avg_L,5.000000,1.930000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.785000
TREX-DA+BT: TOMP,FDR,10.000000,0.083882
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.113561
TREX-DA+BT: TOMP,TPR,10.000000,0.758500
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.212020
TREX-DA+BT: TOMP,Avg_L,10.000000,1.510000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.140000
TREX-DA+BT: TOMP,FDR,15.000000,0.133639
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.138426
TREX-DA+BT: TOMP,TPR,15.000000,0.455667
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.252538
TREX-DA+BT: TOMP,Avg_L,15.000000,2.160000
TREX-DA+BT: TOMP,Avg_T,15.000000,6.810000
TREX-DA+BT: TOMP,FDR,20.000000,0.174210
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.211393
TREX-DA+BT: TOMP,TPR,20.000000,0.172250
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.153493
TREX-DA+BT: TOMP,Avg_L,20.000000,2.580000
TREX-DA+BT: TOMP,Avg_T,20.000000,6.330000
TREX-DA+BT: TOMP,FDR,30.000000,0.167524
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.300231
TREX-DA+BT: TOMP,TPR,30.000000,0.038500
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.046556
TREX-DA+BT: TOMP,Avg_L,30.000000,3.045000
