solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.156643
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.203442
TREX-DA+BT: TLARS,TPR,5.000000,0.696000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.255166
TREX-DA+BT: TLARS,Avg_L,5.000000,1.675000
TREX-DA+BT: TLARS,Avg_T,5.000000,27.615000
TREX-DA+BT: TLARS,FDR,10.000000,0.160679
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.188292
TREX-DA+BT: TLARS,TPR,10.000000,0.753000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.241418
TREX-DA+BT: TLARS,Avg_L,10.000000,1.780000
TREX-DA+BT: TLARS,Avg_T,10.000000,31.005000
TREX-DA+BT: TLARS,FDR,15.000000,0.157431
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.202277
TREX-DA+BT: TLARS,TPR,15.000000,0.713000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.264159
TREX-DA+BT: TLARS,Avg_L,15.000000,1.695000
TREX-DA+BT: TLARS,Avg_T,15.000000,35.795000
TREX-DA+BT: TLARS,FDR,20.000000,0.164333
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.185023
TREX-DA+BT: TLARS,TPR,20.000000,0.731000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.262648
TREX-DA+BT: TLARS,Avg_L,20.000000,1.840000
TREX-DA+BT: TLARS,Avg_T,20.000000,31.010000
TREX-DA+BT: TLARS,FDR,25.000000,0.177226
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.213115
TREX-DA+BT: TLARS,TPR,25.000000,0.690000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.291073
TREX-DA+BT: TLARS,Avg_L,25.000000,1.770000
TREX-DA+BT: TLARS,Avg_T,25.000000,27.590000
TREX-DA+BT: TLARS,FDR,30.000000,0.164375
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.168782
TREX-DA+BT: TLARS,TPR,30.000000,0.741000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.240433
TREX-DA+BT: TLARS,Avg_L,30.000000,1.845000
TREX-DA+BT: TLARS,Avg_T,30.000000,28.940000
TREX-DA+BT: TLARS,FDR,35.000000,0.167147
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.193195
TREX-DA+BT: TLARS,TPR,35.000000,0.762000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.261722
TREX-DA+BT: TLARS,Avg_L,35.000000,1.880000
TREX-DA+BT: TLARS,Avg_T,35.000000,23.840000
TREX-DA+BT: TLARS,FDR,40.000000,0.162899
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.193499
TREX-DA+BT: TLARS,TPR,40.000000,0.739000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.277966
TREX-DA+BT: TLARS,Avg_L,40.000000,1.920000
TREX-DA+BT: TLARS,Avg_T,40.000000,27.720000
TREX-DA+BT: TLARS,FDR,45.000000,0.158168
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.186098
TREX-DA+BT: TLARS,TPR,45.000000,0.697000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.301405
TREX-DA+BT: TLARS,Avg_L,45.000000,1.930000
TREX-DA+BT: TLARS,Avg_T,45.000000,24.440000
TREX-DA+BT: TLARS,FDR,50.000000,0.186899
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.185963
TREX-DA+BT: TLARS,TPR,50.000000,0.746000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.241195
TREX-DA+BT: TLARS,Avg_L,50.000000,1.885000
TREX-DA+BT: TLARS,Avg_T,50.000000,25.535000
TREX-DA+BT: TAFS,FDR,5.000000,0.085417
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.129617
TREX-DA+BT: TAFS,TPR,5.000000,0.808000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.190044
TREX-DA+BT: TAFS,Avg_L,5.000000,1.810000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.755000
TREX-DA+BT: TAFS,FDR,10.000000,0.075845
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.118106
TREX-DA+BT: TAFS,TPR,10.000000,0.820000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.187016
TREX-DA+BT: TAFS,Avg_L,10.000000,1.825000
TREX-DA+BT: TAFS,Avg_T,10.000000,7.710000
TREX-DA+BT: TAFS,FDR,15.000000,0.071149
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.121319
TREX-DA+BT: TAFS,TPR,15.000000,0.776000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.286767
TREX-DA+BT: TAFS,Avg_L,15.000000,1.845000
TREX-DA+BT: TAFS,Avg_T,15.000000,7.620000
TREX-DA+BT: TAFS,FDR,20.000000,0.081869
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.117536
TREX-DA+BT: TAFS,TPR,20.000000,0.807000
