solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.162857
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.206179
TREX-DA+BT: TLARS,TPR,5.000000,0.713000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.238570
TREX-DA+BT: TLARS,Avg_L,5.000000,1.615000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.575000
TREX-DA+BT: TLARS,FDR,10.000000,0.164266
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.189014
TREX-DA+BT: TLARS,TPR,10.000000,0.779000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.234165
TREX-DA+BT: TLARS,Avg_L,10.000000,1.820000
TREX-DA+BT: TLARS,Avg_T,10.000000,33.730000
TREX-DA+BT: TLARS,FDR,15.000000,0.164024
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.211459
TREX-DA+BT: TLARS,TPR,15.000000,0.729000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.265918
TREX-DA+BT: TLARS,Avg_L,15.000000,1.725000
TREX-DA+BT: TLARS,Avg_T,15.000000,35.080000
TREX-DA+BT: TLARS,FDR,20.000000,0.169673
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.179535
TREX-DA+BT: TLARS,TPR,20.000000,0.753000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.242249
TREX-DA+BT: TLARS,Avg_L,20.000000,1.810000
TREX-DA+BT: TLARS,Avg_T,20.000000,29.450000
TREX-DA+BT: TLARS,FDR,25.000000,0.182421
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.200741
TREX-DA+BT: TLARS,TPR,25.000000,0.727000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.274312
TREX-DA+BT: TLARS,Avg_L,25.000000,1.870000
TREX-DA+BT: TLARS,Avg_T,25.000000,26.425000
TREX-DA+BT: TLARS,FDR,30.000000,0.175062
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.175971
TREX-DA+BT: TLARS,TPR,30.000000,0.761000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.241184
TREX-DA+BT: TLARS,Avg_L,30.000000,1.850000
TREX-DA+BT: TLARS,Avg_T,30.000000,26.010000
TREX-DA+BT: TLARS,FDR,35.000000,0.169931
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.183832
TREX-DA+BT: TLARS,TPR,35.000000,0.774000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.250675
TREX-DA+BT: TLARS,Avg_L,35.000000,1.905000
TREX-DA+BT: TLARS,Avg_T,35.000000,24.165000
TREX-DA+BT: TLARS,FDR,40.000000,0.189325
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.191103
TREX-DA+BT: TLARS,TPR,40.000000,0.768000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.249171
TREX-DA+BT: TLARS,Avg_L,40.000000,1.935000
TREX-DA+BT: TLARS,Avg_T,40.000000,25.360000
TREX-DA+BT: TLARS,FDR,45.000000,0.159115
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.198553
TREX-DA+BT: TLARS,TPR,45.000000,0.726000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.292836
TREX-DA+BT: TLARS,Avg_L,45.000000,1.880000
TREX-DA+BT: TLARS,Avg_T,45.000000,21.680000
TREX-DA+BT: TLARS,FDR,50.000000,0.189145
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.183633
TREX-DA+BT: TLARS,TPR,50.000000,0.768000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.235912
