solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.118857
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.209877
TREX-DA+BT: TLARS,TPR,5.000000,0.663000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.258778
TREX-DA+BT: TLARS,Avg_L,5.000000,1.605000
TREX-DA+BT: TLARS,Avg_T,5.000000,28.700000
TREX-DA+BT: TLARS,FDR,10.000000,0.125238
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.203788
TREX-DA+BT: TLARS,TPR,10.000000,0.699000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.271972
TREX-DA+BT: TLARS,Avg_L,10.000000,1.670000
TREX-DA+BT: TLARS,Avg_T,10.000000,36.620000
TREX-DA+BT: TLARS,FDR,15.000000,0.125917
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.206048
TREX-DA+BT: TLARS,TPR,15.000000,0.649000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.285317
TREX-DA+BT: TLARS,Avg_L,15.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,15.000000,44.265000
TREX-DA+BT: TLARS,FDR,20.000000,0.130119
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.199870
TREX-DA+BT: TLARS,TPR,20.000000,0.624000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.309683
TREX-DA+BT: TLARS,Avg_L,20.000000,1.725000
TREX-DA+BT: TLARS,Avg_T,20.000000,37.760000
TREX-DA+BT: TLARS,FDR,25.000000,0.145905
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.212637
TREX-DA+BT: TLARS,TPR,25.000000,0.618000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.306833
TREX-DA+BT: TLARS,Avg_L,25.000000,1.830000
TREX-DA+BT: TLARS,Avg_T,25.000000,37.690000
TREX-DA+BT: TLARS,FDR,30.000000,0.157542
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.211044
TREX-DA+BT: TLARS,TPR,30.000000,0.623000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.293431
TREX-DA+BT: TLARS,Avg_L,30.000000,1.780000
TREX-DA+BT: TLARS,Avg_T,30.000000,32.635000
TREX-DA+BT: TLARS,FDR,35.000000,0.140435
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.204631
TREX-DA+BT: TLARS,TPR,35.000000,0.630000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.316228
TREX-DA+BT: TLARS,Avg_L,35.000000,1.785000
TREX-DA+BT: TLARS,Avg_T,35.000000,32.615000
TREX-DA+BT: TLARS,FDR,40.000000,0.131595
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.185046
TREX-DA+BT: TLARS,TPR,40.000000,0.667000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.286569
TREX-DA+BT: TLARS,Avg_L,40.000000,1.940000
TREX-DA+BT: TLARS,Avg_T,40.000000,34.310000
TREX-DA+BT: TLARS,FDR,45.000000,0.133190
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.202622
TREX-DA+BT: TLARS,TPR,45.000000,0.595000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.333363
TREX-DA+BT: TLARS,Avg_L,45.000000,1.810000
TREX-DA+BT: TLARS,Avg_T,45.000000,34.390000
TREX-DA+BT: TLARS,FDR,50.000000,0.156982
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.200567
TREX-DA+BT: TLARS,TPR,50.000000,0.640000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.284260
TREX-DA+BT: TLARS,Avg_L,50.000000,1.950000
TREX-DA+BT: TLARS,Avg_T,50.000000,32.865000
TREX-DA+BT: TAFS,FDR,5.000000,0.068345
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.118887
TREX-DA+BT: TAFS,TPR,5.000000,0.790000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.196195
TREX-DA+BT: TAFS,Avg_L,5.000000,1.780000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.845000
TREX-DA+BT: TAFS,FDR,10.000000,0.058667
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.116792
TREX-DA+BT: TAFS,TPR,10.000000,0.730000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.297223
TREX-DA+BT: TAFS,Avg_L,10.000000,1.760000
TREX-DA+BT: TAFS,Avg_T,10.000000,7.710000
TREX-DA+BT: TAFS,FDR,15.000000,0.062583
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.115089
TREX-DA+BT: TAFS,TPR,15.000000,0.686000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.337600
TREX-DA+BT: TAFS,Avg_L,15.000000,1.755000
TREX-DA+BT: TAFS,Avg_T,15.000000,7.835000
TREX-DA+BT: TAFS,FDR,20.000000,0.065512
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.119163
TREX-DA+BT: TAFS,TPR,20.000000,0.690000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.343057
TREX-DA+BT: TAFS,Avg_L,20.000000,1.790000
TREX-DA+BT: TAFS,Avg_T,20.000000,7.715000
TREX-DA+BT: TAFS,FDR,25.000000,0.058119
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.114472
TREX-DA+BT: TAFS,TPR,25.000000,0.687000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.347035
TREX-DA+BT: TAFS,Avg_L,25.000000,1.800000
TREX-DA+BT: TAFS,Avg_T,25.000000,7.595000
TREX-DA+BT: TAFS,FDR,30.000000,0.051417
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.118427
TREX-DA+BT: TAFS,TPR,30.000000,0.720000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.347279
TREX-DA+BT: TAFS,Avg_L,30.000000,1.830000
TREX-DA+BT: TAFS,Avg_T,30.000000,7.580000
TREX-DA+BT: TAFS,FDR,35.000000,0.064440
TREX-DA+BT: TAFS,sd_FDR,35.000000,0.126196
TREX-DA+BT: TAFS,TPR,35.000000,0.711000
TREX-DA+BT: TAFS,sd_TPR,35.000000,0.342440
TREX-DA+BT: TAFS,Avg_L,35.000000,1.780000
TREX-DA+BT: TAFS,Avg_T,35.000000,7.625000
TREX-DA+BT: TAFS,FDR,40.000000,0.069190
TREX-DA+BT: TAFS,sd_FDR,40.000000,0.120850
TREX-DA+BT: TAFS,TPR,40.000000,0.729000
TREX-DA+BT: TAFS,sd_TPR,40.000000,0.325096
TREX-DA+BT: TAFS,Avg_L,40.000000,1.800000
TREX-DA+BT: TAFS,Avg_T,40.000000,7.615000
TREX-DA+BT: TAFS,FDR,45.000000,0.059821
TREX-DA+BT: TAFS,sd_FDR,45.000000,0.113406
TREX-DA+BT: TAFS,TPR,45.000000,0.682000
TREX-DA+BT: TAFS,sd_TPR,45.000000,0.351988
TREX-DA+BT: TAFS,Avg_L,45.000000,1.805000
TREX-DA+BT: TAFS,Avg_T,45.000000,7.545000
TREX-DA+BT: TAFS,FDR,50.000000,0.071857
TREX-DA+BT: TAFS,sd_FDR,50.000000,0.122577
TREX-DA+BT: TAFS,TPR,50.000000,0.729000
TREX-DA+BT: TAFS,sd_TPR,50.000000,0.318853
TREX-DA+BT: TAFS,Avg_L,50.000000,1.915000
TREX-DA+BT: TAFS,Avg_T,50.000000,7.530000
TREX-DA+BT: TOMP,FDR,5.000000,0.031583
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.082642
TREX-DA+BT: TOMP,TPR,5.000000,0.902000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.199487
TREX-DA+BT: TOMP,Avg_L,5.000000,1.940000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.915000
TREX-DA+BT: TOMP,FDR,10.000000,0.026500
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.083813
TREX-DA+BT: TOMP,TPR,10.000000,0.844000
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.289973
TREX-DA+BT: TOMP,Avg_L,10.000000,1.810000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.885000
TREX-DA+BT: TOMP,FDR,15.000000,0.032750
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.082827
TREX-DA+BT: TOMP,TPR,15.000000,0.838000
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.275199
TREX-DA+BT: TOMP,Avg_L,15.000000,1.785000
TREX-DA+BT: TOMP,Avg_T,15.000000,7.935000
TREX-DA+BT: TOMP,FDR,20.000000,0.034179
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.077670
TREX-DA+BT: TOMP,TPR,20.000000,0.854000
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.276889
TREX-DA+BT: TOMP,Avg_L,20.000000,1.850000
TREX-DA+BT: TOMP,Avg_T,20.000000,7.840000
TREX-DA+BT: TOMP,FDR,25.000000,0.037595
TREX-DA+BT: TOMP,sd_FDR,25.000000,0.089840
TREX-DA+BT: TOMP,TPR,25.000000,0.775000
TREX-DA+BT: TOMP,sd_TPR,25.000000,0.344920
TREX-DA+BT: TOMP,Avg_L,25.000000,1.785000
TREX-DA+BT: TOMP,Avg_T,25.000000,7.855000
TREX-DA+BT: TOMP,FDR,30.000000,0.034250
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.084872
TREX-DA+BT: TOMP,TPR,30.000000,0.830000
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.297899
TREX-DA+BT: TOMP,Avg_L,30.000000,1.830000
TREX-DA+BT: TOMP,Avg_T,30.000000,7.850000
TREX-DA+BT: TOMP,FDR,35.000000,0.029345
TREX-DA+BT: TOMP,sd_FDR,35.000000,0.080503
TREX-DA+BT: TOMP,TPR,35.000000,0.799000
TREX-DA+BT: TOMP,sd_TPR,35.000000,0.341146
TREX-DA+BT: TOMP,Avg_L,35.000000,1.835000
TREX-DA+BT: TOMP,Avg_T,35.000000,7.845000
TREX-DA+BT: TOMP,FDR,40.000000,0.036583
TREX-DA+BT: TOMP,sd_FDR,40.000000,0.085339
TREX-DA+BT: TOMP,TPR,40.000000,0.846000
TREX-DA+BT: TOMP,sd_TPR,40.000000,0.275433
TREX-DA+BT: TOMP,Avg_L,40.000000,1.880000
TREX-DA+BT: TOMP,Avg_T,40.000000,7.820000
TREX-DA+BT: TOMP,FDR,45.000000,0.026512
TREX-DA+BT: TOMP,sd_FDR,45.000000,0.080399
TREX-DA+BT: TOMP,TPR,45.000000,0.791000
TREX-DA+BT: TOMP,sd_TPR,45.000000,0.342205
TREX-DA+BT: TOMP,Avg_L,45.000000,1.855000
TREX-DA+BT: TOMP,Avg_T,45.000000,7.915000
TREX-DA+BT: TOMP,FDR,50.000000,0.042333
TREX-DA+BT: TOMP,sd_FDR,50.000000,0.093520
TREX-DA+BT: TOMP,TPR,50.000000,0.808000
TREX-DA+BT: TOMP,sd_TPR,50.000000,0.307259
TREX-DA+BT: TOMP,Avg_L,50.000000,1.865000
TREX-DA+BT: TOMP,Avg_T,50.000000,7.885000
