solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.160887
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.199284
TREX-DA+BT: TLARS,TPR,5.000000,0.713000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.265676
TREX-DA+BT: TLARS,Avg_L,5.000000,1.660000
TREX-DA+BT: TLARS,Avg_T,5.000000,27.300000
TREX-DA+BT: TLARS,FDR,10.000000,0.163917
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.190668
TREX-DA+BT: TLARS,TPR,10.000000,0.730000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.230141
TREX-DA+BT: TLARS,Avg_L,10.000000,1.795000
TREX-DA+BT: TLARS,Avg_T,10.000000,30.420000
TREX-DA+BT: TLARS,FDR,15.000000,0.162381
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.194179
TREX-DA+BT: TLARS,TPR,15.000000,0.730000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.251028
TREX-DA+BT: TLARS,Avg_L,15.000000,1.830000
TREX-DA+BT: TLARS,Avg_T,15.000000,33.125000
TREX-DA+BT: TLARS,FDR,20.000000,0.147123
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.184878
TREX-DA+BT: TLARS,TPR,20.000000,0.726000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.263955
TREX-DA+BT: TLARS,Avg_L,20.000000,1.825000
TREX-DA+BT: TLARS,Avg_T,20.000000,29.600000
TREX-DA+BT: TLARS,FDR,25.000000,0.142929
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.176235
TREX-DA+BT: TLARS,TPR,25.000000,0.719000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.255274
TREX-DA+BT: TLARS,Avg_L,25.000000,1.805000
TREX-DA+BT: TLARS,Avg_T,25.000000,34.065000
TREX-DA+BT: TLARS,FDR,30.000000,0.167673
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.179271
TREX-DA+BT: TLARS,TPR,30.000000,0.773000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.225667
TREX-DA+BT: TLARS,Avg_L,30.000000,1.920000
TREX-DA+BT: TLARS,Avg_T,30.000000,31.705000
TREX-DA+BT: TLARS,FDR,35.000000,0.172306
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.198470
TREX-DA+BT: TLARS,TPR,35.000000,0.733000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.272917
TREX-DA+BT: TLARS,Avg_L,35.000000,1.945000
TREX-DA+BT: TLARS,Avg_T,35.000000,27.410000
TREX-DA+BT: TLARS,FDR,40.000000,0.178190
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.207500
TREX-DA+BT: TLARS,TPR,40.000000,0.735000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.277054
TREX-DA+BT: TLARS,Avg_L,40.000000,1.935000
TREX-DA+BT: TLARS,Avg_T,40.000000,29.195000
TREX-DA+BT: TLARS,FDR,45.000000,0.152774
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.182086
TREX-DA+BT: TLARS,TPR,45.000000,0.754000
