solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.160780
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.198730
TREX-DA+BT: TLARS,TPR,5.000000,0.733000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.249040
TREX-DA+BT: TLARS,Avg_L,5.000000,1.630000
TREX-DA+BT: TLARS,Avg_T,5.000000,26.685000
TREX-DA+BT: TLARS,FDR,10.000000,0.175236
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.187736
TREX-DA+BT: TLARS,TPR,10.000000,0.744000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.225206
TREX-DA+BT: TLARS,Avg_L,10.000000,1.820000
TREX-DA+BT: TLARS,Avg_T,10.000000,30.465000
TREX-DA+BT: TLARS,FDR,15.000000,0.153268
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.187981
TREX-DA+BT: TLARS,TPR,15.000000,0.737000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.258000
TREX-DA+BT: TLARS,Avg_L,15.000000,1.800000
TREX-DA+BT: TLARS,Avg_T,15.000000,29.100000
TREX-DA+BT: TLARS,FDR,20.000000,0.148601
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.180818
TREX-DA+BT: TLARS,TPR,20.000000,0.752000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.262374
TREX-DA+BT: TLARS,Avg_L,20.000000,1.880000
TREX-DA+BT: TLARS,Avg_T,20.000000,27.435000
TREX-DA+BT: TLARS,FDR,25.000000,0.140155
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.165787
TREX-DA+BT: TLARS,TPR,25.000000,0.733000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.272179
TREX-DA+BT: TLARS,Avg_L,25.000000,1.790000
TREX-DA+BT: TLARS,Avg_T,25.000000,29.945000
TREX-DA+BT: TLARS,FDR,30.000000,0.165272
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.175886
TREX-DA+BT: TLARS,TPR,30.000000,0.790000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.228387
