solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.155413
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.237633
TREX-DA+BT: TLARS,TPR,5.000000,0.664000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.281960
TREX-DA+BT: TLARS,Avg_L,5.000000,1.650000
TREX-DA+BT: TLARS,Avg_T,5.000000,30.140000
TREX-DA+BT: TLARS,FDR,10.000000,0.150500
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.225814
TREX-DA+BT: TLARS,TPR,10.000000,0.649000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.276007
TREX-DA+BT: TLARS,Avg_L,10.000000,1.795000
TREX-DA+BT: TLARS,Avg_T,10.000000,40.180000
TREX-DA+BT: TLARS,FDR,15.000000,0.138125
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.223933
TREX-DA+BT: TLARS,TPR,15.000000,0.624000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.307730
TREX-DA+BT: TLARS,Avg_L,15.000000,1.705000
TREX-DA+BT: TLARS,Avg_T,15.000000,42.035000
TREX-DA+BT: TLARS,FDR,20.000000,0.133583
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.192481
TREX-DA+BT: TLARS,TPR,20.000000,0.647000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.318904
TREX-DA+BT: TLARS,Avg_L,20.000000,1.815000
TREX-DA+BT: TLARS,Avg_T,20.000000,40.920000
TREX-DA+BT: TLARS,FDR,25.000000,0.109185
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.165250
TREX-DA+BT: TLARS,TPR,25.000000,0.603000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.319848
TREX-DA+BT: TLARS,Avg_L,25.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,25.000000,37.400000
TREX-DA+BT: TLARS,FDR,30.000000,0.124107
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.172442
TREX-DA+BT: TLARS,TPR,30.000000,0.667000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.319093
TREX-DA+BT: TLARS,Avg_L,30.000000,1.850000
TREX-DA+BT: TLARS,Avg_T,30.000000,40.510000
TREX-DA+BT: TLARS,FDR,35.000000,0.161905
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.210211
TREX-DA+BT: TLARS,TPR,35.000000,0.588000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.315521
TREX-DA+BT: TLARS,Avg_L,35.000000,1.865000
TREX-DA+BT: TLARS,Avg_T,35.000000,34.555000
TREX-DA+BT: TLARS,FDR,40.000000,0.132238
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.185936
TREX-DA+BT: TLARS,TPR,40.000000,0.638000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.319793
