solver,metric,Linkage,value
TREX-DA+BT: TLARS,FDR,1.000000,0.126417
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.221703
TREX-DA+BT: TLARS,TPR,1.000000,0.659000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.264326
TREX-DA+BT: TLARS,Avg_L,1.000000,1.560000
TREX-DA+BT: TLARS,Avg_T,1.000000,29.365000
TREX-DA+BT: TLARS,FDR,2.000000,0.154500
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.191519
TREX-DA+BT: TLARS,TPR,2.000000,0.732000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.234201
TREX-DA+BT: TLARS,Avg_L,2.000000,1.645000
TREX-DA+BT: TLARS,Avg_T,2.000000,27.515000
TREX-DA+BT: TLARS,FDR,3.000000,0.170310
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.198394
TREX-DA+BT: TLARS,TPR,3.000000,0.695000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.252774
TREX-DA+BT: TLARS,Avg_L,3.000000,1.630000
TREX-DA+BT: TLARS,Avg_T,3.000000,26.180000
TREX-DA+BT: TAFS,FDR,1.000000,0.087762
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.132663
TREX-DA+BT: TAFS,TPR,1.000000,0.787000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.195505
TREX-DA+BT: TAFS,Avg_L,1.000000,1.800000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.805000
TREX-DA+BT: TAFS,FDR,2.000000,0.086381
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.131516
TREX-DA+BT: TAFS,TPR,2.000000,0.804000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.195384
TREX-DA+BT: TAFS,Avg_L,2.000000,1.775000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.570000
TREX-DA+BT: TAFS,FDR,3.000000,0.110845
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.148469
TREX-DA+BT: TAFS,TPR,3.000000,0.793000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.199877
TREX-DA+BT: TAFS,Avg_L,3.000000,1.755000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.560000
TREX-DA+BT: TOMP,FDR,1.000000,0.047500
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.100373
TREX-DA+BT: TOMP,TPR,1.000000,0.947000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.112491
TREX-DA+BT: TOMP,Avg_L,1.000000,1.905000
TREX-DA+BT: TOMP,Avg_T,1.000000,7.945000
TREX-DA+BT: TOMP,FDR,2.000000,0.045750
TREX-DA+BT: TOMP,sd_FDR,2.000000,0.094414
TREX-DA+BT: TOMP,TPR,2.000000,0.956000
TREX-DA+BT: TOMP,sd_TPR,2.000000,0.096491
TREX-DA+BT: TOMP,Avg_L,2.000000,1.895000
TREX-DA+BT: TOMP,Avg_T,2.000000,7.870000
TREX-DA+BT: TOMP,FDR,3.000000,0.052667
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.105375
TREX-DA+BT: TOMP,TPR,3.000000,0.939000
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.117251
TREX-DA+BT: TOMP,Avg_L,3.000000,1.870000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.845000
