solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.032440
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.082914
TREX-DA+BT: TLARS,TPR,0.000000,0.808000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.247877
TREX-DA+BT: TLARS,Avg_L,0.000000,1.900000
TREX-DA+BT: TLARS,Avg_T,0.000000,30.595000
TREX-DA+BT: TLARS,FDR,0.100000,0.031000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.074180
TREX-DA+BT: TLARS,TPR,0.100000,0.825000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.203425
TREX-DA+BT: TLARS,Avg_L,0.100000,1.930000
TREX-DA+BT: TLARS,Avg_T,0.100000,31.475000
TREX-DA+BT: TLARS,FDR,0.200000,0.042929
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.096136
TREX-DA+BT: TLARS,TPR,0.200000,0.806000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.241361
TREX-DA+BT: TLARS,Avg_L,0.200000,1.855000
TREX-DA+BT: TLARS,Avg_T,0.200000,28.495000
TREX-DA+BT: TLARS,FDR,0.300000,0.035619
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.090428
TREX-DA+BT: TLARS,TPR,0.300000,0.830000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.239556
TREX-DA+BT: TLARS,Avg_L,0.300000,1.875000
TREX-DA+BT: TLARS,Avg_T,0.300000,27.260000
TREX-DA+BT: TLARS,FDR,0.400000,0.037667
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.088968
TREX-DA+BT: TLARS,TPR,0.400000,0.862000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.205834
TREX-DA+BT: TLARS,Avg_L,0.400000,1.870000
TREX-DA+BT: TLARS,Avg_T,0.400000,28.170000
TREX-DA+BT: TLARS,FDR,0.500000,0.052167
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.114246
TREX-DA+BT: TLARS,TPR,0.500000,0.856000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.204630
TREX-DA+BT: TLARS,Avg_L,0.500000,1.790000
TREX-DA+BT: TLARS,Avg_T,0.500000,26.995000
TREX-DA+BT: TLARS,FDR,0.600000,0.069940
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.122718
TREX-DA+BT: TLARS,TPR,0.600000,0.840000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.215947
TREX-DA+BT: TLARS,Avg_L,0.600000,1.865000
TREX-DA+BT: TLARS,Avg_T,0.600000,26.005000
TREX-DA+BT: TLARS,FDR,0.700000,0.110595
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.174895
TREX-DA+BT: TLARS,TPR,0.700000,0.767000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.246199
TREX-DA+BT: TLARS,Avg_L,0.700000,1.780000
TREX-DA+BT: TLARS,Avg_T,0.700000,26.800000
TREX-DA+BT: TLARS,FDR,0.800000,0.165452
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.208625
TREX-DA+BT: TLARS,TPR,0.800000,0.714000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.250836
TREX-DA+BT: TLARS,Avg_L,0.800000,1.665000
TREX-DA+BT: TLARS,Avg_T,0.800000,23.540000
TREX-DA+BT: TLARS,FDR,0.900000,0.273000
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.246841
TREX-DA+BT: TLARS,TPR,0.900000,0.605000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.273034
TREX-DA+BT: TLARS,Avg_L,0.900000,1.460000
TREX-DA+BT: TLARS,Avg_T,0.900000,26.180000
TREX-DA+BT: TAFS,FDR,0.000000,0.032452
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.082697
TREX-DA+BT: TAFS,TPR,0.000000,0.818000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.255347
TREX-DA+BT: TAFS,Avg_L,0.000000,1.890000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.340000
