solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.040601
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.089369
TREX-DA+BT: TLARS,TPR,0.000000,0.851000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.222365
TREX-DA+BT: TLARS,Avg_L,0.000000,1.905000
TREX-DA+BT: TLARS,Avg_T,0.000000,29.290000
TREX-DA+BT: TLARS,FDR,0.100000,0.034262
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.079209
TREX-DA+BT: TLARS,TPR,0.100000,0.845000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.217281
TREX-DA+BT: TLARS,Avg_L,0.100000,1.925000
TREX-DA+BT: TLARS,Avg_T,0.100000,29.460000
TREX-DA+BT: TLARS,FDR,0.200000,0.042643
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.100140
TREX-DA+BT: TLARS,TPR,0.200000,0.825000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.250377
TREX-DA+BT: TLARS,Avg_L,0.200000,1.845000
TREX-DA+BT: TLARS,Avg_T,0.200000,27.830000
TREX-DA+BT: TLARS,FDR,0.300000,0.035440
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.081841
TREX-DA+BT: TLARS,TPR,0.300000,0.859000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.206232
TREX-DA+BT: TLARS,Avg_L,0.300000,1.880000
TREX-DA+BT: TLARS,Avg_T,0.300000,26.865000
TREX-DA+BT: TLARS,FDR,0.400000,0.049881
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.099075
TREX-DA+BT: TLARS,TPR,0.400000,0.845000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.223663
TREX-DA+BT: TLARS,Avg_L,0.400000,1.845000
TREX-DA+BT: TLARS,Avg_T,0.400000,26.285000
TREX-DA+BT: TLARS,FDR,0.500000,0.052238
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.110947
TREX-DA+BT: TLARS,TPR,0.500000,0.843000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.228500
TREX-DA+BT: TLARS,Avg_L,0.500000,1.805000
TREX-DA+BT: TLARS,Avg_T,0.500000,25.330000
TREX-DA+BT: TLARS,FDR,0.600000,0.074357
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.123997
TREX-DA+BT: TLARS,TPR,0.600000,0.839000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.209999
TREX-DA+BT: TLARS,Avg_L,0.600000,1.815000
TREX-DA+BT: TLARS,Avg_T,0.600000,23.800000
TREX-DA+BT: TLARS,FDR,0.700000,0.106988
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.184622
TREX-DA+BT: TLARS,TPR,0.700000,0.771000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.248329
TREX-DA+BT: TLARS,Avg_L,0.700000,1.775000
TREX-DA+BT: TLARS,Avg_T,0.700000,25.395000
TREX-DA+BT: TLARS,FDR,0.800000,0.164762
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.201021
TREX-DA+BT: TLARS,TPR,0.800000,0.734000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.243187
TREX-DA+BT: TLARS,Avg_L,0.800000,1.650000
TREX-DA+BT: TLARS,Avg_T,0.800000,23.500000
TREX-DA+BT: TLARS,FDR,0.900000,0.276030
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.220228
TREX-DA+BT: TLARS,TPR,0.900000,0.627000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.247746
TREX-DA+BT: TLARS,Avg_L,0.900000,1.435000
TREX-DA+BT: TLARS,Avg_T,0.900000,26.125000
TREX-DA+BT: TAFS,FDR,0.000000,0.033226
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.077704
TREX-DA+BT: TAFS,TPR,0.000000,0.868000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.220953
TREX-DA+BT: TAFS,Avg_L,0.000000,1.860000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.300000
TREX-DA+BT: TAFS,FDR,0.100000,0.031262
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.075800
TREX-DA+BT: TAFS,TPR,0.100000,0.842000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.227364
TREX-DA+BT: TAFS,Avg_L,0.100000,1.885000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.260000
TREX-DA+BT: TAFS,FDR,0.200000,0.030994
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.075394
TREX-DA+BT: TAFS,TPR,0.200000,0.853000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.228147
TREX-DA+BT: TAFS,Avg_L,0.200000,1.875000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.330000
TREX-DA+BT: TAFS,FDR,0.300000,0.038274
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.083593
TREX-DA+BT: TAFS,TPR,0.300000,0.873000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.204647
TREX-DA+BT: TAFS,Avg_L,0.300000,1.900000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.375000
TREX-DA+BT: TAFS,FDR,0.400000,0.046024
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.090878
TREX-DA+BT: TAFS,TPR,0.400000,0.863000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.201080
TREX-DA+BT: TAFS,Avg_L,0.400000,1.840000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.360000
TREX-DA+BT: TAFS,FDR,0.500000,0.041911
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.096535
TREX-DA+BT: TAFS,TPR,0.500000,0.868000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.187488
TREX-DA+BT: TAFS,Avg_L,0.500000,1.795000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.240000
TREX-DA+BT: TAFS,FDR,0.600000,0.051107
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.094961
TREX-DA+BT: TAFS,TPR,0.600000,0.861000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.206622
TREX-DA+BT: TAFS,Avg_L,0.600000,1.795000
TREX-DA+BT: TAFS,Avg_T,0.600000,7.220000
TREX-DA+BT: TAFS,FDR,0.700000,0.054655
TREX-DA+BT: TAFS,sd_FDR,0.700000,0.102682
TREX-DA+BT: TAFS,TPR,0.700000,0.832000
TREX-DA+BT: TAFS,sd_TPR,0.700000,0.214490
TREX-DA+BT: TAFS,Avg_L,0.700000,1.840000
TREX-DA+BT: TAFS,Avg_T,0.700000,7.385000
TREX-DA+BT: TAFS,FDR,0.800000,0.085905
TREX-DA+BT: TAFS,sd_FDR,0.800000,0.127247
TREX-DA+BT: TAFS,TPR,0.800000,0.791000
TREX-DA+BT: TAFS,sd_TPR,0.800000,0.203781
TREX-DA+BT: TAFS,Avg_L,0.800000,1.735000
TREX-DA+BT: TAFS,Avg_T,0.800000,7.540000
TREX-DA+BT: TAFS,FDR,0.900000,0.165226
TREX-DA+BT: TAFS,sd_FDR,0.900000,0.173706
TREX-DA+BT: TAFS,TPR,0.900000,0.666000
TREX-DA+BT: TAFS,sd_TPR,0.900000,0.248905
TREX-DA+BT: TAFS,Avg_L,0.900000,1.805000
TREX-DA+BT: TAFS,Avg_T,0.900000,7.640000
TREX-DA+BT: TOMP,FDR,0.000000,0.024679
TREX-DA+BT: TOMP,sd_FDR,0.000000,0.065445
TREX-DA+BT: TOMP,TPR,0.000000,0.887000
TREX-DA+BT: TOMP,sd_TPR,0.000000,0.212738
TREX-DA+BT: TOMP,Avg_L,0.000000,1.905000
TREX-DA+BT: TOMP,Avg_T,0.000000,7.560000
TREX-DA+BT: TOMP,FDR,0.100000,0.023345
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.066209
TREX-DA+BT: TOMP,TPR,0.100000,0.877000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.203168
TREX-DA+BT: TOMP,Avg_L,0.100000,1.900000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.645000
TREX-DA+BT: TOMP,FDR,0.200000,0.028607
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.072461
TREX-DA+BT: TOMP,TPR,0.200000,0.892000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.184680
TREX-DA+BT: TOMP,Avg_L,0.200000,1.875000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.620000
TREX-DA+BT: TOMP,FDR,0.300000,0.021083
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.059438
TREX-DA+BT: TOMP,TPR,0.300000,0.917000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.181869
TREX-DA+BT: TOMP,Avg_L,0.300000,1.900000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.565000
TREX-DA+BT: TOMP,FDR,0.400000,0.026167
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.064333
TREX-DA+BT: TOMP,TPR,0.400000,0.934000
TREX-DA+BT: TOMP,sd_TPR,0.400000,0.160539
TREX-DA+BT: TOMP,Avg_L,0.400000,1.900000
TREX-DA+BT: TOMP,Avg_T,0.400000,7.480000
TREX-DA+BT: TOMP,FDR,0.500000,0.021417
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.058940
TREX-DA+BT: TOMP,TPR,0.500000,0.945000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.143099
TREX-DA+BT: TOMP,Avg_L,0.500000,1.820000
TREX-DA+BT: TOMP,Avg_T,0.500000,7.525000
TREX-DA+BT: TOMP,FDR,0.600000,0.026167
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.064873
TREX-DA+BT: TOMP,TPR,0.600000,0.955000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.135153
TREX-DA+BT: TOMP,Avg_L,0.600000,1.925000
TREX-DA+BT: TOMP,Avg_T,0.600000,7.760000
TREX-DA+BT: TOMP,FDR,0.700000,0.026208
TREX-DA+BT: TOMP,sd_FDR,0.700000,0.071141
TREX-DA+BT: TOMP,TPR,0.700000,0.955000
TREX-DA+BT: TOMP,sd_TPR,0.700000,0.129067
TREX-DA+BT: TOMP,Avg_L,0.700000,1.925000
TREX-DA+BT: TOMP,Avg_T,0.700000,7.730000
TREX-DA+BT: TOMP,FDR,0.800000,0.029250
TREX-DA+BT: TOMP,sd_FDR,0.800000,0.072840
TREX-DA+BT: TOMP,TPR,0.800000,0.923000
TREX-DA+BT: TOMP,sd_TPR,0.800000,0.170930
TREX-DA+BT: TOMP,Avg_L,0.800000,1.885000
TREX-DA+BT: TOMP,Avg_T,0.800000,7.875000
TREX-DA+BT: TOMP,FDR,0.900000,0.088583
TREX-DA+BT: TOMP,sd_FDR,0.900000,0.158912
TREX-DA+BT: TOMP,TPR,0.900000,0.744000
TREX-DA+BT: TOMP,sd_TPR,0.900000,0.280817
TREX-DA+BT: TOMP,Avg_L,0.900000,1.925000
TREX-DA+BT: TOMP,Avg_T,0.900000,7.960000
