solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.015583
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.072775
TREX-DA+BT: TLARS,TPR,0.000000,0.523000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.292401
TREX-DA+BT: TLARS,Avg_L,0.000000,1.890000
TREX-DA+BT: TLARS,Avg_T,0.000000,35.725000
TREX-DA+BT: TLARS,FDR,0.100000,0.010500
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.060850
TREX-DA+BT: TLARS,TPR,0.100000,0.571000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.272268
TREX-DA+BT: TLARS,Avg_L,0.100000,1.960000
TREX-DA+BT: TLARS,Avg_T,0.100000,35.735000
TREX-DA+BT: TLARS,FDR,0.200000,0.024667
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.087874
TREX-DA+BT: TLARS,TPR,0.200000,0.598000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.293987
TREX-DA+BT: TLARS,Avg_L,0.200000,1.830000
TREX-DA+BT: TLARS,Avg_T,0.200000,32.540000
TREX-DA+BT: TLARS,FDR,0.300000,0.021762
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.097002
TREX-DA+BT: TLARS,TPR,0.300000,0.702000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.308662
TREX-DA+BT: TLARS,Avg_L,0.300000,1.875000
TREX-DA+BT: TLARS,Avg_T,0.300000,29.995000
TREX-DA+BT: TLARS,FDR,0.400000,0.031750
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.089599
TREX-DA+BT: TLARS,TPR,0.400000,0.760000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.274182
TREX-DA+BT: TLARS,Avg_L,0.400000,1.810000
TREX-DA+BT: TLARS,Avg_T,0.400000,29.845000
TREX-DA+BT: TLARS,FDR,0.500000,0.032262
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.096088
TREX-DA+BT: TLARS,TPR,0.500000,0.806000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.253546
TREX-DA+BT: TLARS,Avg_L,0.500000,1.780000
TREX-DA+BT: TLARS,Avg_T,0.500000,29.650000
TREX-DA+BT: TLARS,FDR,0.600000,0.062167
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.140388
TREX-DA+BT: TLARS,TPR,0.600000,0.800000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.264480
TREX-DA+BT: TLARS,Avg_L,0.600000,1.790000
TREX-DA+BT: TLARS,Avg_T,0.600000,28.390000
TREX-DA+BT: TLARS,FDR,0.700000,0.074417
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.162785
TREX-DA+BT: TLARS,TPR,0.700000,0.751000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.258715
TREX-DA+BT: TLARS,Avg_L,0.700000,1.710000
TREX-DA+BT: TLARS,Avg_T,0.700000,28.490000
TREX-DA+BT: TLARS,FDR,0.800000,0.125679
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.219086
TREX-DA+BT: TLARS,TPR,0.800000,0.681000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.268326
TREX-DA+BT: TLARS,Avg_L,0.800000,1.700000
TREX-DA+BT: TLARS,Avg_T,0.800000,29.185000
TREX-DA+BT: TLARS,FDR,0.900000,0.217560
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.264208
TREX-DA+BT: TLARS,TPR,0.900000,0.573000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.270252
TREX-DA+BT: TLARS,Avg_L,0.900000,1.435000
TREX-DA+BT: TLARS,Avg_T,0.900000,28.955000
TREX-DA+BT: TAFS,FDR,0.000000,0.016417
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.077248
TREX-DA+BT: TAFS,TPR,0.000000,0.540000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.298067
TREX-DA+BT: TAFS,Avg_L,0.000000,1.875000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.545000
TREX-DA+BT: TAFS,FDR,0.100000,0.013917
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.071179
TREX-DA+BT: TAFS,TPR,0.100000,0.576000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.274592
TREX-DA+BT: TAFS,Avg_L,0.100000,1.970000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.625000
TREX-DA+BT: TAFS,FDR,0.200000,0.024417
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.083624
TREX-DA+BT: TAFS,TPR,0.200000,0.610000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.292451
TREX-DA+BT: TAFS,Avg_L,0.200000,1.865000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.400000
TREX-DA+BT: TAFS,FDR,0.300000,0.016083
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.065406
TREX-DA+BT: TAFS,TPR,0.300000,0.721000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.282770
TREX-DA+BT: TAFS,Avg_L,0.300000,1.875000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.290000
TREX-DA+BT: TAFS,FDR,0.400000,0.037500
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.115201
TREX-DA+BT: TAFS,TPR,0.400000,0.759000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.263946
TREX-DA+BT: TAFS,Avg_L,0.400000,1.775000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.460000
TREX-DA+BT: TAFS,FDR,0.500000,0.023429
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.084263
TREX-DA+BT: TAFS,TPR,0.500000,0.835000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.224560
TREX-DA+BT: TAFS,Avg_L,0.500000,1.800000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.365000
TREX-DA+BT: TAFS,FDR,0.600000,0.029095
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.078976
TREX-DA+BT: TAFS,TPR,0.600000,0.856000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.206585
TREX-DA+BT: TAFS,Avg_L,0.600000,1.790000
TREX-DA+BT: TAFS,Avg_T,0.600000,7.050000
TREX-DA+BT: TAFS,FDR,0.700000,0.037500
TREX-DA+BT: TAFS,sd_FDR,0.700000,0.109664
TREX-DA+BT: TAFS,TPR,0.700000,0.821000
TREX-DA+BT: TAFS,sd_TPR,0.700000,0.217244
TREX-DA+BT: TAFS,Avg_L,0.700000,1.805000
TREX-DA+BT: TAFS,Avg_T,0.700000,7.645000
TREX-DA+BT: TAFS,FDR,0.800000,0.057167
TREX-DA+BT: TAFS,sd_FDR,0.800000,0.106967
TREX-DA+BT: TAFS,TPR,0.800000,0.776000
TREX-DA+BT: TAFS,sd_TPR,0.800000,0.209867
TREX-DA+BT: TAFS,Avg_L,0.800000,1.810000
TREX-DA+BT: TAFS,Avg_T,0.800000,7.685000
TREX-DA+BT: TAFS,FDR,0.900000,0.130333
TREX-DA+BT: TAFS,sd_FDR,0.900000,0.179301
TREX-DA+BT: TAFS,TPR,0.900000,0.638000
TREX-DA+BT: TAFS,sd_TPR,0.900000,0.268545
TREX-DA+BT: TAFS,Avg_L,0.900000,1.795000
TREX-DA+BT: TAFS,Avg_T,0.900000,7.710000
TREX-DA+BT: TOMP,FDR,0.000000,0.005417
TREX-DA+BT: TOMP,sd_FDR,0.000000,0.039254
TREX-DA+BT: TOMP,TPR,0.000000,0.578000
TREX-DA+BT: TOMP,sd_TPR,0.000000,0.288326
TREX-DA+BT: TOMP,Avg_L,0.000000,1.925000
TREX-DA+BT: TOMP,Avg_T,0.000000,7.785000
TREX-DA+BT: TOMP,FDR,0.100000,0.009583
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.059765
TREX-DA+BT: TOMP,TPR,0.100000,0.613000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.268311
TREX-DA+BT: TOMP,Avg_L,0.100000,1.975000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.800000
TREX-DA+BT: TOMP,FDR,0.200000,0.013083
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.063577
TREX-DA+BT: TOMP,TPR,0.200000,0.660000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.291246
TREX-DA+BT: TOMP,Avg_L,0.200000,1.925000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.600000
TREX-DA+BT: TOMP,FDR,0.300000,0.011500
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.051914
TREX-DA+BT: TOMP,TPR,0.300000,0.793000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.257063
TREX-DA+BT: TOMP,Avg_L,0.300000,1.910000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.560000
TREX-DA+BT: TOMP,FDR,0.400000,0.014417
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.051517
TREX-DA+BT: TOMP,TPR,0.400000,0.846000
TREX-DA+BT: TOMP,sd_TPR,0.400000,0.254179
TREX-DA+BT: TOMP,Avg_L,0.400000,1.845000
TREX-DA+BT: TOMP,Avg_T,0.400000,7.615000
TREX-DA+BT: TOMP,FDR,0.500000,0.020500
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.060813
TREX-DA+BT: TOMP,TPR,0.500000,0.915000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.168275
TREX-DA+BT: TOMP,Avg_L,0.500000,1.860000
TREX-DA+BT: TOMP,Avg_T,0.500000,7.620000
TREX-DA+BT: TOMP,FDR,0.600000,0.017583
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.054838
TREX-DA+BT: TOMP,TPR,0.600000,0.942000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.170827
TREX-DA+BT: TOMP,Avg_L,0.600000,1.890000
TREX-DA+BT: TOMP,Avg_T,0.600000,7.625000
TREX-DA+BT: TOMP,FDR,0.700000,0.018167
TREX-DA+BT: TOMP,sd_FDR,0.700000,0.059172
TREX-DA+BT: TOMP,TPR,0.700000,0.948000
TREX-DA+BT: TOMP,sd_TPR,0.700000,0.139259
TREX-DA+BT: TOMP,Avg_L,0.700000,1.920000
TREX-DA+BT: TOMP,Avg_T,0.700000,7.715000
TREX-DA+BT: TOMP,FDR,0.800000,0.026000
TREX-DA+BT: TOMP,sd_FDR,0.800000,0.069770
TREX-DA+BT: TOMP,TPR,0.800000,0.898000
TREX-DA+BT: TOMP,sd_TPR,0.800000,0.209321
TREX-DA+BT: TOMP,Avg_L,0.800000,1.865000
TREX-DA+BT: TOMP,Avg_T,0.800000,7.885000
TREX-DA+BT: TOMP,FDR,0.900000,0.088167
TREX-DA+BT: TOMP,sd_FDR,0.900000,0.160563
TREX-DA+BT: TOMP,TPR,0.900000,0.714000
TREX-DA+BT: TOMP,sd_TPR,0.900000,0.321122
TREX-DA+BT: TOMP,Avg_L,0.900000,1.885000
TREX-DA+BT: TOMP,Avg_T,0.900000,7.940000
