solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.038720
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.092545
TREX-DA+BT: TLARS,TPR,0.000000,0.803000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.246770
TREX-DA+BT: TLARS,Avg_L,0.000000,1.940000
TREX-DA+BT: TLARS,Avg_T,0.000000,30.935000
TREX-DA+BT: TLARS,FDR,0.100000,0.026679
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.075211
TREX-DA+BT: TLARS,TPR,0.100000,0.827000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.230078
TREX-DA+BT: TLARS,Avg_L,0.100000,1.915000
TREX-DA+BT: TLARS,Avg_T,0.100000,32.580000
TREX-DA+BT: TLARS,FDR,0.200000,0.027345
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.077135
TREX-DA+BT: TLARS,TPR,0.200000,0.827000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.210935
TREX-DA+BT: TLARS,Avg_L,0.200000,1.870000
TREX-DA+BT: TLARS,Avg_T,0.200000,28.770000
TREX-DA+BT: TLARS,FDR,0.300000,0.039262
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.095194
TREX-DA+BT: TLARS,TPR,0.300000,0.833000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.239579
TREX-DA+BT: TLARS,Avg_L,0.300000,1.930000
TREX-DA+BT: TLARS,Avg_T,0.300000,29.395000
TREX-DA+BT: TLARS,FDR,0.400000,0.043679
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.122596
TREX-DA+BT: TLARS,TPR,0.400000,0.837000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.236454
TREX-DA+BT: TLARS,Avg_L,0.400000,1.810000
TREX-DA+BT: TLARS,Avg_T,0.400000,25.910000
TREX-DA+BT: TLARS,FDR,0.500000,0.065500
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.137989
TREX-DA+BT: TLARS,TPR,0.500000,0.813000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.238148
TREX-DA+BT: TLARS,Avg_L,0.500000,1.780000
TREX-DA+BT: TLARS,Avg_T,0.500000,23.640000
TREX-DA+BT: TLARS,FDR,0.600000,0.068107
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.123190
TREX-DA+BT: TLARS,TPR,0.600000,0.805000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.217281
TREX-DA+BT: TLARS,Avg_L,0.600000,1.805000
TREX-DA+BT: TLARS,Avg_T,0.600000,26.270000
TREX-DA+BT: TLARS,FDR,0.700000,0.086440
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.164325
TREX-DA+BT: TLARS,TPR,0.700000,0.810000
