solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.041012
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.090726
TREX-DA+BT: TLARS,TPR,0.000000,0.855000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.221405
TREX-DA+BT: TLARS,Avg_L,0.000000,1.925000
TREX-DA+BT: TLARS,Avg_T,0.000000,30.805000
TREX-DA+BT: TLARS,FDR,0.100000,0.035012
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.087781
TREX-DA+BT: TLARS,TPR,0.100000,0.850000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.221235
TREX-DA+BT: TLARS,Avg_L,0.100000,1.930000
TREX-DA+BT: TLARS,Avg_T,0.100000,31.030000
TREX-DA+BT: TLARS,FDR,0.200000,0.031012
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.077062
TREX-DA+BT: TLARS,TPR,0.200000,0.836000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.218501
TREX-DA+BT: TLARS,Avg_L,0.200000,1.895000
TREX-DA+BT: TLARS,Avg_T,0.200000,27.370000
TREX-DA+BT: TLARS,FDR,0.300000,0.042494
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.088726
TREX-DA+BT: TLARS,TPR,0.300000,0.864000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.224848
TREX-DA+BT: TLARS,Avg_L,0.300000,1.855000
TREX-DA+BT: TLARS,Avg_T,0.300000,28.185000
TREX-DA+BT: TLARS,FDR,0.400000,0.048762
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.102780
TREX-DA+BT: TLARS,TPR,0.400000,0.841000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.234936
TREX-DA+BT: TLARS,Avg_L,0.400000,1.835000
TREX-DA+BT: TLARS,Avg_T,0.400000,25.300000
TREX-DA+BT: TLARS,FDR,0.500000,0.056179
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.114124
TREX-DA+BT: TLARS,TPR,0.500000,0.822000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.231047
TREX-DA+BT: TLARS,Avg_L,0.500000,1.775000
TREX-DA+BT: TLARS,Avg_T,0.500000,20.765000
TREX-DA+BT: TLARS,FDR,0.600000,0.074411
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.123260
TREX-DA+BT: TLARS,TPR,0.600000,0.797000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.228147
TREX-DA+BT: TLARS,Avg_L,0.600000,1.820000
TREX-DA+BT: TLARS,Avg_T,0.600000,27.170000
TREX-DA+BT: TLARS,FDR,0.700000,0.098440
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.165167
TREX-DA+BT: TLARS,TPR,0.700000,0.817000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.219435
TREX-DA+BT: TLARS,Avg_L,0.700000,1.790000
TREX-DA+BT: TLARS,Avg_T,0.700000,28.480000
TREX-DA+BT: TLARS,FDR,0.800000,0.132964
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.178278
TREX-DA+BT: TLARS,TPR,0.800000,0.750000
