solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.031833
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.110972
TREX-DA+BT: TLARS,TPR,0.000000,0.519000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.296782
TREX-DA+BT: TLARS,Avg_L,0.000000,1.870000
TREX-DA+BT: TLARS,Avg_T,0.000000,34.080000
TREX-DA+BT: TLARS,FDR,0.100000,0.016917
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.094480
TREX-DA+BT: TLARS,TPR,0.100000,0.562000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.272999
TREX-DA+BT: TLARS,Avg_L,0.100000,1.960000
TREX-DA+BT: TLARS,Avg_T,0.100000,37.175000
TREX-DA+BT: TLARS,FDR,0.200000,0.019500
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.071518
TREX-DA+BT: TLARS,TPR,0.200000,0.607000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.308263
TREX-DA+BT: TLARS,Avg_L,0.200000,1.825000
TREX-DA+BT: TLARS,Avg_T,0.200000,33.740000
TREX-DA+BT: TLARS,FDR,0.300000,0.038167
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.130311
TREX-DA+BT: TLARS,TPR,0.300000,0.714000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.300425
TREX-DA+BT: TLARS,Avg_L,0.300000,1.850000
TREX-DA+BT: TLARS,Avg_T,0.300000,32.930000
TREX-DA+BT: TLARS,FDR,0.400000,0.038167
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.116524
TREX-DA+BT: TLARS,TPR,0.400000,0.756000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.298175
TREX-DA+BT: TLARS,Avg_L,0.400000,1.795000
TREX-DA+BT: TLARS,Avg_T,0.400000,30.860000
TREX-DA+BT: TLARS,FDR,0.500000,0.050750
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.120293
TREX-DA+BT: TLARS,TPR,0.500000,0.780000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.245564
TREX-DA+BT: TLARS,Avg_L,0.500000,1.765000
TREX-DA+BT: TLARS,Avg_T,0.500000,27.870000
TREX-DA+BT: TLARS,FDR,0.600000,0.061250
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.137029
TREX-DA+BT: TLARS,TPR,0.600000,0.780000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.243921
TREX-DA+BT: TLARS,Avg_L,0.600000,1.850000
TREX-DA+BT: TLARS,Avg_T,0.600000,29.235000
TREX-DA+BT: TLARS,FDR,0.700000,0.073167
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.160374
TREX-DA+BT: TLARS,TPR,0.700000,0.772000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.244777
TREX-DA+BT: TLARS,Avg_L,0.700000,1.755000
TREX-DA+BT: TLARS,Avg_T,0.700000,31.105000
TREX-DA+BT: TLARS,FDR,0.800000,0.120917
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.213123
TREX-DA+BT: TLARS,TPR,0.800000,0.708000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.262068
TREX-DA+BT: TLARS,Avg_L,0.800000,1.750000
TREX-DA+BT: TLARS,Avg_T,0.800000,34.025000
TREX-DA+BT: TLARS,FDR,0.900000,0.261214
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.267945
TREX-DA+BT: TLARS,TPR,0.900000,0.537000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.271662
TREX-DA+BT: TLARS,Avg_L,0.900000,1.450000
TREX-DA+BT: TLARS,Avg_T,0.900000,28.860000
TREX-DA+BT: TAFS,FDR,0.000000,0.016083
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.066339
TREX-DA+BT: TAFS,TPR,0.000000,0.526000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.306912
TREX-DA+BT: TAFS,Avg_L,0.000000,1.835000
TREX-DA+BT: TAFS,Avg_T,0.000000,7.525000
TREX-DA+BT: TAFS,FDR,0.100000,0.016333
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.094812
TREX-DA+BT: TAFS,TPR,0.100000,0.570000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.273999
