solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.069583
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.243964
TREX-DA+BT: TLARS,TPR,0.100000,0.022000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.082157
TREX-DA+BT: TLARS,Avg_L,0.100000,1.810000
TREX-DA+BT: TLARS,Avg_T,0.100000,12.555000
TREX-DA+BT: TLARS,FDR,0.200000,0.122833
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.262692
TREX-DA+BT: TLARS,TPR,0.200000,0.107000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.172335
TREX-DA+BT: TLARS,Avg_L,0.200000,2.510000
TREX-DA+BT: TLARS,Avg_T,0.200000,16.760000
TREX-DA+BT: TLARS,FDR,0.500000,0.191042
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.232246
TREX-DA+BT: TLARS,TPR,0.500000,0.417000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.303929
TREX-DA+BT: TLARS,Avg_L,0.500000,2.470000
TREX-DA+BT: TLARS,Avg_T,0.500000,24.585000
TREX-DA+BT: TLARS,FDR,0.600000,0.194667
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.231168
TREX-DA+BT: TLARS,TPR,0.600000,0.531000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.270935
TREX-DA+BT: TLARS,Avg_L,0.600000,2.425000
TREX-DA+BT: TLARS,Avg_T,0.600000,26.860000
TREX-DA+BT: TLARS,FDR,1.000000,0.170429
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.209329
TREX-DA+BT: TLARS,TPR,1.000000,0.673000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.272843
TREX-DA+BT: TLARS,Avg_L,1.000000,1.900000
TREX-DA+BT: TLARS,Avg_T,1.000000,28.310000
TREX-DA+BT: TLARS,FDR,2.000000,0.141131
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.189704
TREX-DA+BT: TLARS,TPR,2.000000,0.734000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.248905
TREX-DA+BT: TLARS,Avg_L,2.000000,1.590000
TREX-DA+BT: TLARS,Avg_T,2.000000,26.420000
TREX-DA+BT: TLARS,FDR,5.000000,0.159060
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.206086
TREX-DA+BT: TLARS,TPR,5.000000,0.755000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.256327
TREX-DA+BT: TLARS,Avg_L,5.000000,1.705000
TREX-DA+BT: TLARS,Avg_T,5.000000,27.895000
TREX-DA+BT: TAFS,FDR,0.100000,0.029167
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.153534
TREX-DA+BT: TAFS,TPR,0.100000,0.016000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.067578
TREX-DA+BT: TAFS,Avg_L,0.100000,1.610000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.010000
TREX-DA+BT: TAFS,FDR,0.200000,0.067667
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.198393
TREX-DA+BT: TAFS,TPR,0.200000,0.089000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.172125
TREX-DA+BT: TAFS,Avg_L,0.200000,2.370000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.750000
TREX-DA+BT: TAFS,FDR,0.500000,0.109000
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.196904
TREX-DA+BT: TAFS,TPR,0.500000,0.415000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.328809
TREX-DA+BT: TAFS,Avg_L,0.500000,2.455000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.255000
TREX-DA+BT: TAFS,FDR,0.600000,0.111667
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.170893
TREX-DA+BT: TAFS,TPR,0.600000,0.557000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.307937
TREX-DA+BT: TAFS,Avg_L,0.600000,2.520000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.745000
TREX-DA+BT: TAFS,FDR,1.000000,0.081429
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.129228
TREX-DA+BT: TAFS,TPR,1.000000,0.772000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.269777
TREX-DA+BT: TAFS,Avg_L,1.000000,1.970000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.555000
TREX-DA+BT: TAFS,FDR,2.000000,0.072107
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.119048
TREX-DA+BT: TAFS,TPR,2.000000,0.809000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.184088
TREX-DA+BT: TAFS,Avg_L,2.000000,1.790000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.625000
TREX-DA+BT: TAFS,FDR,5.000000,0.110702
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.142488
TREX-DA+BT: TAFS,TPR,5.000000,0.699000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.167749
TREX-DA+BT: TAFS,Avg_L,5.000000,1.610000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.360000
TREX-DA+BT: TOMP,FDR,0.100000,0.059167
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.220335
TREX-DA+BT: TOMP,TPR,0.100000,0.018000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.060782
TREX-DA+BT: TOMP,Avg_L,0.100000,1.815000
TREX-DA+BT: TOMP,Avg_T,0.100000,6.570000
TREX-DA+BT: TOMP,FDR,0.200000,0.082917
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.244638
TREX-DA+BT: TOMP,TPR,0.200000,0.082000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.150296
TREX-DA+BT: TOMP,Avg_L,0.200000,2.565000
TREX-DA+BT: TOMP,Avg_T,0.200000,6.435000
TREX-DA+BT: TOMP,FDR,0.500000,0.099000
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.183220
TREX-DA+BT: TOMP,TPR,0.500000,0.432000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.323573
TREX-DA+BT: TOMP,Avg_L,0.500000,2.720000
TREX-DA+BT: TOMP,Avg_T,0.500000,6.725000
TREX-DA+BT: TOMP,FDR,0.600000,0.098083
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.164807
TREX-DA+BT: TOMP,TPR,0.600000,0.558000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.314213
TREX-DA+BT: TOMP,Avg_L,0.600000,2.465000
TREX-DA+BT: TOMP,Avg_T,0.600000,6.810000
TREX-DA+BT: TOMP,FDR,1.000000,0.057333
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.113084
TREX-DA+BT: TOMP,TPR,1.000000,0.778000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.271819
TREX-DA+BT: TOMP,Avg_L,1.000000,2.135000
TREX-DA+BT: TOMP,Avg_T,1.000000,7.620000
TREX-DA+BT: TOMP,FDR,2.000000,0.024583
TREX-DA+BT: TOMP,sd_FDR,2.000000,0.072638
TREX-DA+BT: TOMP,TPR,2.000000,0.881000
TREX-DA+BT: TOMP,sd_TPR,2.000000,0.250505
TREX-DA+BT: TOMP,Avg_L,2.000000,1.875000
TREX-DA+BT: TOMP,Avg_T,2.000000,7.865000
TREX-DA+BT: TOMP,FDR,5.000000,0.013417
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.049388
TREX-DA+BT: TOMP,TPR,5.000000,0.965000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.121030
TREX-DA+BT: TOMP,Avg_L,5.000000,1.915000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.870000
