solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.052500
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.209741
TREX-DA+BT: TLARS,TPR,0.100000,0.022000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.074456
TREX-DA+BT: TLARS,Avg_L,0.100000,1.810000
TREX-DA+BT: TLARS,Avg_T,0.100000,12.835000
TREX-DA+BT: TLARS,FDR,0.200000,0.116917
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.255129
TREX-DA+BT: TLARS,TPR,0.200000,0.112000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.178930
TREX-DA+BT: TLARS,Avg_L,0.200000,2.425000
TREX-DA+BT: TLARS,Avg_T,0.200000,17.200000
TREX-DA+BT: TLARS,FDR,0.500000,0.186119
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.236584
TREX-DA+BT: TLARS,TPR,0.500000,0.434000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.300157
TREX-DA+BT: TLARS,Avg_L,0.500000,2.560000
TREX-DA+BT: TLARS,Avg_T,0.500000,22.860000
TREX-DA+BT: TLARS,FDR,0.600000,0.205952
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.228294
TREX-DA+BT: TLARS,TPR,0.600000,0.537000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.278963
TREX-DA+BT: TLARS,Avg_L,0.600000,2.350000
TREX-DA+BT: TLARS,Avg_T,0.600000,27.735000
TREX-DA+BT: TLARS,FDR,1.000000,0.180929
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.197970
TREX-DA+BT: TLARS,TPR,1.000000,0.689000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.243672
TREX-DA+BT: TLARS,Avg_L,1.000000,1.970000
TREX-DA+BT: TLARS,Avg_T,1.000000,29.465000
TREX-DA+BT: TLARS,FDR,2.000000,0.147341
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.192089
TREX-DA+BT: TLARS,TPR,2.000000,0.745000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.246330
TREX-DA+BT: TLARS,Avg_L,2.000000,1.640000
TREX-DA+BT: TLARS,Avg_T,2.000000,25.025000
TREX-DA+BT: TLARS,FDR,5.000000,0.167821
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.192301
TREX-DA+BT: TLARS,TPR,5.000000,0.752000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.244941
TREX-DA+BT: TLARS,Avg_L,5.000000,1.630000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.005000
TREX-DA+BT: TAFS,FDR,0.100000,0.029167
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.161509
TREX-DA+BT: TAFS,TPR,0.100000,0.013000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.053341
TREX-DA+BT: TAFS,Avg_L,0.100000,1.605000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.945000
TREX-DA+BT: TAFS,FDR,0.200000,0.085583
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.238339
TREX-DA+BT: TAFS,TPR,0.200000,0.079000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.161522
TREX-DA+BT: TAFS,Avg_L,0.200000,2.380000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.530000
TREX-DA+BT: TAFS,FDR,0.500000,0.119667
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.215071
TREX-DA+BT: TAFS,TPR,0.500000,0.424000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.327966
TREX-DA+BT: TAFS,Avg_L,0.500000,2.530000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.040000
TREX-DA+BT: TAFS,FDR,0.600000,0.117833
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.176806
TREX-DA+BT: TAFS,TPR,0.600000,0.560000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.302751
TREX-DA+BT: TAFS,Avg_L,0.600000,2.555000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.545000
