solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.047083
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.198504
TREX-DA+BT: TLARS,TPR,0.100000,0.018000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.067071
TREX-DA+BT: TLARS,Avg_L,0.100000,1.775000
TREX-DA+BT: TLARS,Avg_T,0.100000,13.820000
TREX-DA+BT: TLARS,FDR,0.200000,0.122500
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.280935
TREX-DA+BT: TLARS,TPR,0.200000,0.087000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.164824
TREX-DA+BT: TLARS,Avg_L,0.200000,2.285000
TREX-DA+BT: TLARS,Avg_T,0.200000,20.135000
TREX-DA+BT: TLARS,FDR,0.500000,0.163417
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.248949
TREX-DA+BT: TLARS,TPR,0.500000,0.367000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.281259
TREX-DA+BT: TLARS,Avg_L,0.500000,2.380000
TREX-DA+BT: TLARS,Avg_T,0.500000,30.445000
TREX-DA+BT: TLARS,FDR,0.600000,0.185833
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.255289
TREX-DA+BT: TLARS,TPR,0.600000,0.455000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.293266
TREX-DA+BT: TLARS,Avg_L,0.600000,2.245000
TREX-DA+BT: TLARS,Avg_T,0.600000,28.275000
TREX-DA+BT: TLARS,FDR,1.000000,0.142262
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.209304
TREX-DA+BT: TLARS,TPR,1.000000,0.608000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.282017
TREX-DA+BT: TLARS,Avg_L,1.000000,1.925000
TREX-DA+BT: TLARS,Avg_T,1.000000,33.775000
TREX-DA+BT: TLARS,FDR,2.000000,0.111345
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.193164
TREX-DA+BT: TLARS,TPR,2.000000,0.688000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.265724
TREX-DA+BT: TLARS,Avg_L,2.000000,1.645000
TREX-DA+BT: TLARS,Avg_T,2.000000,30.550000
TREX-DA+BT: TLARS,FDR,5.000000,0.125095
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.208357
TREX-DA+BT: TLARS,TPR,5.000000,0.713000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.274605
TREX-DA+BT: TLARS,Avg_L,5.000000,1.655000
TREX-DA+BT: TLARS,Avg_T,5.000000,30.645000
TREX-DA+BT: TAFS,FDR,0.100000,0.018333
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.115506
TREX-DA+BT: TAFS,TPR,0.100000,0.017000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.065823
TREX-DA+BT: TAFS,Avg_L,0.100000,1.635000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.995000
TREX-DA+BT: TAFS,FDR,0.200000,0.063917
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.198499
TREX-DA+BT: TAFS,TPR,0.200000,0.067000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.142169
TREX-DA+BT: TAFS,Avg_L,0.200000,2.230000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.920000
TREX-DA+BT: TAFS,FDR,0.500000,0.096250
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.182172
TREX-DA+BT: TAFS,TPR,0.500000,0.394000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.328181
TREX-DA+BT: TAFS,Avg_L,0.500000,2.475000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.690000
TREX-DA+BT: TAFS,FDR,0.600000,0.105857
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.172200
TREX-DA+BT: TAFS,TPR,0.600000,0.528000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.324565
TREX-DA+BT: TAFS,Avg_L,0.600000,2.480000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.725000
TREX-DA+BT: TAFS,FDR,1.000000,0.069000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.124128
TREX-DA+BT: TAFS,TPR,1.000000,0.750000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.268066
TREX-DA+BT: TAFS,Avg_L,1.000000,2.050000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.560000
TREX-DA+BT: TAFS,FDR,2.000000,0.053583
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.117850
TREX-DA+BT: TAFS,TPR,2.000000,0.786000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.207894
TREX-DA+BT: TAFS,Avg_L,2.000000,1.770000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.665000
TREX-DA+BT: TAFS,FDR,5.000000,0.098583
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.148779
TREX-DA+BT: TAFS,TPR,5.000000,0.667000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.205725
TREX-DA+BT: TAFS,Avg_L,5.000000,1.600000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.615000
TREX-DA+BT: TOMP,FDR,0.100000,0.037500
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.180295
TREX-DA+BT: TOMP,TPR,0.100000,0.018000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.064004
TREX-DA+BT: TOMP,Avg_L,0.100000,1.780000
TREX-DA+BT: TOMP,Avg_T,0.100000,6.460000
TREX-DA+BT: TOMP,FDR,0.200000,0.085333
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.242835
TREX-DA+BT: TOMP,TPR,0.200000,0.076000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.152117
TREX-DA+BT: TOMP,Avg_L,0.200000,2.410000
TREX-DA+BT: TOMP,Avg_T,0.200000,6.590000
