solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.073250
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.242526
TREX-DA+BT: TLARS,TPR,0.100000,0.034000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.113616
TREX-DA+BT: TLARS,Avg_L,0.100000,1.935000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.720000
TREX-DA+BT: TLARS,FDR,0.200000,0.132583
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.272206
TREX-DA+BT: TLARS,TPR,0.200000,0.153000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.225043
TREX-DA+BT: TLARS,Avg_L,0.200000,2.540000
TREX-DA+BT: TLARS,Avg_T,0.200000,16.030000
TREX-DA+BT: TLARS,FDR,0.500000,0.186226
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.257425
TREX-DA+BT: TLARS,TPR,0.500000,0.481000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.318348
TREX-DA+BT: TLARS,Avg_L,0.500000,2.420000
TREX-DA+BT: TLARS,Avg_T,0.500000,26.410000
TREX-DA+BT: TLARS,FDR,0.600000,0.181679
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.237119
TREX-DA+BT: TLARS,TPR,0.600000,0.544000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.302857
TREX-DA+BT: TLARS,Avg_L,0.600000,2.150000
TREX-DA+BT: TLARS,Avg_T,0.600000,24.320000
TREX-DA+BT: TLARS,FDR,1.000000,0.158357
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.204182
TREX-DA+BT: TLARS,TPR,1.000000,0.686000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.276743
TREX-DA+BT: TLARS,Avg_L,1.000000,1.825000
TREX-DA+BT: TLARS,Avg_T,1.000000,28.075000
TREX-DA+BT: TLARS,FDR,2.000000,0.158185
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.188033
TREX-DA+BT: TLARS,TPR,2.000000,0.707000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.246281
TREX-DA+BT: TLARS,Avg_L,2.000000,1.640000
TREX-DA+BT: TLARS,Avg_T,2.000000,27.350000
TREX-DA+BT: TLARS,FDR,5.000000,0.163893
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.203125
TREX-DA+BT: TLARS,TPR,5.000000,0.699000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.248005
TREX-DA+BT: TLARS,Avg_L,5.000000,1.585000
TREX-DA+BT: TLARS,Avg_T,5.000000,25.525000
TREX-DA+BT: TAFS,FDR,0.100000,0.036667
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.178523
TREX-DA+BT: TAFS,TPR,0.100000,0.028000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.089757
TREX-DA+BT: TAFS,Avg_L,0.100000,1.790000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.070000
TREX-DA+BT: TAFS,FDR,0.200000,0.107750
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.249314
TREX-DA+BT: TAFS,TPR,0.200000,0.127000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.205627
TREX-DA+BT: TAFS,Avg_L,0.200000,2.365000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.905000
TREX-DA+BT: TAFS,FDR,0.500000,0.121500
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.194506
TREX-DA+BT: TAFS,TPR,0.500000,0.505000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.341994
TREX-DA+BT: TAFS,Avg_L,0.500000,2.330000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.670000
TREX-DA+BT: TAFS,FDR,0.600000,0.089833
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.163673
TREX-DA+BT: TAFS,TPR,0.600000,0.602000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.327003
TREX-DA+BT: TAFS,Avg_L,0.600000,2.290000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.840000
TREX-DA+BT: TAFS,FDR,1.000000,0.096845
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.143751
TREX-DA+BT: TAFS,TPR,1.000000,0.746000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.301894
TREX-DA+BT: TAFS,Avg_L,1.000000,1.935000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.220000
TREX-DA+BT: TAFS,FDR,2.000000,0.097512
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.136952
TREX-DA+BT: TAFS,TPR,2.000000,0.756000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.222512
TREX-DA+BT: TAFS,Avg_L,2.000000,1.740000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.340000
TREX-DA+BT: TAFS,FDR,5.000000,0.143345
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.179153
TREX-DA+BT: TAFS,TPR,5.000000,0.666000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.201612
TREX-DA+BT: TAFS,Avg_L,5.000000,1.475000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.495000
TREX-DA+BT: TOMP,FDR,0.100000,0.076667
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.250538
TREX-DA+BT: TOMP,TPR,0.100000,0.036000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.095654
TREX-DA+BT: TOMP,Avg_L,0.100000,2.045000
TREX-DA+BT: TOMP,Avg_T,0.100000,6.815000
TREX-DA+BT: TOMP,FDR,0.200000,0.105833
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.256505
TREX-DA+BT: TOMP,TPR,0.200000,0.121000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.184742
TREX-DA+BT: TOMP,Avg_L,0.200000,2.550000
TREX-DA+BT: TOMP,Avg_T,0.200000,6.505000
TREX-DA+BT: TOMP,FDR,0.500000,0.101083
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.161633
TREX-DA+BT: TOMP,TPR,0.500000,0.501000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.334903
TREX-DA+BT: TOMP,Avg_L,0.500000,2.465000
TREX-DA+BT: TOMP,Avg_T,0.500000,6.775000
TREX-DA+BT: TOMP,FDR,0.600000,0.098667
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.172586
TREX-DA+BT: TOMP,TPR,0.600000,0.630000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.337147
TREX-DA+BT: TOMP,Avg_L,0.600000,2.380000
TREX-DA+BT: TOMP,Avg_T,0.600000,7.165000
TREX-DA+BT: TOMP,FDR,1.000000,0.047583
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.107901
TREX-DA+BT: TOMP,TPR,1.000000,0.787000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.296090
TREX-DA+BT: TOMP,Avg_L,1.000000,2.040000
