solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.071667
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.239963
TREX-DA+BT: TLARS,TPR,0.100000,0.036000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.111202
TREX-DA+BT: TLARS,Avg_L,0.100000,1.985000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.160000
TREX-DA+BT: TLARS,FDR,0.200000,0.146333
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.281929
TREX-DA+BT: TLARS,TPR,0.200000,0.158000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.225589
TREX-DA+BT: TLARS,Avg_L,0.200000,2.585000
TREX-DA+BT: TLARS,Avg_T,0.200000,14.840000
TREX-DA+BT: TLARS,FDR,0.500000,0.168560
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.211064
TREX-DA+BT: TLARS,TPR,0.500000,0.492000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.311805
TREX-DA+BT: TLARS,Avg_L,0.500000,2.350000
TREX-DA+BT: TLARS,Avg_T,0.500000,24.935000
TREX-DA+BT: TLARS,FDR,0.600000,0.199238
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.243127
TREX-DA+BT: TLARS,TPR,0.600000,0.549000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.308667
TREX-DA+BT: TLARS,Avg_L,0.600000,2.230000
TREX-DA+BT: TLARS,Avg_T,0.600000,23.415000
TREX-DA+BT: TLARS,FDR,1.000000,0.169089
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.191943
TREX-DA+BT: TLARS,TPR,1.000000,0.716000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.261699
TREX-DA+BT: TLARS,Avg_L,1.000000,1.810000
TREX-DA+BT: TLARS,Avg_T,1.000000,28.325000
TREX-DA+BT: TLARS,FDR,2.000000,0.167175
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.194901
TREX-DA+BT: TLARS,TPR,2.000000,0.720000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.252027
TREX-DA+BT: TLARS,Avg_L,2.000000,1.625000
TREX-DA+BT: TLARS,Avg_T,2.000000,25.745000
TREX-DA+BT: TLARS,FDR,5.000000,0.159488
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.181777
TREX-DA+BT: TLARS,TPR,5.000000,0.725000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.236760
TREX-DA+BT: TLARS,Avg_L,5.000000,1.625000
TREX-DA+BT: TLARS,Avg_T,5.000000,26.405000
TREX-DA+BT: TAFS,FDR,0.100000,0.047833
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.202678
TREX-DA+BT: TAFS,TPR,0.100000,0.030000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.101744
TREX-DA+BT: TAFS,Avg_L,0.100000,1.920000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.010000
TREX-DA+BT: TAFS,FDR,0.200000,0.097167
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.235656
TREX-DA+BT: TAFS,TPR,0.200000,0.118000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.201691
TREX-DA+BT: TAFS,Avg_L,0.200000,2.370000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.705000
TREX-DA+BT: TAFS,FDR,0.500000,0.120750
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.185964
TREX-DA+BT: TAFS,TPR,0.500000,0.496000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.343181
TREX-DA+BT: TAFS,Avg_L,0.500000,2.325000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.435000
TREX-DA+BT: TAFS,FDR,0.600000,0.079083
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.148715
TREX-DA+BT: TAFS,TPR,0.600000,0.613000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.315163
TREX-DA+BT: TAFS,Avg_L,0.600000,2.310000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.960000
TREX-DA+BT: TAFS,FDR,1.000000,0.090595
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.140354
TREX-DA+BT: TAFS,TPR,1.000000,0.768000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.276693
TREX-DA+BT: TAFS,Avg_L,1.000000,1.900000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.280000
TREX-DA+BT: TAFS,FDR,2.000000,0.103774
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.147750
TREX-DA+BT: TAFS,TPR,2.000000,0.762000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.228950
TREX-DA+BT: TAFS,Avg_L,2.000000,1.695000
TREX-DA+BT: TAFS,Avg_T,2.000000,7.415000
TREX-DA+BT: TAFS,FDR,5.000000,0.155875
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.160790
TREX-DA+BT: TAFS,TPR,5.000000,0.681000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.200600
TREX-DA+BT: TAFS,Avg_L,5.000000,1.590000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.635000
TREX-DA+BT: TOMP,FDR,0.100000,0.076667
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.250538
TREX-DA+BT: TOMP,TPR,0.100000,0.037000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.098384
