solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.061667
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.228674
TREX-DA+BT: TLARS,TPR,0.100000,0.028000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.096241
TREX-DA+BT: TLARS,Avg_L,0.100000,1.930000
TREX-DA+BT: TLARS,Avg_T,0.100000,15.500000
TREX-DA+BT: TLARS,FDR,0.200000,0.114750
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.255985
TREX-DA+BT: TLARS,TPR,0.200000,0.142000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.214631
TREX-DA+BT: TLARS,Avg_L,0.200000,2.620000
TREX-DA+BT: TLARS,Avg_T,0.200000,19.465000
TREX-DA+BT: TLARS,FDR,0.500000,0.158393
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.226240
TREX-DA+BT: TLARS,TPR,0.500000,0.448000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.317173
TREX-DA+BT: TLARS,Avg_L,0.500000,2.435000
TREX-DA+BT: TLARS,Avg_T,0.500000,29.465000
TREX-DA+BT: TLARS,FDR,0.600000,0.158667
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.235026
TREX-DA+BT: TLARS,TPR,0.600000,0.515000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.296334
TREX-DA+BT: TLARS,Avg_L,0.600000,2.085000
TREX-DA+BT: TLARS,Avg_T,0.600000,28.445000
TREX-DA+BT: TLARS,FDR,1.000000,0.127262
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.198476
TREX-DA+BT: TLARS,TPR,1.000000,0.653000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.295682
TREX-DA+BT: TLARS,Avg_L,1.000000,1.845000
TREX-DA+BT: TLARS,Avg_T,1.000000,30.375000
TREX-DA+BT: TLARS,FDR,2.000000,0.135000
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.217332
TREX-DA+BT: TLARS,TPR,2.000000,0.658000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.270930
TREX-DA+BT: TLARS,Avg_L,2.000000,1.640000
TREX-DA+BT: TLARS,Avg_T,2.000000,31.260000
TREX-DA+BT: TLARS,FDR,5.000000,0.138798
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.232902
TREX-DA+BT: TLARS,TPR,5.000000,0.677000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.264235
TREX-DA+BT: TLARS,Avg_L,5.000000,1.590000
TREX-DA+BT: TLARS,Avg_T,5.000000,30.895000
TREX-DA+BT: TAFS,FDR,0.100000,0.029167
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.161509
TREX-DA+BT: TAFS,TPR,0.100000,0.020000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.075021
TREX-DA+BT: TAFS,Avg_L,0.100000,1.835000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.875000
TREX-DA+BT: TAFS,FDR,0.200000,0.094500
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.239399
TREX-DA+BT: TAFS,TPR,0.200000,0.117000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.203761
TREX-DA+BT: TAFS,Avg_L,0.200000,2.350000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.945000
TREX-DA+BT: TAFS,FDR,0.500000,0.115167
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.193445
TREX-DA+BT: TAFS,TPR,0.500000,0.478000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.344251
TREX-DA+BT: TAFS,Avg_L,0.500000,2.380000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.630000
TREX-DA+BT: TAFS,FDR,0.600000,0.075750
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.150142
TREX-DA+BT: TAFS,TPR,0.600000,0.580000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.343789
TREX-DA+BT: TAFS,Avg_L,0.600000,2.175000
TREX-DA+BT: TAFS,Avg_T,0.600000,7.100000
TREX-DA+BT: TAFS,FDR,1.000000,0.072000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.130975
TREX-DA+BT: TAFS,TPR,1.000000,0.735000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.295995
TREX-DA+BT: TAFS,Avg_L,1.000000,1.975000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.390000
TREX-DA+BT: TAFS,FDR,2.000000,0.083167
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.144149
TREX-DA+BT: TAFS,TPR,2.000000,0.732000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.241802
