solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.100000
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.183375
TREX-DA+BT: TLARS,TPR,0.050000,0.575000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.330030
TREX-DA+BT: TLARS,Avg_L,0.050000,4.735000
TREX-DA+BT: TLARS,Avg_T,0.050000,47.275000
TREX-DA+BT: TLARS,FDR,0.100000,0.109000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.183655
TREX-DA+BT: TLARS,TPR,0.100000,0.602000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.325771
TREX-DA+BT: TLARS,Avg_L,0.100000,2.700000
TREX-DA+BT: TLARS,Avg_T,0.100000,40.465000
TREX-DA+BT: TLARS,FDR,0.150000,0.132524
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.180717
TREX-DA+BT: TLARS,TPR,0.150000,0.612000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.301180
TREX-DA+BT: TLARS,Avg_L,0.150000,1.930000
TREX-DA+BT: TLARS,Avg_T,0.150000,31.455000
TREX-DA+BT: TLARS,FDR,0.200000,0.144893
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.191800
TREX-DA+BT: TLARS,TPR,0.200000,0.741000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.239596
TREX-DA+BT: TLARS,Avg_L,0.200000,1.635000
TREX-DA+BT: TLARS,Avg_T,0.200000,26.665000
TREX-DA+BT: TLARS,FDR,0.250000,0.151464
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.184584
TREX-DA+BT: TLARS,TPR,0.250000,0.735000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.228552
TREX-DA+BT: TLARS,Avg_L,0.250000,1.210000
TREX-DA+BT: TLARS,Avg_T,0.250000,17.980000
TREX-DA+BT: TLARS,FDR,0.300000,0.172101
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.180088
TREX-DA+BT: TLARS,TPR,0.300000,0.805000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.244281
TREX-DA+BT: TLARS,Avg_L,0.300000,1.070000
TREX-DA+BT: TLARS,Avg_T,0.300000,16.755000
TREX-DA+BT: TLARS,FDR,0.350000,0.217246
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.191125
TREX-DA+BT: TLARS,TPR,0.350000,0.840000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.255197
TREX-DA+BT: TLARS,Avg_L,0.350000,1.040000
TREX-DA+BT: TLARS,Avg_T,0.350000,16.550000
TREX-DA+BT: TLARS,FDR,0.400000,0.232528
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.178780
TREX-DA+BT: TLARS,TPR,0.400000,0.883000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.231471
TREX-DA+BT: TLARS,Avg_L,0.400000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.400000,16.610000
TREX-DA+BT: TLARS,FDR,0.450000,0.269942
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.153358
TREX-DA+BT: TLARS,TPR,0.450000,0.966000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.136149
TREX-DA+BT: TLARS,Avg_L,0.450000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.450000,15.845000
TREX-DA+BT: TLARS,FDR,0.500000,0.323572
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.121710
TREX-DA+BT: TLARS,TPR,0.500000,0.984000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.081098
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,17.515000
TREX-DA+BT: TAFS,FDR,0.050000,0.061333
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.124853
TREX-DA+BT: TAFS,TPR,0.050000,0.672000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.283581
TREX-DA+BT: TAFS,Avg_L,0.050000,5.010000
TREX-DA+BT: TAFS,Avg_T,0.050000,7.800000
TREX-DA+BT: TAFS,FDR,0.100000,0.057500
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.126011
TREX-DA+BT: TAFS,TPR,0.100000,0.651000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.298739
TREX-DA+BT: TAFS,Avg_L,0.100000,2.830000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.710000
TREX-DA+BT: TAFS,FDR,0.150000,0.085869
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.137425
TREX-DA+BT: TAFS,TPR,0.150000,0.685000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.273770
TREX-DA+BT: TAFS,Avg_L,0.150000,1.995000
TREX-DA+BT: TAFS,Avg_T,0.150000,7.670000
TREX-DA+BT: TAFS,FDR,0.200000,0.108012
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.134635
TREX-DA+BT: TAFS,TPR,0.200000,0.824000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.168422
TREX-DA+BT: TAFS,Avg_L,0.200000,1.790000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.615000
TREX-DA+BT: TAFS,FDR,0.250000,0.109452
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.135309
TREX-DA+BT: TAFS,TPR,0.250000,0.807000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.184175
TREX-DA+BT: TAFS,Avg_L,0.250000,1.285000
TREX-DA+BT: TAFS,Avg_T,0.250000,7.460000
TREX-DA+BT: TAFS,FDR,0.300000,0.130270
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.141285
TREX-DA+BT: TAFS,TPR,0.300000,0.877000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.164946
TREX-DA+BT: TAFS,Avg_L,0.300000,1.065000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.365000
TREX-DA+BT: TAFS,FDR,0.350000,0.154643
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.127280
TREX-DA+BT: TAFS,TPR,0.350000,0.909000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.161398
TREX-DA+BT: TAFS,Avg_L,0.350000,1.020000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.350000
TREX-DA+BT: TAFS,FDR,0.400000,0.198788
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.130639
TREX-DA+BT: TAFS,TPR,0.400000,0.942000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.135380
TREX-DA+BT: TAFS,Avg_L,0.400000,1.010000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.455000
TREX-DA+BT: TAFS,FDR,0.450000,0.230127
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.106333
TREX-DA+BT: TAFS,TPR,0.450000,0.977000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.069968
TREX-DA+BT: TAFS,Avg_L,0.450000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.450000,7.510000
TREX-DA+BT: TAFS,FDR,0.500000,0.252050
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.112016
TREX-DA+BT: TAFS,TPR,0.500000,0.977000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.080644
TREX-DA+BT: TAFS,Avg_L,0.500000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.890000
TREX-DA+BT: TOMP,FDR,0.050000,0.041750
TREX-DA+BT: TOMP,sd_FDR,0.050000,0.096070
TREX-DA+BT: TOMP,TPR,0.050000,0.872000
TREX-DA+BT: TOMP,sd_TPR,0.050000,0.262221
TREX-DA+BT: TOMP,Avg_L,0.050000,5.190000
TREX-DA+BT: TOMP,Avg_T,0.050000,7.925000
TREX-DA+BT: TOMP,FDR,0.100000,0.042083
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.094738
TREX-DA+BT: TOMP,TPR,0.100000,0.871000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.271158
TREX-DA+BT: TOMP,Avg_L,0.100000,2.870000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.920000
TREX-DA+BT: TOMP,FDR,0.150000,0.048000
TREX-DA+BT: TOMP,sd_FDR,0.150000,0.106077
TREX-DA+BT: TOMP,TPR,0.150000,0.861000
TREX-DA+BT: TOMP,sd_TPR,0.150000,0.285810
TREX-DA+BT: TOMP,Avg_L,0.150000,1.945000
TREX-DA+BT: TOMP,Avg_T,0.150000,7.890000
TREX-DA+BT: TOMP,FDR,0.200000,0.053333
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.098325
TREX-DA+BT: TOMP,TPR,0.200000,0.950000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.097713
TREX-DA+BT: TOMP,Avg_L,0.200000,1.895000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.805000
TREX-DA+BT: TOMP,FDR,0.250000,0.055667
TREX-DA+BT: TOMP,sd_FDR,0.250000,0.106836
TREX-DA+BT: TOMP,TPR,0.250000,0.957000
TREX-DA+BT: TOMP,sd_TPR,0.250000,0.101995
TREX-DA+BT: TOMP,Avg_L,0.250000,1.430000
TREX-DA+BT: TOMP,Avg_T,0.250000,7.805000
TREX-DA+BT: TOMP,FDR,0.300000,0.075357
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.118696
TREX-DA+BT: TOMP,TPR,0.300000,0.951000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.110726
TREX-DA+BT: TOMP,Avg_L,0.300000,1.020000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.635000
TREX-DA+BT: TOMP,FDR,0.350000,0.092119
TREX-DA+BT: TOMP,sd_FDR,0.350000,0.120207
TREX-DA+BT: TOMP,TPR,0.350000,0.942000
TREX-DA+BT: TOMP,sd_TPR,0.350000,0.119614
TREX-DA+BT: TOMP,Avg_L,0.350000,1.025000
TREX-DA+BT: TOMP,Avg_T,0.350000,7.575000
