solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.103167
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.176117
TREX-DA+BT: TLARS,TPR,0.050000,0.595000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.313475
TREX-DA+BT: TLARS,Avg_L,0.050000,4.805000
TREX-DA+BT: TLARS,Avg_T,0.050000,49.450000
TREX-DA+BT: TLARS,FDR,0.100000,0.112333
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.171953
TREX-DA+BT: TLARS,TPR,0.100000,0.613000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.323348
TREX-DA+BT: TLARS,Avg_L,0.100000,2.755000
TREX-DA+BT: TLARS,Avg_T,0.100000,42.520000
TREX-DA+BT: TLARS,FDR,0.150000,0.135512
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.162413
TREX-DA+BT: TLARS,TPR,0.150000,0.655000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.276327
TREX-DA+BT: TLARS,Avg_L,0.150000,2.000000
TREX-DA+BT: TLARS,Avg_T,0.150000,30.115000
TREX-DA+BT: TLARS,FDR,0.200000,0.158298
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.178502
TREX-DA+BT: TLARS,TPR,0.200000,0.746000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.225696
TREX-DA+BT: TLARS,Avg_L,0.200000,1.680000
TREX-DA+BT: TLARS,Avg_T,0.200000,26.075000
TREX-DA+BT: TLARS,FDR,0.250000,0.187286
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.188533
TREX-DA+BT: TLARS,TPR,0.250000,0.743000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.240917
TREX-DA+BT: TLARS,Avg_L,0.250000,1.260000
TREX-DA+BT: TLARS,Avg_T,0.250000,19.505000
TREX-DA+BT: TLARS,FDR,0.300000,0.188802
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.189362
TREX-DA+BT: TLARS,TPR,0.300000,0.795000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.248361
TREX-DA+BT: TLARS,Avg_L,0.300000,1.045000
TREX-DA+BT: TLARS,Avg_T,0.300000,16.235000
TREX-DA+BT: TLARS,FDR,0.350000,0.216450
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.175879
TREX-DA+BT: TLARS,TPR,0.350000,0.879000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.227636
TREX-DA+BT: TLARS,Avg_L,0.350000,1.025000
TREX-DA+BT: TLARS,Avg_T,0.350000,16.015000
TREX-DA+BT: TLARS,FDR,0.400000,0.249194
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.174939
TREX-DA+BT: TLARS,TPR,0.400000,0.899000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.220550
TREX-DA+BT: TLARS,Avg_L,0.400000,1.020000
TREX-DA+BT: TLARS,Avg_T,0.400000,16.320000
TREX-DA+BT: TLARS,FDR,0.450000,0.292397
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.145987
TREX-DA+BT: TLARS,TPR,0.450000,0.955000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.147934
TREX-DA+BT: TLARS,Avg_L,0.450000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.450000,15.030000
TREX-DA+BT: TLARS,FDR,0.500000,0.329307
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.129511
TREX-DA+BT: TLARS,TPR,0.500000,0.987000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.069680
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,17.290000
TREX-DA+BT: TAFS,FDR,0.050000,0.059833
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.115617
TREX-DA+BT: TAFS,TPR,0.050000,0.674000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.288688
TREX-DA+BT: TAFS,Avg_L,0.050000,4.980000
TREX-DA+BT: TAFS,Avg_T,0.050000,7.805000
TREX-DA+BT: TAFS,FDR,0.100000,0.057929
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.121650
TREX-DA+BT: TAFS,TPR,0.100000,0.665000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.289819
TREX-DA+BT: TAFS,Avg_L,0.100000,2.825000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.740000
TREX-DA+BT: TAFS,FDR,0.150000,0.083690
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.131280
TREX-DA+BT: TAFS,TPR,0.150000,0.715000
