solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.068000
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.162041
TREX-DA+BT: TLARS,TPR,0.050000,0.508000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.340168
TREX-DA+BT: TLARS,Avg_L,0.050000,4.425000
TREX-DA+BT: TLARS,Avg_T,0.050000,48.085000
TREX-DA+BT: TLARS,FDR,0.100000,0.074167
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.161207
TREX-DA+BT: TLARS,TPR,0.100000,0.549000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.345537
TREX-DA+BT: TLARS,Avg_L,0.100000,2.635000
TREX-DA+BT: TLARS,Avg_T,0.100000,46.885000
TREX-DA+BT: TLARS,FDR,0.150000,0.111345
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.188282
TREX-DA+BT: TLARS,TPR,0.150000,0.521000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.341382
TREX-DA+BT: TLARS,Avg_L,0.150000,1.870000
TREX-DA+BT: TLARS,Avg_T,0.150000,35.015000
TREX-DA+BT: TLARS,FDR,0.200000,0.126774
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.201533
TREX-DA+BT: TLARS,TPR,0.200000,0.691000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.263565
TREX-DA+BT: TLARS,Avg_L,0.200000,1.665000
TREX-DA+BT: TLARS,Avg_T,0.200000,29.440000
TREX-DA+BT: TLARS,FDR,0.250000,0.130619
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.198168
TREX-DA+BT: TLARS,TPR,0.250000,0.687000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.251690
TREX-DA+BT: TLARS,Avg_L,0.250000,1.260000
TREX-DA+BT: TLARS,Avg_T,0.250000,22.910000
TREX-DA+BT: TLARS,FDR,0.300000,0.138540
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.199726
TREX-DA+BT: TLARS,TPR,0.300000,0.749000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.262954
TREX-DA+BT: TLARS,Avg_L,0.300000,1.095000
TREX-DA+BT: TLARS,Avg_T,0.300000,20.095000
TREX-DA+BT: TLARS,FDR,0.350000,0.179208
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.202978
TREX-DA+BT: TLARS,TPR,0.350000,0.801000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.275278
TREX-DA+BT: TLARS,Avg_L,0.350000,1.040000
TREX-DA+BT: TLARS,Avg_T,0.350000,18.900000
TREX-DA+BT: TLARS,FDR,0.400000,0.194421
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.194122
TREX-DA+BT: TLARS,TPR,0.400000,0.844000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.263078
TREX-DA+BT: TLARS,Avg_L,0.400000,1.020000
TREX-DA+BT: TLARS,Avg_T,0.400000,19.270000
TREX-DA+BT: TLARS,FDR,0.450000,0.226274
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.165399
TREX-DA+BT: TLARS,TPR,0.450000,0.929000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.186906
TREX-DA+BT: TLARS,Avg_L,0.450000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.450000,18.130000
TREX-DA+BT: TLARS,FDR,0.500000,0.286836
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.125091
TREX-DA+BT: TLARS,TPR,0.500000,0.984000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.083540
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,19.225000
TREX-DA+BT: TAFS,FDR,0.050000,0.052000
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.119142
TREX-DA+BT: TAFS,TPR,0.050000,0.607000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.312151
TREX-DA+BT: TAFS,Avg_L,0.050000,4.730000
TREX-DA+BT: TAFS,Avg_T,0.050000,7.905000
TREX-DA+BT: TAFS,FDR,0.100000,0.048417
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.105734
TREX-DA+BT: TAFS,TPR,0.100000,0.624000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.310978
TREX-DA+BT: TAFS,Avg_L,0.100000,2.780000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.745000
TREX-DA+BT: TAFS,FDR,0.150000,0.075583
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.137598
TREX-DA+BT: TAFS,TPR,0.150000,0.629000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.294947
TREX-DA+BT: TAFS,Avg_L,0.150000,1.940000
TREX-DA+BT: TAFS,Avg_T,0.150000,7.750000
TREX-DA+BT: TAFS,FDR,0.200000,0.075512
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.125633
TREX-DA+BT: TAFS,TPR,0.200000,0.792000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.197309
TREX-DA+BT: TAFS,Avg_L,0.200000,1.775000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.760000
TREX-DA+BT: TAFS,FDR,0.250000,0.095458
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.144044
TREX-DA+BT: TAFS,TPR,0.250000,0.761000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.193042
TREX-DA+BT: TAFS,Avg_L,0.250000,1.275000
TREX-DA+BT: TAFS,Avg_T,0.250000,7.605000
TREX-DA+BT: TAFS,FDR,0.300000,0.112274
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.138923
TREX-DA+BT: TAFS,TPR,0.300000,0.835000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.186410
TREX-DA+BT: TAFS,Avg_L,0.300000,1.065000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.495000
TREX-DA+BT: TAFS,FDR,0.350000,0.123798
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.128029
TREX-DA+BT: TAFS,TPR,0.350000,0.896000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.179289
TREX-DA+BT: TAFS,Avg_L,0.350000,1.020000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.320000
TREX-DA+BT: TAFS,FDR,0.400000,0.173202
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.127129
TREX-DA+BT: TAFS,TPR,0.400000,0.937000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.148124
TREX-DA+BT: TAFS,Avg_L,0.400000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.590000
TREX-DA+BT: TAFS,FDR,0.450000,0.193679
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.112045
TREX-DA+BT: TAFS,TPR,0.450000,0.977000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.069968
TREX-DA+BT: TAFS,Avg_L,0.450000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.450000,7.635000
