solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.098167
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.176532
TREX-DA+BT: TLARS,TPR,0.050000,0.606000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.321373
TREX-DA+BT: TLARS,Avg_L,0.050000,4.860000
TREX-DA+BT: TLARS,Avg_T,0.050000,45.015000
TREX-DA+BT: TLARS,FDR,0.100000,0.108917
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.172485
TREX-DA+BT: TLARS,TPR,0.100000,0.594000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.307958
TREX-DA+BT: TLARS,Avg_L,0.100000,2.660000
TREX-DA+BT: TLARS,Avg_T,0.100000,42.110000
TREX-DA+BT: TLARS,FDR,0.150000,0.122762
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.185672
TREX-DA+BT: TLARS,TPR,0.150000,0.657000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.301672
TREX-DA+BT: TLARS,Avg_L,0.150000,1.985000
TREX-DA+BT: TLARS,Avg_T,0.150000,31.250000
TREX-DA+BT: TLARS,FDR,0.200000,0.144476
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.203962
TREX-DA+BT: TLARS,TPR,0.200000,0.732000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.256329
TREX-DA+BT: TLARS,Avg_L,0.200000,1.625000
TREX-DA+BT: TLARS,Avg_T,0.200000,26.495000
TREX-DA+BT: TLARS,FDR,0.250000,0.141661
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.173562
TREX-DA+BT: TLARS,TPR,0.250000,0.773000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.231818
TREX-DA+BT: TLARS,Avg_L,0.250000,1.300000
TREX-DA+BT: TLARS,Avg_T,0.250000,20.955000
TREX-DA+BT: TLARS,FDR,0.300000,0.194507
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.203634
TREX-DA+BT: TLARS,TPR,0.300000,0.773000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.258855
TREX-DA+BT: TLARS,Avg_L,0.300000,1.065000
TREX-DA+BT: TLARS,Avg_T,0.300000,16.755000
TREX-DA+BT: TLARS,FDR,0.350000,0.208093
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.176406
TREX-DA+BT: TLARS,TPR,0.350000,0.817000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.239579
TREX-DA+BT: TLARS,Avg_L,0.350000,1.020000
TREX-DA+BT: TLARS,Avg_T,0.350000,16.725000
TREX-DA+BT: TLARS,FDR,0.400000,0.227205
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.163117
TREX-DA+BT: TLARS,TPR,0.400000,0.942000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.179994
TREX-DA+BT: TLARS,Avg_L,0.400000,1.015000
TREX-DA+BT: TLARS,Avg_T,0.400000,17.745000
TREX-DA+BT: TLARS,FDR,0.450000,0.247150
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.148451
TREX-DA+BT: TLARS,TPR,0.450000,0.963000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.133115
TREX-DA+BT: TLARS,Avg_L,0.450000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.450000,17.595000
TREX-DA+BT: TLARS,FDR,0.500000,0.316869
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.132828
TREX-DA+BT: TLARS,TPR,0.500000,0.980000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.102236
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,18.420000
TREX-DA+BT: TAFS,FDR,0.050000,0.057833
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.121616
TREX-DA+BT: TAFS,TPR,0.050000,0.653000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.289500
TREX-DA+BT: TAFS,Avg_L,0.050000,5.090000
TREX-DA+BT: TAFS,Avg_T,0.050000,7.670000
TREX-DA+BT: TAFS,FDR,0.100000,0.064250
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.123512
TREX-DA+BT: TAFS,TPR,0.100000,0.634000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.289244
TREX-DA+BT: TAFS,Avg_L,0.100000,2.695000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.675000
TREX-DA+BT: TAFS,FDR,0.150000,0.091929
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.145591
TREX-DA+BT: TAFS,TPR,0.150000,0.678000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.279835
TREX-DA+BT: TAFS,Avg_L,0.150000,1.975000
TREX-DA+BT: TAFS,Avg_T,0.150000,7.570000
TREX-DA+BT: TAFS,FDR,0.200000,0.098440
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.139691
TREX-DA+BT: TAFS,TPR,0.200000,0.787000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.191348
TREX-DA+BT: TAFS,Avg_L,0.200000,1.765000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.680000
TREX-DA+BT: TAFS,FDR,0.250000,0.125637
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.139614
TREX-DA+BT: TAFS,TPR,0.250000,0.805000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.187485
TREX-DA+BT: TAFS,Avg_L,0.250000,1.260000
TREX-DA+BT: TAFS,Avg_T,0.250000,7.220000
TREX-DA+BT: TAFS,FDR,0.300000,0.150258
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.144099
TREX-DA+BT: TAFS,TPR,0.300000,0.826000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.209628
TREX-DA+BT: TAFS,Avg_L,0.300000,1.090000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.265000
TREX-DA+BT: TAFS,FDR,0.350000,0.184256
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.145876
TREX-DA+BT: TAFS,TPR,0.350000,0.872000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.185981
TREX-DA+BT: TAFS,Avg_L,0.350000,1.035000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.355000
TREX-DA+BT: TAFS,FDR,0.400000,0.200188
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.120006
TREX-DA+BT: TAFS,TPR,0.400000,0.958000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.114462
TREX-DA+BT: TAFS,Avg_L,0.400000,1.010000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.595000
TREX-DA+BT: TAFS,FDR,0.450000,0.217101
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.114417
TREX-DA+BT: TAFS,TPR,0.450000,0.972000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.098307
TREX-DA+BT: TAFS,Avg_L,0.450000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.450000,7.545000
TREX-DA+BT: TAFS,FDR,0.500000,0.252766
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.109749
TREX-DA+BT: TAFS,TPR,0.500000,0.973000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.103560
TREX-DA+BT: TAFS,Avg_L,0.500000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.500000,7.675000
TREX-DA+BT: TOMP,FDR,0.050000,0.038833
TREX-DA+BT: TOMP,sd_FDR,0.050000,0.113877
TREX-DA+BT: TOMP,TPR,0.050000,0.847000
TREX-DA+BT: TOMP,sd_TPR,0.050000,0.305381
TREX-DA+BT: TOMP,Avg_L,0.050000,5.255000
TREX-DA+BT: TOMP,Avg_T,0.050000,7.805000
TREX-DA+BT: TOMP,FDR,0.100000,0.033000
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.084786
TREX-DA+BT: TOMP,TPR,0.100000,0.868000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.281018
TREX-DA+BT: TOMP,Avg_L,0.100000,2.875000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.905000
TREX-DA+BT: TOMP,FDR,0.150000,0.043012
TREX-DA+BT: TOMP,sd_FDR,0.150000,0.094892
TREX-DA+BT: TOMP,TPR,0.150000,0.883000
TREX-DA+BT: TOMP,sd_TPR,0.150000,0.264691
TREX-DA+BT: TOMP,Avg_L,0.150000,2.030000
TREX-DA+BT: TOMP,Avg_T,0.150000,7.725000
TREX-DA+BT: TOMP,FDR,0.200000,0.043583
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.093816
TREX-DA+BT: TOMP,TPR,0.200000,0.950000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.119883
TREX-DA+BT: TOMP,Avg_L,0.200000,1.900000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.745000
TREX-DA+BT: TOMP,FDR,0.250000,0.044083
