solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.092690
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.168033
TREX-DA+BT: TLARS,TPR,0.050000,0.609000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.336280
TREX-DA+BT: TLARS,Avg_L,0.050000,4.890000
TREX-DA+BT: TLARS,Avg_T,0.050000,43.425000
TREX-DA+BT: TLARS,FDR,0.100000,0.104012
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.155531
TREX-DA+BT: TLARS,TPR,0.100000,0.613000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.309370
TREX-DA+BT: TLARS,Avg_L,0.100000,2.735000
TREX-DA+BT: TLARS,Avg_T,0.100000,41.165000
TREX-DA+BT: TLARS,FDR,0.150000,0.130179
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.173085
TREX-DA+BT: TLARS,TPR,0.150000,0.690000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.284790
TREX-DA+BT: TLARS,Avg_L,0.150000,2.080000
TREX-DA+BT: TLARS,Avg_T,0.150000,31.660000
TREX-DA+BT: TLARS,FDR,0.200000,0.150661
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.191580
TREX-DA+BT: TLARS,TPR,0.200000,0.756000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.238218
TREX-DA+BT: TLARS,Avg_L,0.200000,1.730000
TREX-DA+BT: TLARS,Avg_T,0.200000,26.885000
TREX-DA+BT: TLARS,FDR,0.250000,0.175667
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.195224
TREX-DA+BT: TLARS,TPR,0.250000,0.768000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.247553
TREX-DA+BT: TLARS,Avg_L,0.250000,1.265000
TREX-DA+BT: TLARS,Avg_T,0.250000,19.715000
TREX-DA+BT: TLARS,FDR,0.300000,0.197063
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.196007
TREX-DA+BT: TLARS,TPR,0.300000,0.782000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.256916
TREX-DA+BT: TLARS,Avg_L,0.300000,1.060000
TREX-DA+BT: TLARS,Avg_T,0.300000,16.380000
TREX-DA+BT: TLARS,FDR,0.350000,0.225123
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.175622
TREX-DA+BT: TLARS,TPR,0.350000,0.833000
