solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.087167
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.192218
TREX-DA+BT: TLARS,TPR,0.050000,0.524000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.366189
TREX-DA+BT: TLARS,Avg_L,0.050000,4.405000
TREX-DA+BT: TLARS,Avg_T,0.050000,48.270000
TREX-DA+BT: TLARS,FDR,0.100000,0.100833
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.199831
TREX-DA+BT: TLARS,TPR,0.100000,0.535000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.334266
TREX-DA+BT: TLARS,Avg_L,0.100000,2.685000
TREX-DA+BT: TLARS,Avg_T,0.100000,47.305000
TREX-DA+BT: TLARS,FDR,0.150000,0.100917
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.179725
TREX-DA+BT: TLARS,TPR,0.150000,0.611000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.304867
TREX-DA+BT: TLARS,Avg_L,0.150000,2.035000
TREX-DA+BT: TLARS,Avg_T,0.150000,36.605000
TREX-DA+BT: TLARS,FDR,0.200000,0.129333
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.214411
TREX-DA+BT: TLARS,TPR,0.200000,0.695000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.265192
TREX-DA+BT: TLARS,Avg_L,0.200000,1.605000
TREX-DA+BT: TLARS,Avg_T,0.200000,27.285000
TREX-DA+BT: TLARS,FDR,0.250000,0.121524
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.181165
TREX-DA+BT: TLARS,TPR,0.250000,0.714000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.261045
TREX-DA+BT: TLARS,Avg_L,0.250000,1.335000
TREX-DA+BT: TLARS,Avg_T,0.250000,24.630000
TREX-DA+BT: TLARS,FDR,0.300000,0.153554
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.201826
TREX-DA+BT: TLARS,TPR,0.300000,0.728000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.270522
TREX-DA+BT: TLARS,Avg_L,0.300000,1.090000
TREX-DA+BT: TLARS,Avg_T,0.300000,20.110000
TREX-DA+BT: TLARS,FDR,0.350000,0.175375
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.194395
TREX-DA+BT: TLARS,TPR,0.350000,0.774000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.266984
TREX-DA+BT: TLARS,Avg_L,0.350000,1.045000
TREX-DA+BT: TLARS,Avg_T,0.350000,19.325000
TREX-DA+BT: TLARS,FDR,0.400000,0.190911
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.173740
TREX-DA+BT: TLARS,TPR,0.400000,0.889000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.239512
TREX-DA+BT: TLARS,Avg_L,0.400000,1.025000
TREX-DA+BT: TLARS,Avg_T,0.400000,20.030000
TREX-DA+BT: TLARS,FDR,0.450000,0.216516
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.167091
TREX-DA+BT: TLARS,TPR,0.450000,0.938000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.187434
TREX-DA+BT: TLARS,Avg_L,0.450000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.450000,18.440000
TREX-DA+BT: TLARS,FDR,0.500000,0.265814
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.135933
TREX-DA+BT: TLARS,TPR,0.500000,0.974000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.112192
TREX-DA+BT: TLARS,Avg_L,0.500000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.500000,19.860000
TREX-DA+BT: TAFS,FDR,0.050000,0.046667
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.111760
TREX-DA+BT: TAFS,TPR,0.050000,0.612000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.307782
TREX-DA+BT: TAFS,Avg_L,0.050000,4.890000
TREX-DA+BT: TAFS,Avg_T,0.050000,7.755000
TREX-DA+BT: TAFS,FDR,0.100000,0.049667
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.116421
TREX-DA+BT: TAFS,TPR,0.100000,0.618000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.289994
TREX-DA+BT: TAFS,Avg_L,0.100000,2.775000
TREX-DA+BT: TAFS,Avg_T,0.100000,7.720000
TREX-DA+BT: TAFS,FDR,0.150000,0.067929
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.126817
TREX-DA+BT: TAFS,TPR,0.150000,0.625000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.302710
TREX-DA+BT: TAFS,Avg_L,0.150000,1.950000
TREX-DA+BT: TAFS,Avg_T,0.150000,7.685000
TREX-DA+BT: TAFS,FDR,0.200000,0.078345
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.129798
TREX-DA+BT: TAFS,TPR,0.200000,0.774000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.205756
TREX-DA+BT: TAFS,Avg_L,0.200000,1.760000
TREX-DA+BT: TAFS,Avg_T,0.200000,7.575000
TREX-DA+BT: TAFS,FDR,0.250000,0.094982
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.158217
TREX-DA+BT: TAFS,TPR,0.250000,0.766000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.210393
TREX-DA+BT: TAFS,Avg_L,0.250000,1.330000
TREX-DA+BT: TAFS,Avg_T,0.250000,7.605000
TREX-DA+BT: TAFS,FDR,0.300000,0.121125
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.136815
TREX-DA+BT: TAFS,TPR,0.300000,0.800000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.205453
TREX-DA+BT: TAFS,Avg_L,0.300000,1.060000
TREX-DA+BT: TAFS,Avg_T,0.300000,7.355000
TREX-DA+BT: TAFS,FDR,0.350000,0.152161
