solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.017500
TREX-DA: TLARS,sd_FDR,1.000000,0.092120
TREX-DA: TLARS,TPR,1.000000,0.905000
TREX-DA: TLARS,sd_TPR,1.000000,0.293951
TREX-DA: TLARS,Avg_L,1.000000,8.985000
TREX-DA: TLARS,Avg_T,1.000000,59.095000
TREX-DA: TLARS,FDR,3.000000,0.026667
TREX-DA: TLARS,sd_FDR,3.000000,0.084687
TREX-DA: TLARS,TPR,3.000000,0.930000
TREX-DA: TLARS,sd_TPR,3.000000,0.144081
TREX-DA: TLARS,Avg_L,3.000000,4.025000
TREX-DA: TLARS,Avg_T,3.000000,20.605000
TREX-DA: TLARS,FDR,5.000000,0.031738
TREX-DA: TLARS,sd_FDR,5.000000,0.086286
TREX-DA: TLARS,TPR,5.000000,0.903000
TREX-DA: TLARS,sd_TPR,5.000000,0.129905
TREX-DA: TLARS,Avg_L,5.000000,2.395000
TREX-DA: TLARS,Avg_T,5.000000,11.285000
TREX-DA: TLARS,FDR,10.000000,0.059750
TREX-DA: TLARS,sd_FDR,10.000000,0.089880
TREX-DA: TLARS,TPR,10.000000,0.837000
TREX-DA: TLARS,sd_TPR,10.000000,0.130060
TREX-DA: TLARS,Avg_L,10.000000,2.140000
TREX-DA: TLARS,Avg_T,10.000000,10.945000
TREX-DA: TLARS,FDR,15.000000,0.059896
TREX-DA: TLARS,sd_FDR,15.000000,0.076187
TREX-DA: TLARS,TPR,15.000000,0.631333
TREX-DA: TLARS,sd_TPR,15.000000,0.150623
TREX-DA: TLARS,Avg_L,15.000000,3.075000
TREX-DA: TLARS,Avg_T,15.000000,6.815000
TREX-DA: TLARS,FDR,20.000000,0.090634
TREX-DA: TLARS,sd_FDR,20.000000,0.098639
TREX-DA: TLARS,TPR,20.000000,0.373750
TREX-DA: TLARS,sd_TPR,20.000000,0.167297
TREX-DA: TLARS,Avg_L,20.000000,4.230000
TREX-DA: TLARS,Avg_T,20.000000,7.750000
TREX-DA: TLARS,FDR,30.000000,0.108075
TREX-DA: TLARS,sd_FDR,30.000000,0.156857
