solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.015000
TREX-DA: TLARS,sd_FDR,1.000000,0.085508
TREX-DA: TLARS,TPR,1.000000,0.900000
TREX-DA: TLARS,sd_TPR,1.000000,0.300753
TREX-DA: TLARS,Avg_L,1.000000,8.925000
TREX-DA: TLARS,Avg_T,1.000000,63.175000
TREX-DA: TLARS,FDR,3.000000,0.013333
TREX-DA: TLARS,sd_FDR,3.000000,0.063865
TREX-DA: TLARS,TPR,3.000000,0.910000
TREX-DA: TLARS,sd_TPR,3.000000,0.175908
TREX-DA: TLARS,Avg_L,3.000000,4.105000
TREX-DA: TLARS,Avg_T,3.000000,28.775000
TREX-DA: TLARS,FDR,5.000000,0.014667
TREX-DA: TLARS,sd_FDR,5.000000,0.068455
TREX-DA: TLARS,TPR,5.000000,0.894000
TREX-DA: TLARS,sd_TPR,5.000000,0.153891
TREX-DA: TLARS,Avg_L,5.000000,2.580000
TREX-DA: TLARS,Avg_T,5.000000,21.620000
TREX-DA: TLARS,FDR,10.000000,0.018991
TREX-DA: TLARS,sd_FDR,10.000000,0.058155
TREX-DA: TLARS,TPR,10.000000,0.844000
TREX-DA: TLARS,sd_TPR,10.000000,0.136223
TREX-DA: TLARS,Avg_L,10.000000,2.305000
TREX-DA: TLARS,Avg_T,10.000000,15.100000
TREX-DA: TLARS,FDR,15.000000,0.028658
TREX-DA: TLARS,sd_FDR,15.000000,0.052105
TREX-DA: TLARS,TPR,15.000000,0.593000
TREX-DA: TLARS,sd_TPR,15.000000,0.161290
TREX-DA: TLARS,Avg_L,15.000000,3.070000
TREX-DA: TLARS,Avg_T,15.000000,5.950000
TREX-DA: TLARS,FDR,20.000000,0.050263
TREX-DA: TLARS,sd_FDR,20.000000,0.078804
TREX-DA: TLARS,TPR,20.000000,0.343000
TREX-DA: TLARS,sd_TPR,20.000000,0.163507
TREX-DA: TLARS,Avg_L,20.000000,4.650000
TREX-DA: TLARS,Avg_T,20.000000,9.020000
TREX-DA: TLARS,FDR,30.000000,0.077153
TREX-DA: TLARS,sd_FDR,30.000000,0.134816
TREX-DA: TLARS,TPR,30.000000,0.106667
TREX-DA: TLARS,sd_TPR,30.000000,0.097312
TREX-DA: TLARS,Avg_L,30.000000,4.925000
TREX-DA: TLARS,Avg_T,30.000000,5.630000
TREX-DA: TAFS,FDR,1.000000,0.010000
TREX-DA: TAFS,sd_FDR,1.000000,0.099748
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.155000
TREX-DA: TAFS,Avg_T,1.000000,6.615000
TREX-DA: TAFS,FDR,3.000000,0.006667
TREX-DA: TAFS,sd_FDR,3.000000,0.046784
TREX-DA: TAFS,TPR,3.000000,0.586667
TREX-DA: TAFS,sd_TPR,3.000000,0.167885
TREX-DA: TAFS,Avg_L,3.000000,3.930000
TREX-DA: TAFS,Avg_T,3.000000,7.440000
