solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.022500
TREX-DA: TLARS,sd_FDR,5.000000,0.070151
TREX-DA: TLARS,TPR,5.000000,0.921000
TREX-DA: TLARS,sd_TPR,5.000000,0.125049
TREX-DA: TLARS,Avg_L,5.000000,2.310000
TREX-DA: TLARS,Avg_T,5.000000,10.675000
TREX-DA: TLARS,FDR,10.000000,0.035167
TREX-DA: TLARS,sd_FDR,10.000000,0.094174
TREX-DA: TLARS,TPR,10.000000,0.897000
TREX-DA: TLARS,sd_TPR,10.000000,0.137424
TREX-DA: TLARS,Avg_L,10.000000,2.465000
TREX-DA: TLARS,Avg_T,10.000000,16.110000
TREX-DA: TLARS,FDR,15.000000,0.047500
TREX-DA: TLARS,sd_FDR,15.000000,0.096906
TREX-DA: TLARS,TPR,15.000000,0.905000
TREX-DA: TLARS,sd_TPR,15.000000,0.134407
TREX-DA: TLARS,Avg_L,15.000000,2.495000
TREX-DA: TLARS,Avg_T,15.000000,15.300000
TREX-DA: TLARS,FDR,20.000000,0.044012
TREX-DA: TLARS,sd_FDR,20.000000,0.097098
TREX-DA: TLARS,TPR,20.000000,0.890000
TREX-DA: TLARS,sd_TPR,20.000000,0.151043
TREX-DA: TLARS,Avg_L,20.000000,2.380000
TREX-DA: TLARS,Avg_T,20.000000,13.555000
TREX-DA: TLARS,FDR,25.000000,0.054262
TREX-DA: TLARS,sd_FDR,25.000000,0.112283
TREX-DA: TLARS,TPR,25.000000,0.889000
TREX-DA: TLARS,sd_TPR,25.000000,0.148287
TREX-DA: TLARS,Avg_L,25.000000,2.365000
TREX-DA: TLARS,Avg_T,25.000000,12.830000
TREX-DA: TLARS,FDR,30.000000,0.042333
TREX-DA: TLARS,sd_FDR,30.000000,0.102015
TREX-DA: TLARS,TPR,30.000000,0.897000
TREX-DA: TLARS,sd_TPR,30.000000,0.143155
TREX-DA: TLARS,Avg_L,30.000000,2.410000
TREX-DA: TLARS,Avg_T,30.000000,18.115000
TREX-DA: TLARS,FDR,35.000000,0.045833
TREX-DA: TLARS,sd_FDR,35.000000,0.102696
TREX-DA: TLARS,TPR,35.000000,0.893000
TREX-DA: TLARS,sd_TPR,35.000000,0.147171
TREX-DA: TLARS,Avg_L,35.000000,2.470000
TREX-DA: TLARS,Avg_T,35.000000,23.200000
TREX-DA: TLARS,FDR,40.000000,0.050833
TREX-DA: TLARS,sd_FDR,40.000000,0.105895
TREX-DA: TLARS,TPR,40.000000,0.900000
TREX-DA: TLARS,sd_TPR,40.000000,0.145968
TREX-DA: TLARS,Avg_L,40.000000,2.380000
TREX-DA: TLARS,Avg_T,40.000000,17.415000
TREX-DA: TLARS,FDR,45.000000,0.065000
TREX-DA: TLARS,sd_FDR,45.000000,0.125903
TREX-DA: TLARS,TPR,45.000000,0.895000
TREX-DA: TLARS,sd_TPR,45.000000,0.157796
TREX-DA: TLARS,Avg_L,45.000000,2.405000
TREX-DA: TLARS,Avg_T,45.000000,21.805000
TREX-DA: TLARS,FDR,50.000000,0.052512
TREX-DA: TLARS,sd_FDR,50.000000,0.123527
TREX-DA: TLARS,TPR,50.000000,0.897000
TREX-DA: TLARS,sd_TPR,50.000000,0.166522
TREX-DA: TLARS,Avg_L,50.000000,2.395000
TREX-DA: TLARS,Avg_T,50.000000,20.775000
TREX-DA: TAFS,FDR,5.000000,0.013667
TREX-DA: TAFS,sd_FDR,5.000000,0.051139
TREX-DA: TAFS,TPR,5.000000,0.838000
TREX-DA: TAFS,sd_TPR,5.000000,0.090537
TREX-DA: TAFS,Avg_L,5.000000,2.495000
TREX-DA: TAFS,Avg_T,5.000000,7.400000
TREX-DA: TAFS,FDR,10.000000,0.020929
TREX-DA: TAFS,sd_FDR,10.000000,0.062924
TREX-DA: TAFS,TPR,10.000000,0.847000
TREX-DA: TAFS,sd_TPR,10.000000,0.091832
TREX-DA: TAFS,Avg_L,10.000000,2.520000
TREX-DA: TAFS,Avg_T,10.000000,7.025000
TREX-DA: TAFS,FDR,15.000000,0.018833
TREX-DA: TAFS,sd_FDR,15.000000,0.057839
TREX-DA: TAFS,TPR,15.000000,0.844000
TREX-DA: TAFS,sd_TPR,15.000000,0.096491
TREX-DA: TAFS,Avg_L,15.000000,2.435000
TREX-DA: TAFS,Avg_T,15.000000,7.220000
TREX-DA: TAFS,FDR,20.000000,0.021917
TREX-DA: TAFS,sd_FDR,20.000000,0.065517
TREX-DA: TAFS,TPR,20.000000,0.832000
TREX-DA: TAFS,sd_TPR,20.000000,0.101129
TREX-DA: TAFS,Avg_L,20.000000,2.540000
TREX-DA: TAFS,Avg_T,20.000000,7.185000
TREX-DA: TAFS,FDR,25.000000,0.035679
TREX-DA: TAFS,sd_FDR,25.000000,0.080776
TREX-DA: TAFS,TPR,25.000000,0.840000
TREX-DA: TAFS,sd_TPR,25.000000,0.107974
TREX-DA: TAFS,Avg_L,25.000000,2.540000
TREX-DA: TAFS,Avg_T,25.000000,7.330000
TREX-DA: TAFS,FDR,30.000000,0.026036
TREX-DA: TAFS,sd_FDR,30.000000,0.074447
TREX-DA: TAFS,TPR,30.000000,0.843000
TREX-DA: TAFS,sd_TPR,30.000000,0.107745
TREX-DA: TAFS,Avg_L,30.000000,2.540000
TREX-DA: TAFS,Avg_T,30.000000,7.325000
TREX-DA: TAFS,FDR,35.000000,0.028333
TREX-DA: TAFS,sd_FDR,35.000000,0.073896
TREX-DA: TAFS,TPR,35.000000,0.836000
TREX-DA: TAFS,sd_TPR,35.000000,0.099769
TREX-DA: TAFS,Avg_L,35.000000,2.430000
TREX-DA: TAFS,Avg_T,35.000000,7.185000
TREX-DA: TAFS,FDR,40.000000,0.033012
TREX-DA: TAFS,sd_FDR,40.000000,0.080930
TREX-DA: TAFS,TPR,40.000000,0.832000
TREX-DA: TAFS,sd_TPR,40.000000,0.117666
TREX-DA: TAFS,Avg_L,40.000000,2.515000
TREX-DA: TAFS,Avg_T,40.000000,7.255000
TREX-DA: TAFS,FDR,45.000000,0.030167
TREX-DA: TAFS,sd_FDR,45.000000,0.076830
TREX-DA: TAFS,TPR,45.000000,0.832000
TREX-DA: TAFS,sd_TPR,45.000000,0.099122
TREX-DA: TAFS,Avg_L,45.000000,2.495000
TREX-DA: TAFS,Avg_T,45.000000,7.440000
