solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.030940
TREX-DA: TLARS,sd_FDR,5.000000,0.083471
TREX-DA: TLARS,TPR,5.000000,0.921000
TREX-DA: TLARS,sd_TPR,5.000000,0.125049
TREX-DA: TLARS,Avg_L,5.000000,2.325000
TREX-DA: TLARS,Avg_T,5.000000,10.650000
TREX-DA: TLARS,FDR,10.000000,0.031500
TREX-DA: TLARS,sd_FDR,10.000000,0.079708
TREX-DA: TLARS,TPR,10.000000,0.910000
TREX-DA: TLARS,sd_TPR,10.000000,0.121548
TREX-DA: TLARS,Avg_L,10.000000,2.365000
TREX-DA: TLARS,Avg_T,10.000000,12.400000
TREX-DA: TLARS,FDR,15.000000,0.036512
TREX-DA: TLARS,sd_FDR,15.000000,0.087341
TREX-DA: TLARS,TPR,15.000000,0.913000
TREX-DA: TLARS,sd_TPR,15.000000,0.132358
TREX-DA: TLARS,Avg_L,15.000000,2.430000
TREX-DA: TLARS,Avg_T,15.000000,13.565000
TREX-DA: TLARS,FDR,20.000000,0.034167
TREX-DA: TLARS,sd_FDR,20.000000,0.084848
TREX-DA: TLARS,TPR,20.000000,0.903000
TREX-DA: TLARS,sd_TPR,20.000000,0.137424
TREX-DA: TLARS,Avg_L,20.000000,2.335000
TREX-DA: TLARS,Avg_T,20.000000,13.160000
TREX-DA: TLARS,FDR,25.000000,0.049274
TREX-DA: TLARS,sd_FDR,25.000000,0.102227
TREX-DA: TLARS,TPR,25.000000,0.901000
TREX-DA: TLARS,sd_TPR,25.000000,0.134497
TREX-DA: TLARS,Avg_L,25.000000,2.340000
TREX-DA: TLARS,Avg_T,25.000000,14.280000
TREX-DA: TLARS,FDR,30.000000,0.045417
TREX-DA: TLARS,sd_FDR,30.000000,0.105739
TREX-DA: TLARS,TPR,30.000000,0.897000
TREX-DA: TLARS,sd_TPR,30.000000,0.144553
TREX-DA: TLARS,Avg_L,30.000000,2.360000
TREX-DA: TLARS,Avg_T,30.000000,15.960000
TREX-DA: TLARS,FDR,35.000000,0.043667
TREX-DA: TLARS,sd_FDR,35.000000,0.098998
TREX-DA: TLARS,TPR,35.000000,0.900000
TREX-DA: TLARS,sd_TPR,35.000000,0.144584
TREX-DA: TLARS,Avg_L,35.000000,2.395000
TREX-DA: TLARS,Avg_T,35.000000,16.970000
TREX-DA: TLARS,FDR,40.000000,0.035095
TREX-DA: TLARS,sd_FDR,40.000000,0.088563
TREX-DA: TLARS,TPR,40.000000,0.918000
TREX-DA: TLARS,sd_TPR,40.000000,0.122273
TREX-DA: TLARS,Avg_L,40.000000,2.360000
TREX-DA: TLARS,Avg_T,40.000000,15.825000
TREX-DA: TLARS,FDR,45.000000,0.061000
TREX-DA: TLARS,sd_FDR,45.000000,0.134547
TREX-DA: TLARS,TPR,45.000000,0.897000
TREX-DA: TLARS,sd_TPR,45.000000,0.166522
TREX-DA: TLARS,Avg_L,45.000000,2.365000
TREX-DA: TLARS,Avg_T,45.000000,17.155000
TREX-DA: TLARS,FDR,50.000000,0.032500
TREX-DA: TLARS,sd_FDR,50.000000,0.083855
TREX-DA: TLARS,TPR,50.000000,0.907000
TREX-DA: TLARS,sd_TPR,50.000000,0.144414
TREX-DA: TLARS,Avg_L,50.000000,2.360000
TREX-DA: TLARS,Avg_T,50.000000,17.345000
TREX-DA: TAFS,FDR,5.000000,0.011833
TREX-DA: TAFS,sd_FDR,5.000000,0.045193
TREX-DA: TAFS,TPR,5.000000,0.842000
