solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.012000
TREX-DA: TLARS,sd_FDR,5.000000,0.048054
TREX-DA: TLARS,TPR,5.000000,0.917000
TREX-DA: TLARS,sd_TPR,5.000000,0.133417
TREX-DA: TLARS,Avg_L,5.000000,2.520000
TREX-DA: TLARS,Avg_T,5.000000,15.545000
TREX-DA: TLARS,FDR,10.000000,0.015917
TREX-DA: TLARS,sd_FDR,10.000000,0.069863
TREX-DA: TLARS,TPR,10.000000,0.907000
TREX-DA: TLARS,sd_TPR,10.000000,0.143015
TREX-DA: TLARS,Avg_L,10.000000,2.865000
TREX-DA: TLARS,Avg_T,10.000000,21.525000
TREX-DA: TLARS,FDR,15.000000,0.029083
TREX-DA: TLARS,sd_FDR,15.000000,0.089947
TREX-DA: TLARS,TPR,15.000000,0.825000
TREX-DA: TLARS,sd_TPR,15.000000,0.262908
TREX-DA: TLARS,Avg_L,15.000000,2.835000
TREX-DA: TLARS,Avg_T,15.000000,21.045000
TREX-DA: TLARS,FDR,20.000000,0.015083
TREX-DA: TLARS,sd_FDR,20.000000,0.068700
TREX-DA: TLARS,TPR,20.000000,0.842000
TREX-DA: TLARS,sd_TPR,20.000000,0.244407
TREX-DA: TLARS,Avg_L,20.000000,2.985000
TREX-DA: TLARS,Avg_T,20.000000,22.855000
TREX-DA: TLARS,FDR,25.000000,0.022917
TREX-DA: TLARS,sd_FDR,25.000000,0.072223
TREX-DA: TLARS,TPR,25.000000,0.788000
TREX-DA: TLARS,sd_TPR,25.000000,0.285418
TREX-DA: TLARS,Avg_L,25.000000,2.990000
TREX-DA: TLARS,Avg_T,25.000000,29.185000
TREX-DA: TLARS,FDR,30.000000,0.029417
TREX-DA: TLARS,sd_FDR,30.000000,0.098367
TREX-DA: TLARS,TPR,30.000000,0.707000
TREX-DA: TLARS,sd_TPR,30.000000,0.368006
TREX-DA: TLARS,Avg_L,30.000000,2.900000
TREX-DA: TLARS,Avg_T,30.000000,26.760000
TREX-DA: TLARS,FDR,35.000000,0.044583
TREX-DA: TLARS,sd_FDR,35.000000,0.107064
TREX-DA: TLARS,TPR,35.000000,0.682000
TREX-DA: TLARS,sd_TPR,35.000000,0.370354
TREX-DA: TLARS,Avg_L,35.000000,2.960000
TREX-DA: TLARS,Avg_T,35.000000,31.730000
