solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.000000
TREX-DA: TLARS,sd_FDR,0.100000,0.000000
TREX-DA: TLARS,TPR,0.100000,0.017000
TREX-DA: TLARS,sd_TPR,0.100000,0.065823
TREX-DA: TLARS,Avg_L,0.100000,2.285000
TREX-DA: TLARS,Avg_T,0.100000,5.885000
TREX-DA: TLARS,FDR,0.200000,0.027917
TREX-DA: TLARS,sd_FDR,0.200000,0.117042
TREX-DA: TLARS,TPR,0.200000,0.103000
TREX-DA: TLARS,sd_TPR,0.200000,0.167725
TREX-DA: TLARS,Avg_L,0.200000,4.875000
TREX-DA: TLARS,Avg_T,0.200000,3.780000
TREX-DA: TLARS,FDR,0.500000,0.030226
TREX-DA: TLARS,sd_FDR,0.500000,0.087926
TREX-DA: TLARS,TPR,0.500000,0.686000
TREX-DA: TLARS,sd_TPR,0.500000,0.210775
TREX-DA: TLARS,Avg_L,0.500000,4.055000
TREX-DA: TLARS,Avg_T,0.500000,6.960000
TREX-DA: TLARS,FDR,0.600000,0.023833
TREX-DA: TLARS,sd_FDR,0.600000,0.080695
TREX-DA: TLARS,TPR,0.600000,0.792000
TREX-DA: TLARS,sd_TPR,0.600000,0.193191
TREX-DA: TLARS,Avg_L,0.600000,3.400000
TREX-DA: TLARS,Avg_T,0.600000,12.755000
TREX-DA: TLARS,FDR,1.000000,0.023262
TREX-DA: TLARS,sd_FDR,1.000000,0.066186
TREX-DA: TLARS,TPR,1.000000,0.915000
TREX-DA: TLARS,sd_TPR,1.000000,0.121030
TREX-DA: TLARS,Avg_L,1.000000,2.400000
TREX-DA: TLARS,Avg_T,1.000000,13.610000
TREX-DA: TLARS,FDR,2.000000,0.024833
TREX-DA: TLARS,sd_FDR,2.000000,0.079132
TREX-DA: TLARS,TPR,2.000000,0.909000
TREX-DA: TLARS,sd_TPR,2.000000,0.135687
TREX-DA: TLARS,Avg_L,2.000000,2.345000
TREX-DA: TLARS,Avg_T,2.000000,9.485000
TREX-DA: TLARS,FDR,5.000000,0.028774
TREX-DA: TLARS,sd_FDR,5.000000,0.085934
TREX-DA: TLARS,TPR,5.000000,0.903000
TREX-DA: TLARS,sd_TPR,5.000000,0.135954
TREX-DA: TLARS,Avg_L,5.000000,2.360000
TREX-DA: TLARS,Avg_T,5.000000,11.695000
TREX-DA: TAFS,FDR,0.100000,0.010000
TREX-DA: TAFS,sd_FDR,0.100000,0.099748
TREX-DA: TAFS,TPR,0.100000,0.017000
TREX-DA: TAFS,sd_TPR,0.100000,0.062695
TREX-DA: TAFS,Avg_L,0.100000,2.455000
TREX-DA: TAFS,Avg_T,0.100000,4.805000
TREX-DA: TAFS,FDR,0.200000,0.026833
TREX-DA: TAFS,sd_FDR,0.200000,0.124338
TREX-DA: TAFS,TPR,0.200000,0.101000
TREX-DA: TAFS,sd_TPR,0.200000,0.170129
TREX-DA: TAFS,Avg_L,0.200000,4.810000
TREX-DA: TAFS,Avg_T,0.200000,3.695000
TREX-DA: TAFS,FDR,0.500000,0.042107
TREX-DA: TAFS,sd_FDR,0.500000,0.101608
TREX-DA: TAFS,TPR,0.500000,0.792000
TREX-DA: TAFS,sd_TPR,0.500000,0.207246
TREX-DA: TAFS,Avg_L,0.500000,3.510000
TREX-DA: TAFS,Avg_T,0.500000,5.790000
TREX-DA: TAFS,FDR,0.600000,0.034250
TREX-DA: TAFS,sd_FDR,0.600000,0.083979
TREX-DA: TAFS,TPR,0.600000,0.879000
TREX-DA: TAFS,sd_TPR,0.600000,0.157745
TREX-DA: TAFS,Avg_L,0.600000,2.820000
TREX-DA: TAFS,Avg_T,0.600000,6.335000
TREX-DA: TAFS,FDR,1.000000,0.018929
