solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.017500
TREX-DA: TLARS,sd_FDR,1.000000,0.092120
TREX-DA: TLARS,TPR,1.000000,0.900000
TREX-DA: TLARS,sd_TPR,1.000000,0.300753
TREX-DA: TLARS,Avg_L,1.000000,8.935000
TREX-DA: TLARS,Avg_T,1.000000,58.450000
TREX-DA: TLARS,FDR,3.000000,0.026583
TREX-DA: TLARS,sd_FDR,3.000000,0.087158
TREX-DA: TLARS,TPR,3.000000,0.918333
TREX-DA: TLARS,sd_TPR,3.000000,0.151293
TREX-DA: TLARS,Avg_L,3.000000,3.985000
TREX-DA: TLARS,Avg_T,3.000000,22.800000
TREX-DA: TLARS,FDR,5.000000,0.030595
TREX-DA: TLARS,sd_FDR,5.000000,0.081409
TREX-DA: TLARS,TPR,5.000000,0.902000
TREX-DA: TLARS,sd_TPR,5.000000,0.134486
TREX-DA: TLARS,Avg_L,5.000000,2.410000
TREX-DA: TLARS,Avg_T,5.000000,9.830000
TREX-DA: TLARS,FDR,10.000000,0.055879
TREX-DA: TLARS,sd_FDR,10.000000,0.087307
TREX-DA: TLARS,TPR,10.000000,0.837500
TREX-DA: TLARS,sd_TPR,10.000000,0.126585
TREX-DA: TLARS,Avg_L,10.000000,2.155000
TREX-DA: TLARS,Avg_T,10.000000,8.700000
TREX-DA: TLARS,FDR,15.000000,0.051055
TREX-DA: TLARS,sd_FDR,15.000000,0.072087
TREX-DA: TLARS,TPR,15.000000,0.636000
TREX-DA: TLARS,sd_TPR,15.000000,0.150316
TREX-DA: TLARS,Avg_L,15.000000,3.045000
TREX-DA: TLARS,Avg_T,15.000000,6.520000
TREX-DA: TLARS,FDR,20.000000,0.079347
TREX-DA: TLARS,sd_FDR,20.000000,0.103192
TREX-DA: TLARS,TPR,20.000000,0.355750
TREX-DA: TLARS,sd_TPR,20.000000,0.176736
TREX-DA: TLARS,Avg_L,20.000000,4.090000
TREX-DA: TLARS,Avg_T,20.000000,6.900000
TREX-DA: TLARS,FDR,30.000000,0.111049
TREX-DA: TLARS,sd_FDR,30.000000,0.177345
