solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.085238
TREX-DA: TLARS,sd_FDR,0.000000,0.121478
TREX-DA: TLARS,TPR,0.000000,0.903000
TREX-DA: TLARS,sd_TPR,0.000000,0.195402
TREX-DA: TLARS,Avg_L,0.000000,2.975000
TREX-DA: TLARS,Avg_T,0.000000,16.305000
TREX-DA: TLARS,FDR,0.100000,0.071274
TREX-DA: TLARS,sd_FDR,0.100000,0.118000
TREX-DA: TLARS,TPR,0.100000,0.924000
TREX-DA: TLARS,sd_TPR,0.100000,0.166017
TREX-DA: TLARS,Avg_L,0.100000,3.035000
TREX-DA: TLARS,Avg_T,0.100000,16.575000
TREX-DA: TLARS,FDR,0.200000,0.062512
TREX-DA: TLARS,sd_FDR,0.200000,0.107542
TREX-DA: TLARS,TPR,0.200000,0.951000
TREX-DA: TLARS,sd_TPR,0.200000,0.105139
TREX-DA: TLARS,Avg_L,0.200000,2.835000
TREX-DA: TLARS,Avg_T,0.200000,16.520000
TREX-DA: TLARS,FDR,0.300000,0.029262
TREX-DA: TLARS,sd_FDR,0.300000,0.074735
TREX-DA: TLARS,TPR,0.300000,0.979000
TREX-DA: TLARS,sd_TPR,0.300000,0.067690
TREX-DA: TLARS,Avg_L,0.300000,2.495000
TREX-DA: TLARS,Avg_T,0.300000,14.350000
TREX-DA: TLARS,FDR,0.400000,0.033476
TREX-DA: TLARS,sd_FDR,0.400000,0.079557
TREX-DA: TLARS,TPR,0.400000,0.974000
TREX-DA: TLARS,sd_TPR,0.400000,0.070347
TREX-DA: TLARS,Avg_L,0.400000,2.210000
TREX-DA: TLARS,Avg_T,0.400000,12.750000
TREX-DA: TLARS,FDR,0.500000,0.019893
TREX-DA: TLARS,sd_FDR,0.500000,0.061132
TREX-DA: TLARS,TPR,0.500000,0.978000
TREX-DA: TLARS,sd_TPR,0.500000,0.068845
TREX-DA: TLARS,Avg_L,0.500000,2.190000
TREX-DA: TLARS,Avg_T,0.500000,12.740000
TREX-DA: TLARS,FDR,0.600000,0.021833
TREX-DA: TLARS,sd_FDR,0.600000,0.061286
TREX-DA: TLARS,TPR,0.600000,0.942000
TREX-DA: TLARS,sd_TPR,0.600000,0.103390
TREX-DA: TLARS,Avg_L,0.600000,2.345000
TREX-DA: TLARS,Avg_T,0.600000,11.295000
TREX-DA: TLARS,FDR,0.700000,0.029250
TREX-DA: TLARS,sd_FDR,0.700000,0.086747
TREX-DA: TLARS,TPR,0.700000,0.891000
TREX-DA: TLARS,sd_TPR,0.700000,0.131168
TREX-DA: TLARS,Avg_L,0.700000,2.425000
TREX-DA: TLARS,Avg_T,0.700000,15.720000
TREX-DA: TLARS,FDR,0.800000,0.033500
