solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.072137
TREX-DA: TLARS,sd_FDR,0.000000,0.113430
TREX-DA: TLARS,TPR,0.000000,0.914000
TREX-DA: TLARS,sd_TPR,0.000000,0.192847
TREX-DA: TLARS,Avg_L,0.000000,2.980000
TREX-DA: TLARS,Avg_T,0.000000,15.485000
TREX-DA: TLARS,FDR,0.100000,0.072750
TREX-DA: TLARS,sd_FDR,0.100000,0.115484
TREX-DA: TLARS,TPR,0.100000,0.923000
TREX-DA: TLARS,sd_TPR,0.100000,0.166160
TREX-DA: TLARS,Avg_L,0.100000,3.000000
TREX-DA: TLARS,Avg_T,0.100000,18.585000
TREX-DA: TLARS,FDR,0.200000,0.056417
TREX-DA: TLARS,sd_FDR,0.200000,0.100149
TREX-DA: TLARS,TPR,0.200000,0.958000
TREX-DA: TLARS,sd_TPR,0.200000,0.095296
TREX-DA: TLARS,Avg_L,0.200000,2.845000
TREX-DA: TLARS,Avg_T,0.200000,16.565000
TREX-DA: TLARS,FDR,0.300000,0.050524
TREX-DA: TLARS,sd_FDR,0.300000,0.100625
TREX-DA: TLARS,TPR,0.300000,0.961000
TREX-DA: TLARS,sd_TPR,0.300000,0.091217
TREX-DA: TLARS,Avg_L,0.300000,2.650000
TREX-DA: TLARS,Avg_T,0.300000,18.160000
TREX-DA: TLARS,FDR,0.400000,0.044929
TREX-DA: TLARS,sd_FDR,0.400000,0.088259
TREX-DA: TLARS,TPR,0.400000,0.961000
TREX-DA: TLARS,sd_TPR,0.400000,0.084348
TREX-DA: TLARS,Avg_L,0.400000,2.565000
TREX-DA: TLARS,Avg_T,0.400000,14.920000
TREX-DA: TLARS,FDR,0.500000,0.027679
TREX-DA: TLARS,sd_FDR,0.500000,0.075607
TREX-DA: TLARS,TPR,0.500000,0.972000
TREX-DA: TLARS,sd_TPR,0.500000,0.077758
TREX-DA: TLARS,Avg_L,0.500000,2.245000
TREX-DA: TLARS,Avg_T,0.500000,10.850000
TREX-DA: TLARS,FDR,0.600000,0.029345
TREX-DA: TLARS,sd_FDR,0.600000,0.077680
TREX-DA: TLARS,TPR,0.600000,0.946000
TREX-DA: TLARS,sd_TPR,0.600000,0.103623
TREX-DA: TLARS,Avg_L,0.600000,2.250000
TREX-DA: TLARS,Avg_T,0.600000,8.550000
TREX-DA: TLARS,FDR,0.700000,0.035000
TREX-DA: TLARS,sd_FDR,0.700000,0.099566
TREX-DA: TLARS,TPR,0.700000,0.891000
TREX-DA: TLARS,sd_TPR,0.700000,0.137161
TREX-DA: TLARS,Avg_L,0.700000,2.400000
TREX-DA: TLARS,Avg_T,0.700000,14.515000
TREX-DA: TLARS,FDR,0.800000,0.018000
TREX-DA: TLARS,sd_FDR,0.800000,0.075139
TREX-DA: TLARS,TPR,0.800000,0.848000
TREX-DA: TLARS,sd_TPR,0.800000,0.161948
TREX-DA: TLARS,Avg_L,0.800000,2.440000
TREX-DA: TLARS,Avg_T,0.800000,11.445000
TREX-DA: TLARS,FDR,0.900000,0.025500
TREX-DA: TLARS,sd_FDR,0.900000,0.090918
TREX-DA: TLARS,TPR,0.900000,0.700000
TREX-DA: TLARS,sd_TPR,0.900000,0.207401
TREX-DA: TLARS,Avg_L,0.900000,2.530000
TREX-DA: TLARS,Avg_T,0.900000,13.630000
TREX-DA: TAFS,FDR,0.000000,0.020929
TREX-DA: TAFS,sd_FDR,0.000000,0.058914
TREX-DA: TAFS,TPR,0.000000,0.961000
TREX-DA: TAFS,sd_TPR,0.000000,0.174445
TREX-DA: TAFS,Avg_L,0.000000,2.985000
TREX-DA: TAFS,Avg_T,0.000000,7.410000
TREX-DA: TAFS,FDR,0.100000,0.021833
TREX-DA: TAFS,sd_FDR,0.100000,0.060484
TREX-DA: TAFS,TPR,0.100000,0.968000
TREX-DA: TAFS,sd_TPR,0.100000,0.125918
TREX-DA: TAFS,Avg_L,0.100000,3.035000
TREX-DA: TAFS,Avg_T,0.100000,7.350000
TREX-DA: TAFS,FDR,0.200000,0.016833
TREX-DA: TAFS,sd_FDR,0.200000,0.052306
TREX-DA: TAFS,TPR,0.200000,0.990000
TREX-DA: TAFS,sd_TPR,0.200000,0.048079
TREX-DA: TAFS,Avg_L,0.200000,2.855000
TREX-DA: TAFS,Avg_T,0.200000,7.400000
TREX-DA: TAFS,FDR,0.300000,0.015167
TREX-DA: TAFS,sd_FDR,0.300000,0.052815
TREX-DA: TAFS,TPR,0.300000,0.984000
TREX-DA: TAFS,sd_TPR,0.300000,0.054395
TREX-DA: TAFS,Avg_L,0.300000,2.655000
TREX-DA: TAFS,Avg_T,0.300000,7.335000
TREX-DA: TAFS,FDR,0.400000,0.027190
TREX-DA: TAFS,sd_FDR,0.400000,0.068784
TREX-DA: TAFS,TPR,0.400000,0.964000
TREX-DA: TAFS,sd_TPR,0.400000,0.082083
TREX-DA: TAFS,Avg_L,0.400000,2.600000
TREX-DA: TAFS,Avg_T,0.400000,7.360000
TREX-DA: TAFS,FDR,0.500000,0.027119
TREX-DA: TAFS,sd_FDR,0.500000,0.067459
TREX-DA: TAFS,TPR,0.500000,0.949000
TREX-DA: TAFS,sd_TPR,0.500000,0.087391
TREX-DA: TAFS,Avg_L,0.500000,2.345000
TREX-DA: TAFS,Avg_T,0.500000,7.060000
TREX-DA: TAFS,FDR,0.600000,0.016667
TREX-DA: TAFS,sd_FDR,0.600000,0.051769
TREX-DA: TAFS,TPR,0.600000,0.899000
TREX-DA: TAFS,sd_TPR,0.600000,0.106091
TREX-DA: TAFS,Avg_L,0.600000,2.470000
TREX-DA: TAFS,Avg_T,0.600000,6.985000
TREX-DA: TAFS,FDR,0.700000,0.014750
TREX-DA: TAFS,sd_FDR,0.700000,0.050574
TREX-DA: TAFS,TPR,0.700000,0.839000
TREX-DA: TAFS,sd_TPR,0.700000,0.093395
TREX-DA: TAFS,Avg_L,0.700000,2.540000
TREX-DA: TAFS,Avg_T,0.700000,7.315000
TREX-DA: TAFS,FDR,0.800000,0.018583
TREX-DA: TAFS,sd_FDR,0.800000,0.060502
TREX-DA: TAFS,TPR,0.800000,0.799000
TREX-DA: TAFS,sd_TPR,0.800000,0.070881
TREX-DA: TAFS,Avg_L,0.800000,2.415000
TREX-DA: TAFS,Avg_T,0.800000,7.280000
TREX-DA: TAFS,FDR,0.900000,0.045667
TREX-DA: TAFS,sd_FDR,0.900000,0.108415
TREX-DA: TAFS,TPR,0.900000,0.751000
