solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.052917
TREX-DA: TLARS,sd_FDR,0.000000,0.124548
TREX-DA: TLARS,TPR,0.000000,0.605000
TREX-DA: TLARS,sd_TPR,0.000000,0.250778
TREX-DA: TLARS,Avg_L,0.000000,3.150000
TREX-DA: TLARS,Avg_T,0.000000,24.940000
TREX-DA: TLARS,FDR,0.100000,0.039750
TREX-DA: TLARS,sd_FDR,0.100000,0.097436
TREX-DA: TLARS,TPR,0.100000,0.621000
TREX-DA: TLARS,sd_TPR,0.100000,0.249943
TREX-DA: TLARS,Avg_L,0.100000,3.100000
TREX-DA: TLARS,Avg_T,0.100000,24.480000
TREX-DA: TLARS,FDR,0.200000,0.033333
TREX-DA: TLARS,sd_FDR,0.200000,0.096909
TREX-DA: TLARS,TPR,0.200000,0.790000
TREX-DA: TLARS,sd_TPR,0.200000,0.182391
TREX-DA: TLARS,Avg_L,0.200000,2.830000
TREX-DA: TLARS,Avg_T,0.200000,25.370000
TREX-DA: TLARS,FDR,0.300000,0.005083
TREX-DA: TLARS,sd_FDR,0.300000,0.032105
TREX-DA: TLARS,TPR,0.300000,0.970000
TREX-DA: TLARS,sd_TPR,0.300000,0.077004
TREX-DA: TLARS,Avg_L,0.300000,2.330000
TREX-DA: TLARS,Avg_T,0.300000,13.515000
TREX-DA: TLARS,FDR,0.400000,0.014833
TREX-DA: TLARS,sd_FDR,0.400000,0.064599
TREX-DA: TLARS,TPR,0.400000,0.978000
TREX-DA: TLARS,sd_TPR,0.400000,0.079673
TREX-DA: TLARS,Avg_L,0.400000,2.340000
TREX-DA: TLARS,Avg_T,0.400000,13.510000
TREX-DA: TLARS,FDR,0.500000,0.009667
TREX-DA: TLARS,sd_FDR,0.500000,0.054766
TREX-DA: TLARS,TPR,0.500000,0.962000
TREX-DA: TLARS,sd_TPR,0.500000,0.106832
TREX-DA: TLARS,Avg_L,0.500000,2.440000
TREX-DA: TLARS,Avg_T,0.500000,15.410000
TREX-DA: TLARS,FDR,0.600000,0.010583
TREX-DA: TLARS,sd_FDR,0.600000,0.051450
TREX-DA: TLARS,TPR,0.600000,0.938000
TREX-DA: TLARS,sd_TPR,0.600000,0.112335
TREX-DA: TLARS,Avg_L,0.600000,2.540000
TREX-DA: TLARS,Avg_T,0.600000,15.735000
TREX-DA: TLARS,FDR,0.700000,0.011917
TREX-DA: TLARS,sd_FDR,0.700000,0.050800
TREX-DA: TLARS,TPR,0.700000,0.898000
TREX-DA: TLARS,sd_TPR,0.700000,0.129925
