solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.000000
TREX-DA: TLARS,sd_FDR,0.100000,0.000000
TREX-DA: TLARS,TPR,0.100000,0.016000
TREX-DA: TLARS,sd_TPR,0.100000,0.064535
TREX-DA: TLARS,Avg_L,0.100000,2.165000
TREX-DA: TLARS,Avg_T,0.100000,6.250000
TREX-DA: TLARS,FDR,0.200000,0.014583
TREX-DA: TLARS,sd_FDR,0.200000,0.093567
TREX-DA: TLARS,TPR,0.200000,0.095000
TREX-DA: TLARS,sd_TPR,0.200000,0.166474
TREX-DA: TLARS,Avg_L,0.200000,4.560000
TREX-DA: TLARS,Avg_T,0.200000,4.480000
TREX-DA: TLARS,FDR,0.500000,0.012417
TREX-DA: TLARS,sd_FDR,0.500000,0.056784
TREX-DA: TLARS,TPR,0.500000,0.685000
TREX-DA: TLARS,sd_TPR,0.500000,0.211658
TREX-DA: TLARS,Avg_L,0.500000,4.170000
TREX-DA: TLARS,Avg_T,0.500000,13.130000
TREX-DA: TLARS,FDR,0.600000,0.014917
TREX-DA: TLARS,sd_FDR,0.600000,0.067899
TREX-DA: TLARS,TPR,0.600000,0.782000
TREX-DA: TLARS,sd_TPR,0.600000,0.199688
TREX-DA: TLARS,Avg_L,0.600000,3.575000
TREX-DA: TLARS,Avg_T,0.600000,14.350000
TREX-DA: TLARS,FDR,1.000000,0.016500
TREX-DA: TLARS,sd_FDR,1.000000,0.066457
TREX-DA: TLARS,TPR,1.000000,0.904000
TREX-DA: TLARS,sd_TPR,1.000000,0.137399
TREX-DA: TLARS,Avg_L,1.000000,2.680000
TREX-DA: TLARS,Avg_T,1.000000,20.965000
TREX-DA: TLARS,FDR,2.000000,0.015250
TREX-DA: TLARS,sd_FDR,2.000000,0.070032
TREX-DA: TLARS,TPR,2.000000,0.888000
TREX-DA: TLARS,sd_TPR,2.000000,0.150897
TREX-DA: TLARS,Avg_L,2.000000,2.630000
TREX-DA: TLARS,Avg_T,2.000000,18.200000
TREX-DA: TLARS,FDR,5.000000,0.015500
TREX-DA: TLARS,sd_FDR,5.000000,0.055780
TREX-DA: TLARS,TPR,5.000000,0.897000
TREX-DA: TLARS,sd_TPR,5.000000,0.140319
TREX-DA: TLARS,Avg_L,5.000000,2.545000
TREX-DA: TLARS,Avg_T,5.000000,17.135000
TREX-DA: TAFS,FDR,0.100000,0.005000
TREX-DA: TAFS,sd_FDR,0.100000,0.070711
TREX-DA: TAFS,TPR,0.100000,0.011000
TREX-DA: TAFS,sd_TPR,0.100000,0.053791
TREX-DA: TAFS,Avg_L,0.100000,2.420000
TREX-DA: TAFS,Avg_T,0.100000,4.985000
TREX-DA: TAFS,FDR,0.200000,0.024333
TREX-DA: TAFS,sd_FDR,0.200000,0.123449
TREX-DA: TAFS,TPR,0.200000,0.107000
TREX-DA: TAFS,sd_TPR,0.200000,0.185805
TREX-DA: TAFS,Avg_L,0.200000,4.810000
TREX-DA: TAFS,Avg_T,0.200000,3.830000
TREX-DA: TAFS,FDR,0.500000,0.030000
TREX-DA: TAFS,sd_FDR,0.500000,0.103282
TREX-DA: TAFS,TPR,0.500000,0.781000
TREX-DA: TAFS,sd_TPR,0.500000,0.215572
TREX-DA: TAFS,Avg_L,0.500000,3.580000
TREX-DA: TAFS,Avg_T,0.500000,5.685000
TREX-DA: TAFS,FDR,0.600000,0.031917
TREX-DA: TAFS,sd_FDR,0.600000,0.085160
TREX-DA: TAFS,TPR,0.600000,0.884000
TREX-DA: TAFS,sd_TPR,0.600000,0.159597
TREX-DA: TAFS,Avg_L,0.600000,2.965000
TREX-DA: TAFS,Avg_T,0.600000,6.540000
TREX-DA: TAFS,FDR,1.000000,0.011000
