solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.018333
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.097125
TREX-DA+BT: TLARS,TPR,1.000000,0.815000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.389272
TREX-DA+BT: TLARS,Avg_L,1.000000,4.270000
TREX-DA+BT: TLARS,Avg_T,1.000000,36.845000
TREX-DA+BT: TLARS,FDR,3.000000,0.043524
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.123143
TREX-DA+BT: TLARS,TPR,3.000000,0.816667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.228485
TREX-DA+BT: TLARS,Avg_L,3.000000,2.130000
TREX-DA+BT: TLARS,Avg_T,3.000000,20.030000
TREX-DA+BT: TLARS,FDR,5.000000,0.064833
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.119810
TREX-DA+BT: TLARS,TPR,5.000000,0.762000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.216310
TREX-DA+BT: TLARS,Avg_L,5.000000,1.795000
TREX-DA+BT: TLARS,Avg_T,5.000000,11.830000
TREX-DA+BT: TLARS,FDR,10.000000,0.161346
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.180003
TREX-DA+BT: TLARS,TPR,10.000000,0.385000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.203425
TREX-DA+BT: TLARS,Avg_L,10.000000,2.410000
TREX-DA+BT: TLARS,Avg_T,10.000000,6.470000
TREX-DA+BT: TLARS,FDR,15.000000,0.153048
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.202002
TREX-DA+BT: TLARS,TPR,15.000000,0.177000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.140605
TREX-DA+BT: TLARS,Avg_L,15.000000,3.050000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.285000
TREX-DA+BT: TLARS,FDR,20.000000,0.226964
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.299234
TREX-DA+BT: TLARS,TPR,20.000000,0.081500
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.087009
TREX-DA+BT: TLARS,Avg_L,20.000000,3.015000
TREX-DA+BT: TLARS,Avg_T,20.000000,6.025000
TREX-DA+BT: TLARS,FDR,30.000000,0.181583
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.298650
TREX-DA+BT: TLARS,TPR,30.000000,0.032000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.046645
TREX-DA+BT: TLARS,Avg_L,30.000000,3.120000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.085000
TREX-DA+BT: TAFS,FDR,1.000000,0.027500
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.160068
TREX-DA+BT: TAFS,TPR,1.000000,0.010000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.099748
TREX-DA+BT: TAFS,Avg_L,1.000000,1.215000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.135000
TREX-DA+BT: TAFS,FDR,3.000000,0.038250
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.109550
TREX-DA+BT: TAFS,TPR,3.000000,0.678333
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.187187
TREX-DA+BT: TAFS,Avg_L,3.000000,2.135000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.510000
TREX-DA+BT: TAFS,FDR,5.000000,0.062476
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.102964
TREX-DA+BT: TAFS,TPR,5.000000,0.870000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.163811
TREX-DA+BT: TAFS,Avg_L,5.000000,1.645000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.930000
TREX-DA+BT: TAFS,FDR,10.000000,0.114200
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.166366
TREX-DA+BT: TAFS,TPR,10.000000,0.485000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.232476
TREX-DA+BT: TAFS,Avg_L,10.000000,2.165000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.425000
TREX-DA+BT: TAFS,FDR,15.000000,0.114001
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.191125
TREX-DA+BT: TAFS,TPR,15.000000,0.161000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.134547
TREX-DA+BT: TAFS,Avg_L,15.000000,2.875000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.100000
TREX-DA+BT: TAFS,FDR,20.000000,0.167724
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.294677
TREX-DA+BT: TAFS,TPR,20.000000,0.063500
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.073278
TREX-DA+BT: TAFS,Avg_L,20.000000,3.035000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.620000
TREX-DA+BT: TAFS,FDR,30.000000,0.096333
