solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.025000
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.120197
TREX-DA+BT: TLARS,TPR,1.000000,0.805000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.397195
TREX-DA+BT: TLARS,Avg_L,1.000000,4.225000
TREX-DA+BT: TLARS,Avg_T,1.000000,34.835000
TREX-DA+BT: TLARS,FDR,3.000000,0.042440
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.110223
TREX-DA+BT: TLARS,TPR,3.000000,0.820000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.226250
TREX-DA+BT: TLARS,Avg_L,3.000000,2.105000
TREX-DA+BT: TLARS,Avg_T,3.000000,18.715000
TREX-DA+BT: TLARS,FDR,5.000000,0.082405
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.127956
TREX-DA+BT: TLARS,TPR,5.000000,0.775000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.214019
TREX-DA+BT: TLARS,Avg_L,5.000000,1.795000
TREX-DA+BT: TLARS,Avg_T,5.000000,11.260000
TREX-DA+BT: TLARS,FDR,10.000000,0.161753
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.178675
TREX-DA+BT: TLARS,TPR,10.000000,0.382000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.197665
TREX-DA+BT: TLARS,Avg_L,10.000000,2.355000
TREX-DA+BT: TLARS,Avg_T,10.000000,6.530000
TREX-DA+BT: TLARS,FDR,15.000000,0.172757
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.215410
TREX-DA+BT: TLARS,TPR,15.000000,0.181000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.142777
TREX-DA+BT: TLARS,Avg_L,15.000000,3.045000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.975000
TREX-DA+BT: TLARS,FDR,20.000000,0.224262
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.298211
TREX-DA+BT: TLARS,TPR,20.000000,0.084250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.087766
TREX-DA+BT: TLARS,Avg_L,20.000000,3.165000
TREX-DA+BT: TLARS,Avg_T,20.000000,7.765000
TREX-DA+BT: TLARS,FDR,30.000000,0.189739
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.313266
TREX-DA+BT: TLARS,TPR,30.000000,0.031333
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.047334
TREX-DA+BT: TLARS,Avg_L,30.000000,3.145000
TREX-DA+BT: TLARS,Avg_T,30.000000,5.590000
TREX-DA+BT: TAFS,FDR,1.000000,0.065000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.242008
