solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.025000
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.130230
TREX-DA+BT: TLARS,TPR,1.000000,0.815000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.389272
TREX-DA+BT: TLARS,Avg_L,1.000000,4.300000
TREX-DA+BT: TLARS,Avg_T,1.000000,39.590000
TREX-DA+BT: TLARS,FDR,3.000000,0.015417
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.069435
TREX-DA+BT: TLARS,TPR,3.000000,0.793333
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.262190
TREX-DA+BT: TLARS,Avg_L,3.000000,2.175000
TREX-DA+BT: TLARS,Avg_T,3.000000,27.030000
TREX-DA+BT: TLARS,FDR,5.000000,0.028417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.073930
TREX-DA+BT: TLARS,TPR,5.000000,0.763000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.238991
TREX-DA+BT: TLARS,Avg_L,5.000000,1.925000
TREX-DA+BT: TLARS,Avg_T,5.000000,23.785000
TREX-DA+BT: TLARS,FDR,10.000000,0.103679
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.168479
TREX-DA+BT: TLARS,TPR,10.000000,0.358500
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.200822
TREX-DA+BT: TLARS,Avg_L,10.000000,2.480000
TREX-DA+BT: TLARS,Avg_T,10.000000,7.575000
TREX-DA+BT: TLARS,FDR,15.000000,0.130959
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.202862
TREX-DA+BT: TLARS,TPR,15.000000,0.169667
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.134964
TREX-DA+BT: TLARS,Avg_L,15.000000,3.005000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.125000
TREX-DA+BT: TLARS,FDR,20.000000,0.186000
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.286587
TREX-DA+BT: TLARS,TPR,20.000000,0.072750
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.085331
TREX-DA+BT: TLARS,Avg_L,20.000000,2.895000
TREX-DA+BT: TLARS,Avg_T,20.000000,4.975000
TREX-DA+BT: TLARS,FDR,30.000000,0.114208
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.236582
TREX-DA+BT: TLARS,TPR,30.000000,0.029500
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.045228
TREX-DA+BT: TLARS,Avg_L,30.000000,3.020000
TREX-DA+BT: TLARS,Avg_T,30.000000,5.380000
TREX-DA+BT: TAFS,FDR,1.000000,0.025000
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.156517
TREX-DA+BT: TAFS,TPR,1.000000,0.000000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.000000
TREX-DA+BT: TAFS,Avg_L,1.000000,1.065000
TREX-DA+BT: TAFS,Avg_T,1.000000,7.350000
TREX-DA+BT: TAFS,FDR,3.000000,0.014083
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.070475
TREX-DA+BT: TAFS,TPR,3.000000,0.650000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.228485
TREX-DA+BT: TAFS,Avg_L,3.000000,2.090000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.460000
TREX-DA+BT: TAFS,FDR,5.000000,0.035500
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.087210
TREX-DA+BT: TAFS,TPR,5.000000,0.868000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.187488
TREX-DA+BT: TAFS,Avg_L,5.000000,1.735000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.030000
TREX-DA+BT: TAFS,FDR,10.000000,0.103723
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.156489
TREX-DA+BT: TAFS,TPR,10.000000,0.473500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.237972
TREX-DA+BT: TAFS,Avg_L,10.000000,2.330000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.550000
TREX-DA+BT: TAFS,FDR,15.000000,0.108437
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.206507
TREX-DA+BT: TAFS,TPR,15.000000,0.158000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.131700
TREX-DA+BT: TAFS,Avg_L,15.000000,2.895000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.105000
TREX-DA+BT: TAFS,FDR,20.000000,0.140958
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.276846
TREX-DA+BT: TAFS,TPR,20.000000,0.057750
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.069111
TREX-DA+BT: TAFS,Avg_L,20.000000,2.980000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.290000
TREX-DA+BT: TAFS,FDR,30.000000,0.104000
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.259048
TREX-DA+BT: TAFS,TPR,30.000000,0.019833
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.034095
TREX-DA+BT: TAFS,Avg_L,30.000000,3.130000
TREX-DA+BT: TAFS,Avg_T,30.000000,4.960000
TREX-DA+BT: TOMP,FDR,1.000000,0.012500
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.078258
TREX-DA+BT: TOMP,TPR,1.000000,0.995000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.070711
TREX-DA+BT: TOMP,Avg_L,1.000000,4.925000
TREX-DA+BT: TOMP,Avg_T,1.000000,7.915000
TREX-DA+BT: TOMP,FDR,3.000000,0.012083
TREX-DA+BT: TOMP,sd_FDR,3.000000,0.056289
TREX-DA+BT: TOMP,TPR,3.000000,0.978333
TREX-DA+BT: TOMP,sd_TPR,3.000000,0.094974
TREX-DA+BT: TOMP,Avg_L,3.000000,2.145000
TREX-DA+BT: TOMP,Avg_T,3.000000,7.885000
TREX-DA+BT: TOMP,FDR,5.000000,0.029000
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.074240
TREX-DA+BT: TOMP,TPR,5.000000,0.909000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.156337
TREX-DA+BT: TOMP,Avg_L,5.000000,1.525000
TREX-DA+BT: TOMP,Avg_T,5.000000,6.975000
TREX-DA+BT: TOMP,FDR,10.000000,0.096286
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.163658
TREX-DA+BT: TOMP,TPR,10.000000,0.440000
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.249018
TREX-DA+BT: TOMP,Avg_L,10.000000,2.075000
TREX-DA+BT: TOMP,Avg_T,10.000000,6.695000
TREX-DA+BT: TOMP,FDR,15.000000,0.096837
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.193053
TREX-DA+BT: TOMP,TPR,15.000000,0.124667
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.117162
TREX-DA+BT: TOMP,Avg_L,15.000000,2.895000
TREX-DA+BT: TOMP,Avg_T,15.000000,6.415000
TREX-DA+BT: TOMP,FDR,20.000000,0.154667
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.305264
TREX-DA+BT: TOMP,TPR,20.000000,0.049250
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.056816
TREX-DA+BT: TOMP,Avg_L,20.000000,3.050000
TREX-DA+BT: TOMP,Avg_T,20.000000,6.555000
TREX-DA+BT: TOMP,FDR,30.000000,0.101250
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.271840
TREX-DA+BT: TOMP,TPR,30.000000,0.016333
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.025883
