solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.132583
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.249166
TREX-DA+BT: TLARS,TPR,1.000000,0.805000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.397195
TREX-DA+BT: TLARS,Avg_L,1.000000,3.930000
TREX-DA+BT: TLARS,Avg_T,1.000000,25.780000
TREX-DA+BT: TLARS,FDR,3.000000,0.122048
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.201876
TREX-DA+BT: TLARS,TPR,3.000000,0.795000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.244829
TREX-DA+BT: TLARS,Avg_L,3.000000,2.090000
TREX-DA+BT: TLARS,Avg_T,3.000000,14.820000
TREX-DA+BT: TLARS,FDR,5.000000,0.095524
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.156404
TREX-DA+BT: TLARS,TPR,5.000000,0.769000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.195525
TREX-DA+BT: TLARS,Avg_L,5.000000,1.750000
TREX-DA+BT: TLARS,Avg_T,5.000000,12.815000
TREX-DA+BT: TLARS,FDR,10.000000,0.186989
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.183984
TREX-DA+BT: TLARS,TPR,10.000000,0.434000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.211584
TREX-DA+BT: TLARS,Avg_L,10.000000,2.250000
TREX-DA+BT: TLARS,Avg_T,10.000000,7.155000
TREX-DA+BT: TLARS,FDR,15.000000,0.187453
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.236348
TREX-DA+BT: TLARS,TPR,15.000000,0.223000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.158665
TREX-DA+BT: TLARS,Avg_L,15.000000,2.690000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.110000
TREX-DA+BT: TLARS,FDR,20.000000,0.246551
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.283094
TREX-DA+BT: TLARS,TPR,20.000000,0.095000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.102849
TREX-DA+BT: TLARS,Avg_L,20.000000,3.025000
