solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.143167
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.256126
TREX-DA+BT: TLARS,TPR,1.000000,0.800000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.401004
TREX-DA+BT: TLARS,Avg_L,1.000000,3.920000
TREX-DA+BT: TLARS,Avg_T,1.000000,22.685000
TREX-DA+BT: TLARS,FDR,3.000000,0.110357
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.177986
TREX-DA+BT: TLARS,TPR,3.000000,0.801667
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.241199
TREX-DA+BT: TLARS,Avg_L,3.000000,2.055000
TREX-DA+BT: TLARS,Avg_T,3.000000,14.980000
TREX-DA+BT: TLARS,FDR,5.000000,0.114700
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.173086
TREX-DA+BT: TLARS,TPR,5.000000,0.765000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.209750
TREX-DA+BT: TLARS,Avg_L,5.000000,1.695000
TREX-DA+BT: TLARS,Avg_T,5.000000,12.110000
TREX-DA+BT: TLARS,FDR,10.000000,0.194927
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.188030
TREX-DA+BT: TLARS,TPR,10.000000,0.433000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.219664
TREX-DA+BT: TLARS,Avg_L,10.000000,2.225000
TREX-DA+BT: TLARS,Avg_T,10.000000,6.245000
TREX-DA+BT: TLARS,FDR,15.000000,0.184953
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.220667
TREX-DA+BT: TLARS,TPR,15.000000,0.231333
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.166671
TREX-DA+BT: TLARS,Avg_L,15.000000,2.795000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.630000
TREX-DA+BT: TLARS,FDR,20.000000,0.235518
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.277223
TREX-DA+BT: TLARS,TPR,20.000000,0.096750
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.103346
TREX-DA+BT: TLARS,Avg_L,20.000000,2.905000
TREX-DA+BT: TLARS,Avg_T,20.000000,5.845000
TREX-DA+BT: TLARS,FDR,30.000000,0.207243
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.295984
TREX-DA+BT: TLARS,TPR,30.000000,0.045667
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.058102
TREX-DA+BT: TLARS,Avg_L,30.000000,3.010000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.170000
TREX-DA+BT: TAFS,FDR,1.000000,0.180833
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.379462
TREX-DA+BT: TAFS,TPR,1.000000,0.025000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.156517
TREX-DA+BT: TAFS,Avg_L,1.000000,1.505000
