solver,metric,M,value
TREX-DA+BT: TLARS,FDR,1.000000,0.098333
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.226608
TREX-DA+BT: TLARS,TPR,1.000000,0.795000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.404715
TREX-DA+BT: TLARS,Avg_L,1.000000,3.900000
TREX-DA+BT: TLARS,Avg_T,1.000000,32.975000
TREX-DA+BT: TLARS,FDR,3.000000,0.045333
TREX-DA+BT: TLARS,sd_FDR,3.000000,0.120013
TREX-DA+BT: TLARS,TPR,3.000000,0.780000
TREX-DA+BT: TLARS,sd_TPR,3.000000,0.259794
TREX-DA+BT: TLARS,Avg_L,3.000000,2.150000
TREX-DA+BT: TLARS,Avg_T,3.000000,24.910000
TREX-DA+BT: TLARS,FDR,5.000000,0.052417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.124267
TREX-DA+BT: TLARS,TPR,5.000000,0.752000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.226168
TREX-DA+BT: TLARS,Avg_L,5.000000,1.840000
TREX-DA+BT: TLARS,Avg_T,5.000000,19.570000
TREX-DA+BT: TLARS,FDR,10.000000,0.120135
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.179925
TREX-DA+BT: TLARS,TPR,10.000000,0.404000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.224580
TREX-DA+BT: TLARS,Avg_L,10.000000,2.365000
TREX-DA+BT: TLARS,Avg_T,10.000000,8.680000
TREX-DA+BT: TLARS,FDR,15.000000,0.121415
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.193755
TREX-DA+BT: TLARS,TPR,15.000000,0.203000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.146471
TREX-DA+BT: TLARS,Avg_L,15.000000,2.845000
TREX-DA+BT: TLARS,Avg_T,15.000000,6.720000
TREX-DA+BT: TLARS,FDR,20.000000,0.173354
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.263221
TREX-DA+BT: TLARS,TPR,20.000000,0.084250
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.095315
TREX-DA+BT: TLARS,Avg_L,20.000000,2.845000
TREX-DA+BT: TLARS,Avg_T,20.000000,6.580000
TREX-DA+BT: TLARS,FDR,30.000000,0.182429
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.300419
TREX-DA+BT: TLARS,TPR,30.000000,0.037500
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.049783
TREX-DA+BT: TLARS,Avg_L,30.000000,2.895000
TREX-DA+BT: TLARS,Avg_T,30.000000,6.300000
TREX-DA+BT: TAFS,FDR,1.000000,0.097500
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.295262
TREX-DA+BT: TAFS,TPR,1.000000,0.005000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.070711
TREX-DA+BT: TAFS,Avg_L,1.000000,1.290000
TREX-DA+BT: TAFS,Avg_T,1.000000,6.385000
TREX-DA+BT: TAFS,FDR,3.000000,0.054917
TREX-DA+BT: TAFS,sd_FDR,3.000000,0.134602
TREX-DA+BT: TAFS,TPR,3.000000,0.665000
TREX-DA+BT: TAFS,sd_TPR,3.000000,0.251178
TREX-DA+BT: TAFS,Avg_L,3.000000,2.050000
TREX-DA+BT: TAFS,Avg_T,3.000000,7.015000
TREX-DA+BT: TAFS,FDR,5.000000,0.058798
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.121520
TREX-DA+BT: TAFS,TPR,5.000000,0.847000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.207379
TREX-DA+BT: TAFS,Avg_L,5.000000,1.670000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.650000
TREX-DA+BT: TAFS,FDR,10.000000,0.098440
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.120311
TREX-DA+BT: TAFS,TPR,10.000000,0.536500
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.279479
TREX-DA+BT: TAFS,Avg_L,10.000000,1.985000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.390000
TREX-DA+BT: TAFS,FDR,15.000000,0.126745
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.217730
TREX-DA+BT: TAFS,TPR,15.000000,0.223333
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.183124
TREX-DA+BT: TAFS,Avg_L,15.000000,2.560000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.210000
TREX-DA+BT: TAFS,FDR,20.000000,0.142452
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.250872
TREX-DA+BT: TAFS,TPR,20.000000,0.073750
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.088388
TREX-DA+BT: TAFS,Avg_L,20.000000,2.970000
TREX-DA+BT: TAFS,Avg_T,20.000000,5.350000
TREX-DA+BT: TAFS,FDR,30.000000,0.143881
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.299474
TREX-DA+BT: TAFS,TPR,30.000000,0.025667
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.037318
TREX-DA+BT: TAFS,Avg_L,30.000000,3.015000
TREX-DA+BT: TAFS,Avg_T,30.000000,5.185000
TREX-DA+BT: TOMP,FDR,1.000000,0.108333
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.207851
TREX-DA+BT: TOMP,TPR,1.000000,0.980000
