solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.076923
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.129398
TREX-DA+BT: TLARS,TPR,5.000000,0.712000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.239463
TREX-DA+BT: TLARS,Avg_L,5.000000,1.895000
TREX-DA+BT: TLARS,Avg_T,5.000000,13.910000
TREX-DA+BT: TLARS,FDR,10.000000,0.106762
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.142292
TREX-DA+BT: TLARS,TPR,10.000000,0.783000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.194164
TREX-DA+BT: TLARS,Avg_L,10.000000,1.840000
TREX-DA+BT: TLARS,Avg_T,10.000000,14.380000
TREX-DA+BT: TLARS,FDR,15.000000,0.125845
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.180626
TREX-DA+BT: TLARS,TPR,15.000000,0.748000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.224383
TREX-DA+BT: TLARS,Avg_L,15.000000,1.875000
TREX-DA+BT: TLARS,Avg_T,15.000000,18.345000
TREX-DA+BT: TLARS,FDR,20.000000,0.133454
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.177660
TREX-DA+BT: TLARS,TPR,20.000000,0.764000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.220333
TREX-DA+BT: TLARS,Avg_L,20.000000,1.845000
TREX-DA+BT: TLARS,Avg_T,20.000000,17.315000
TREX-DA+BT: TLARS,FDR,25.000000,0.111863
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.158267
TREX-DA+BT: TLARS,TPR,25.000000,0.772000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.217838
TREX-DA+BT: TLARS,Avg_L,25.000000,1.850000
TREX-DA+BT: TLARS,Avg_T,25.000000,23.010000
TREX-DA+BT: TLARS,FDR,30.000000,0.118405
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.155136
TREX-DA+BT: TLARS,TPR,30.000000,0.790000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.203240
TREX-DA+BT: TLARS,Avg_L,30.000000,1.780000
TREX-DA+BT: TLARS,Avg_T,30.000000,27.620000
TREX-DA+BT: TLARS,FDR,35.000000,0.138768
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.187153
TREX-DA+BT: TLARS,TPR,35.000000,0.786000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.245981
TREX-DA+BT: TLARS,Avg_L,35.000000,1.760000
TREX-DA+BT: TLARS,Avg_T,35.000000,21.435000
TREX-DA+BT: TLARS,FDR,40.000000,0.121774
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.158392
TREX-DA+BT: TLARS,TPR,40.000000,0.760000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.225063
TREX-DA+BT: TLARS,Avg_L,40.000000,1.765000
TREX-DA+BT: TLARS,Avg_T,40.000000,20.645000
TREX-DA+BT: TLARS,FDR,45.000000,0.149460
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.169305
TREX-DA+BT: TLARS,TPR,45.000000,0.753000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.228588
TREX-DA+BT: TLARS,Avg_L,45.000000,1.835000
TREX-DA+BT: TLARS,Avg_T,45.000000,19.130000
TREX-DA+BT: TLARS,FDR,50.000000,0.159137
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.172931
TREX-DA+BT: TLARS,TPR,50.000000,0.769000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.212284
TREX-DA+BT: TLARS,Avg_L,50.000000,1.850000
TREX-DA+BT: TLARS,Avg_T,50.000000,21.210000
TREX-DA+BT: TAFS,FDR,5.000000,0.080577
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.121100
TREX-DA+BT: TAFS,TPR,5.000000,0.831000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.210381
TREX-DA+BT: TAFS,Avg_L,5.000000,1.635000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.880000
TREX-DA+BT: TAFS,FDR,10.000000,0.066024
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.110359
TREX-DA+BT: TAFS,TPR,10.000000,0.862000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.174091
TREX-DA+BT: TAFS,Avg_L,10.000000,1.715000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.980000
TREX-DA+BT: TAFS,FDR,15.000000,0.083476
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.129827
TREX-DA+BT: TAFS,TPR,15.000000,0.838000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.200892
TREX-DA+BT: TAFS,Avg_L,15.000000,1.670000
TREX-DA+BT: TAFS,Avg_T,15.000000,7.060000
TREX-DA+BT: TAFS,FDR,20.000000,0.071619
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.116184
TREX-DA+BT: TAFS,TPR,20.000000,0.865000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.198423
TREX-DA+BT: TAFS,Avg_L,20.000000,1.675000
TREX-DA+BT: TAFS,Avg_T,20.000000,7.045000
TREX-DA+BT: TAFS,FDR,25.000000,0.084554
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.131051
TREX-DA+BT: TAFS,TPR,25.000000,0.854000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.218455
TREX-DA+BT: TAFS,Avg_L,25.000000,1.685000
TREX-DA+BT: TAFS,Avg_T,25.000000,7.030000
TREX-DA+BT: TAFS,FDR,30.000000,0.076091
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.121898
TREX-DA+BT: TAFS,TPR,30.000000,0.892000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.158941
TREX-DA+BT: TAFS,Avg_L,30.000000,1.655000
TREX-DA+BT: TAFS,Avg_T,30.000000,7.280000
TREX-DA+BT: TAFS,FDR,35.000000,0.074619
TREX-DA+BT: TAFS,sd_FDR,35.000000,0.132244
TREX-DA+BT: TAFS,TPR,35.000000,0.866000
TREX-DA+BT: TAFS,sd_TPR,35.000000,0.209436
TREX-DA+BT: TAFS,Avg_L,35.000000,1.710000
TREX-DA+BT: TAFS,Avg_T,35.000000,6.840000
TREX-DA+BT: TAFS,FDR,40.000000,0.072565
TREX-DA+BT: TAFS,sd_FDR,40.000000,0.108146
TREX-DA+BT: TAFS,TPR,40.000000,0.843000
TREX-DA+BT: TAFS,sd_TPR,40.000000,0.208249
TREX-DA+BT: TAFS,Avg_L,40.000000,1.850000
TREX-DA+BT: TAFS,Avg_T,40.000000,6.935000
TREX-DA+BT: TAFS,FDR,45.000000,0.084911
TREX-DA+BT: TAFS,sd_FDR,45.000000,0.122530
TREX-DA+BT: TAFS,TPR,45.000000,0.865000
TREX-DA+BT: TAFS,sd_TPR,45.000000,0.184786
TREX-DA+BT: TAFS,Avg_L,45.000000,1.835000
TREX-DA+BT: TAFS,Avg_T,45.000000,6.770000
TREX-DA+BT: TAFS,FDR,50.000000,0.080250
TREX-DA+BT: TAFS,sd_FDR,50.000000,0.115441
TREX-DA+BT: TAFS,TPR,50.000000,0.847000
TREX-DA+BT: TAFS,sd_TPR,50.000000,0.215926
TREX-DA+BT: TAFS,Avg_L,50.000000,1.885000
TREX-DA+BT: TAFS,Avg_T,50.000000,7.080000
TREX-DA+BT: TOMP,FDR,5.000000,0.057917
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.111914
TREX-DA+BT: TOMP,TPR,5.000000,0.894000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.173536
TREX-DA+BT: TOMP,Avg_L,5.000000,1.395000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.385000
TREX-DA+BT: TOMP,FDR,10.000000,0.057357
TREX-DA+BT: TOMP,sd_FDR,10.000000,0.117585
TREX-DA+BT: TOMP,TPR,10.000000,0.918000
TREX-DA+BT: TOMP,sd_TPR,10.000000,0.144848
TREX-DA+BT: TOMP,Avg_L,10.000000,1.335000
TREX-DA+BT: TOMP,Avg_T,10.000000,7.090000
TREX-DA+BT: TOMP,FDR,15.000000,0.064726
TREX-DA+BT: TOMP,sd_FDR,15.000000,0.101757
TREX-DA+BT: TOMP,TPR,15.000000,0.902000
TREX-DA+BT: TOMP,sd_TPR,15.000000,0.144570
TREX-DA+BT: TOMP,Avg_L,15.000000,1.460000
TREX-DA+BT: TOMP,Avg_T,15.000000,7.375000
TREX-DA+BT: TOMP,FDR,20.000000,0.039369
TREX-DA+BT: TOMP,sd_FDR,20.000000,0.084545
TREX-DA+BT: TOMP,TPR,20.000000,0.909000
TREX-DA+BT: TOMP,sd_TPR,20.000000,0.155046
TREX-DA+BT: TOMP,Avg_L,20.000000,1.380000
TREX-DA+BT: TOMP,Avg_T,20.000000,7.380000
TREX-DA+BT: TOMP,FDR,25.000000,0.048976
TREX-DA+BT: TOMP,sd_FDR,25.000000,0.098794
TREX-DA+BT: TOMP,TPR,25.000000,0.903000
TREX-DA+BT: TOMP,sd_TPR,25.000000,0.156568
TREX-DA+BT: TOMP,Avg_L,25.000000,1.425000
TREX-DA+BT: TOMP,Avg_T,25.000000,7.205000
TREX-DA+BT: TOMP,FDR,30.000000,0.049786
TREX-DA+BT: TOMP,sd_FDR,30.000000,0.096469
TREX-DA+BT: TOMP,TPR,30.000000,0.917000
TREX-DA+BT: TOMP,sd_TPR,30.000000,0.143576
TREX-DA+BT: TOMP,Avg_L,30.000000,1.345000
TREX-DA+BT: TOMP,Avg_T,30.000000,7.585000
TREX-DA+BT: TOMP,FDR,35.000000,0.046762
TREX-DA+BT: TOMP,sd_FDR,35.000000,0.101272
TREX-DA+BT: TOMP,TPR,35.000000,0.911000
TREX-DA+BT: TOMP,sd_TPR,35.000000,0.177868
TREX-DA+BT: TOMP,Avg_L,35.000000,1.445000
TREX-DA+BT: TOMP,Avg_T,35.000000,7.695000
TREX-DA+BT: TOMP,FDR,40.000000,0.036333
TREX-DA+BT: TOMP,sd_FDR,40.000000,0.083472
TREX-DA+BT: TOMP,TPR,40.000000,0.903000
TREX-DA+BT: TOMP,sd_TPR,40.000000,0.160373
TREX-DA+BT: TOMP,Avg_L,40.000000,1.730000
TREX-DA+BT: TOMP,Avg_T,40.000000,7.725000
TREX-DA+BT: TOMP,FDR,45.000000,0.041012
TREX-DA+BT: TOMP,sd_FDR,45.000000,0.088759
TREX-DA+BT: TOMP,TPR,45.000000,0.927000
TREX-DA+BT: TOMP,sd_TPR,45.000000,0.140605
TREX-DA+BT: TOMP,Avg_L,45.000000,1.815000
TREX-DA+BT: TOMP,Avg_T,45.000000,7.825000
TREX-DA+BT: TOMP,FDR,50.000000,0.046607
TREX-DA+BT: TOMP,sd_FDR,50.000000,0.092024
TREX-DA+BT: TOMP,TPR,50.000000,0.928000
TREX-DA+BT: TOMP,sd_TPR,50.000000,0.144640
TREX-DA+BT: TOMP,Avg_L,50.000000,1.850000
TREX-DA+BT: TOMP,Avg_T,50.000000,7.715000
