solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.093946
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.134047
TREX-DA+BT: TLARS,TPR,5.000000,0.734000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.230455
TREX-DA+BT: TLARS,Avg_L,5.000000,1.840000
TREX-DA+BT: TLARS,Avg_T,5.000000,12.235000
TREX-DA+BT: TLARS,FDR,10.000000,0.110427
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.137758
TREX-DA+BT: TLARS,TPR,10.000000,0.791000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.197774
TREX-DA+BT: TLARS,Avg_L,10.000000,1.770000
TREX-DA+BT: TLARS,Avg_T,10.000000,12.275000
TREX-DA+BT: TLARS,FDR,15.000000,0.129240
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.178927
TREX-DA+BT: TLARS,TPR,15.000000,0.752000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.218022
TREX-DA+BT: TLARS,Avg_L,15.000000,1.800000
TREX-DA+BT: TLARS,Avg_T,15.000000,11.105000
TREX-DA+BT: TLARS,FDR,20.000000,0.147050
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.166579
TREX-DA+BT: TLARS,TPR,20.000000,0.779000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.206816
TREX-DA+BT: TLARS,Avg_L,20.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,20.000000,13.890000
TREX-DA+BT: TLARS,FDR,25.000000,0.129673
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.175033
TREX-DA+BT: TLARS,TPR,25.000000,0.765000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.224560
TREX-DA+BT: TLARS,Avg_L,25.000000,1.780000
TREX-DA+BT: TLARS,Avg_T,25.000000,20.020000
TREX-DA+BT: TLARS,FDR,30.000000,0.136321
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.158220
TREX-DA+BT: TLARS,TPR,30.000000,0.786000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.202010
TREX-DA+BT: TLARS,Avg_L,30.000000,1.695000
TREX-DA+BT: TLARS,Avg_T,30.000000,21.305000
TREX-DA+BT: TLARS,FDR,35.000000,0.157633
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.189523
TREX-DA+BT: TLARS,TPR,35.000000,0.786000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.247610
TREX-DA+BT: TLARS,Avg_L,35.000000,1.750000
TREX-DA+BT: TLARS,Avg_T,35.000000,19.440000
TREX-DA+BT: TLARS,FDR,40.000000,0.139585
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.166494
TREX-DA+BT: TLARS,TPR,40.000000,0.774000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.229756
TREX-DA+BT: TLARS,Avg_L,40.000000,1.775000
TREX-DA+BT: TLARS,Avg_T,40.000000,17.875000
TREX-DA+BT: TLARS,FDR,45.000000,0.164720
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.191678
TREX-DA+BT: TLARS,TPR,45.000000,0.765000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.220950
