solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.032000
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.089719
TREX-DA+BT: TLARS,TPR,5.000000,0.715000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.244281
TREX-DA+BT: TLARS,Avg_L,5.000000,1.970000
TREX-DA+BT: TLARS,Avg_T,5.000000,20.520000
TREX-DA+BT: TLARS,FDR,10.000000,0.053583
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.112753
TREX-DA+BT: TLARS,TPR,10.000000,0.758000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.208936
TREX-DA+BT: TLARS,Avg_L,10.000000,1.950000
TREX-DA+BT: TLARS,Avg_T,10.000000,22.635000
TREX-DA+BT: TLARS,FDR,15.000000,0.077917
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.174769
TREX-DA+BT: TLARS,TPR,15.000000,0.720000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.256768
TREX-DA+BT: TLARS,Avg_L,15.000000,1.980000
TREX-DA+BT: TLARS,Avg_T,15.000000,30.610000
TREX-DA+BT: TLARS,FDR,20.000000,0.073012
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.163140
TREX-DA+BT: TLARS,TPR,20.000000,0.736000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.241236
TREX-DA+BT: TLARS,Avg_L,20.000000,1.990000
TREX-DA+BT: TLARS,Avg_T,20.000000,32.035000
TREX-DA+BT: TLARS,FDR,25.000000,0.076595
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.163674
TREX-DA+BT: TLARS,TPR,25.000000,0.723000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.251770
TREX-DA+BT: TLARS,Avg_L,25.000000,1.995000
TREX-DA+BT: TLARS,Avg_T,25.000000,39.350000
TREX-DA+BT: TLARS,FDR,30.000000,0.079393
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.146325
TREX-DA+BT: TLARS,TPR,30.000000,0.742000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.237736
TREX-DA+BT: TLARS,Avg_L,30.000000,1.865000
TREX-DA+BT: TLARS,Avg_T,30.000000,30.610000
TREX-DA+BT: TLARS,FDR,35.000000,0.100107
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.192581
TREX-DA+BT: TLARS,TPR,35.000000,0.727000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.271365
TREX-DA+BT: TLARS,Avg_L,35.000000,1.935000
TREX-DA+BT: TLARS,Avg_T,35.000000,31.165000
TREX-DA+BT: TLARS,FDR,40.000000,0.108167
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.176944
TREX-DA+BT: TLARS,TPR,40.000000,0.709000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.258948
TREX-DA+BT: TLARS,Avg_L,40.000000,2.040000
TREX-DA+BT: TLARS,Avg_T,40.000000,29.765000
TREX-DA+BT: TLARS,FDR,45.000000,0.111000
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.170188
TREX-DA+BT: TLARS,TPR,45.000000,0.703000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.274898
TREX-DA+BT: TLARS,Avg_L,45.000000,2.030000
TREX-DA+BT: TLARS,Avg_T,45.000000,29.945000
TREX-DA+BT: TLARS,FDR,50.000000,0.117875
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.178391
TREX-DA+BT: TLARS,TPR,50.000000,0.732000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.242632
TREX-DA+BT: TLARS,Avg_L,50.000000,2.020000
TREX-DA+BT: TLARS,Avg_T,50.000000,29.310000
TREX-DA+BT: TAFS,FDR,5.000000,0.059833
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.111299
TREX-DA+BT: TAFS,TPR,5.000000,0.833000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.212926
TREX-DA+BT: TAFS,Avg_L,5.000000,1.740000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.810000
TREX-DA+BT: TAFS,FDR,10.000000,0.041583
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.094503
TREX-DA+BT: TAFS,TPR,10.000000,0.854000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.189906
TREX-DA+BT: TAFS,Avg_L,10.000000,1.855000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.950000
TREX-DA+BT: TAFS,FDR,15.000000,0.053107
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.105156
TREX-DA+BT: TAFS,TPR,15.000000,0.836000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.193107
TREX-DA+BT: TAFS,Avg_L,15.000000,1.905000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.930000
TREX-DA+BT: TAFS,FDR,20.000000,0.047583
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.103948
TREX-DA+BT: TAFS,TPR,20.000000,0.846000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.207120
TREX-DA+BT: TAFS,Avg_L,20.000000,1.820000
TREX-DA+BT: TAFS,Avg_T,20.000000,6.835000
TREX-DA+BT: TAFS,FDR,25.000000,0.050917
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.109146
TREX-DA+BT: TAFS,TPR,25.000000,0.833000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.223968
TREX-DA+BT: TAFS,Avg_L,25.000000,1.850000
TREX-DA+BT: TAFS,Avg_T,25.000000,6.605000
TREX-DA+BT: TAFS,FDR,30.000000,0.046500
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.101091
TREX-DA+BT: TAFS,TPR,30.000000,0.863000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.191873
TREX-DA+BT: TAFS,Avg_L,30.000000,1.760000
TREX-DA+BT: TAFS,Avg_T,30.000000,7.380000
TREX-DA+BT: TAFS,FDR,35.000000,0.045167
TREX-DA+BT: TAFS,sd_FDR,35.000000,0.113083
TREX-DA+BT: TAFS,TPR,35.000000,0.843000
TREX-DA+BT: TAFS,sd_TPR,35.000000,0.224058
TREX-DA+BT: TAFS,Avg_L,35.000000,1.980000
TREX-DA+BT: TAFS,Avg_T,35.000000,7.245000
TREX-DA+BT: TAFS,FDR,40.000000,0.057000
TREX-DA+BT: TAFS,sd_FDR,40.000000,0.108764
TREX-DA+BT: TAFS,TPR,40.000000,0.792000
TREX-DA+BT: TAFS,sd_TPR,40.000000,0.255858
TREX-DA+BT: TAFS,Avg_L,40.000000,1.985000
TREX-DA+BT: TAFS,Avg_T,40.000000,7.065000
