solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.124440
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.181455
TREX-DA+BT: TLARS,TPR,5.000000,0.738000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.229826
TREX-DA+BT: TLARS,Avg_L,5.000000,1.785000
TREX-DA+BT: TLARS,Avg_T,5.000000,8.865000
TREX-DA+BT: TLARS,FDR,10.000000,0.139738
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.161381
TREX-DA+BT: TLARS,TPR,10.000000,0.756000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.210441
TREX-DA+BT: TLARS,Avg_L,10.000000,1.745000
TREX-DA+BT: TLARS,Avg_T,10.000000,15.270000
TREX-DA+BT: TLARS,FDR,15.000000,0.135435
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.157475
TREX-DA+BT: TLARS,TPR,15.000000,0.767000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.219435
TREX-DA+BT: TLARS,Avg_L,15.000000,1.715000
TREX-DA+BT: TLARS,Avg_T,15.000000,12.605000
TREX-DA+BT: TLARS,FDR,20.000000,0.152054
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.158649
TREX-DA+BT: TLARS,TPR,20.000000,0.774000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.210584
TREX-DA+BT: TLARS,Avg_L,20.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,20.000000,20.120000
TREX-DA+BT: TLARS,FDR,25.000000,0.155411
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.177172
TREX-DA+BT: TLARS,TPR,25.000000,0.760000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.224168
TREX-DA+BT: TLARS,Avg_L,25.000000,1.700000
TREX-DA+BT: TLARS,Avg_T,25.000000,19.970000
TREX-DA+BT: TLARS,FDR,30.000000,0.152369
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.172398
TREX-DA+BT: TLARS,TPR,30.000000,0.767000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.233632
TREX-DA+BT: TLARS,Avg_L,30.000000,1.745000
TREX-DA+BT: TLARS,Avg_T,30.000000,24.845000
TREX-DA+BT: TLARS,FDR,35.000000,0.173200
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.196483
TREX-DA+BT: TLARS,TPR,35.000000,0.777000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.231384
TREX-DA+BT: TLARS,Avg_L,35.000000,1.700000
TREX-DA+BT: TLARS,Avg_T,35.000000,22.500000
TREX-DA+BT: TLARS,FDR,40.000000,0.185343
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.220027
TREX-DA+BT: TLARS,TPR,40.000000,0.745000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.255935
TREX-DA+BT: TLARS,Avg_L,40.000000,1.710000
TREX-DA+BT: TLARS,Avg_T,40.000000,21.650000
TREX-DA+BT: TLARS,FDR,45.000000,0.167744
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.203807
TREX-DA+BT: TLARS,TPR,45.000000,0.756000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.238218
TREX-DA+BT: TLARS,Avg_L,45.000000,1.880000
TREX-DA+BT: TLARS,Avg_T,45.000000,21.700000
TREX-DA+BT: TLARS,FDR,50.000000,0.205714
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.204781
TREX-DA+BT: TLARS,TPR,50.000000,0.747000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.239327
TREX-DA+BT: TLARS,Avg_L,50.000000,1.865000
TREX-DA+BT: TLARS,Avg_T,50.000000,18.230000
TREX-DA+BT: TAFS,FDR,5.000000,0.118714
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.148470
TREX-DA+BT: TAFS,TPR,5.000000,0.820000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.209330
TREX-DA+BT: TAFS,Avg_L,5.000000,1.560000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.315000
TREX-DA+BT: TAFS,FDR,10.000000,0.129518
