solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.138702
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.184773
TREX-DA+BT: TLARS,TPR,5.000000,0.749000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.219637
TREX-DA+BT: TLARS,Avg_L,5.000000,1.805000
TREX-DA+BT: TLARS,Avg_T,5.000000,9.630000
TREX-DA+BT: TLARS,FDR,10.000000,0.151407
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.163030
TREX-DA+BT: TLARS,TPR,10.000000,0.767000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.208153
TREX-DA+BT: TLARS,Avg_L,10.000000,1.645000
TREX-DA+BT: TLARS,Avg_T,10.000000,11.550000
TREX-DA+BT: TLARS,FDR,15.000000,0.131401
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.158484
TREX-DA+BT: TLARS,TPR,15.000000,0.770000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.223944
TREX-DA+BT: TLARS,Avg_L,15.000000,1.670000
TREX-DA+BT: TLARS,Avg_T,15.000000,11.645000
TREX-DA+BT: TLARS,FDR,20.000000,0.161403
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.161165
TREX-DA+BT: TLARS,TPR,20.000000,0.791000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.201798
TREX-DA+BT: TLARS,Avg_L,20.000000,1.680000
TREX-DA+BT: TLARS,Avg_T,20.000000,14.990000
TREX-DA+BT: TLARS,FDR,25.000000,0.143702
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.159272
TREX-DA+BT: TLARS,TPR,25.000000,0.786000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.219190
TREX-DA+BT: TLARS,Avg_L,25.000000,1.690000
TREX-DA+BT: TLARS,Avg_T,25.000000,14.110000
TREX-DA+BT: TLARS,FDR,30.000000,0.161714
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.172152
TREX-DA+BT: TLARS,TPR,30.000000,0.778000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.212938
TREX-DA+BT: TLARS,Avg_L,30.000000,1.730000
TREX-DA+BT: TLARS,Avg_T,30.000000,21.335000
TREX-DA+BT: TLARS,FDR,35.000000,0.177808
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.196626
TREX-DA+BT: TLARS,TPR,35.000000,0.784000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.239228
TREX-DA+BT: TLARS,Avg_L,35.000000,1.710000
TREX-DA+BT: TLARS,Avg_T,35.000000,23.885000
TREX-DA+BT: TLARS,FDR,40.000000,0.197438
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.216553
TREX-DA+BT: TLARS,TPR,40.000000,0.755000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.252376
TREX-DA+BT: TLARS,Avg_L,40.000000,1.615000
TREX-DA+BT: TLARS,Avg_T,40.000000,21.130000
TREX-DA+BT: TLARS,FDR,45.000000,0.174383
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.196596
TREX-DA+BT: TLARS,TPR,45.000000,0.766000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.230455
TREX-DA+BT: TLARS,Avg_L,45.000000,1.780000
TREX-DA+BT: TLARS,Avg_T,45.000000,17.515000
TREX-DA+BT: TLARS,FDR,50.000000,0.212694
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.186250
TREX-DA+BT: TLARS,TPR,50.000000,0.750000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.224839
TREX-DA+BT: TLARS,Avg_L,50.000000,1.800000
TREX-DA+BT: TLARS,Avg_T,50.000000,16.385000
TREX-DA+BT: TAFS,FDR,5.000000,0.142341
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.162822
TREX-DA+BT: TAFS,TPR,5.000000,0.830000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.207158
TREX-DA+BT: TAFS,Avg_L,5.000000,1.600000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.020000
TREX-DA+BT: TAFS,FDR,10.000000,0.134149
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.151729
TREX-DA+BT: TAFS,TPR,10.000000,0.847000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.170105
TREX-DA+BT: TAFS,Avg_L,10.000000,1.545000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.225000
TREX-DA+BT: TAFS,FDR,15.000000,0.119613
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.134356
TREX-DA+BT: TAFS,TPR,15.000000,0.854000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.183446
TREX-DA+BT: TAFS,Avg_L,15.000000,1.505000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.570000
TREX-DA+BT: TAFS,FDR,20.000000,0.127676
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.150044
TREX-DA+BT: TAFS,TPR,20.000000,0.850000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.171015
TREX-DA+BT: TAFS,Avg_L,20.000000,1.560000
TREX-DA+BT: TAFS,Avg_T,20.000000,6.640000
TREX-DA+BT: TAFS,FDR,25.000000,0.118627
TREX-DA+BT: TAFS,sd_FDR,25.000000,0.148995
TREX-DA+BT: TAFS,TPR,25.000000,0.847000
TREX-DA+BT: TAFS,sd_TPR,25.000000,0.205431
TREX-DA+BT: TAFS,Avg_L,25.000000,1.550000
TREX-DA+BT: TAFS,Avg_T,25.000000,6.815000
TREX-DA+BT: TAFS,FDR,30.000000,0.119341
TREX-DA+BT: TAFS,sd_FDR,30.000000,0.142812
TREX-DA+BT: TAFS,TPR,30.000000,0.842000
TREX-DA+BT: TAFS,sd_TPR,30.000000,0.189779
TREX-DA+BT: TAFS,Avg_L,30.000000,1.535000
TREX-DA+BT: TAFS,Avg_T,30.000000,6.710000
TREX-DA+BT: TAFS,FDR,35.000000,0.131244
