solver,metric,Q,value
TREX-DA+BT: TLARS,FDR,5.000000,0.051262
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.126455
TREX-DA+BT: TLARS,TPR,5.000000,0.726000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.228000
TREX-DA+BT: TLARS,Avg_L,5.000000,1.850000
TREX-DA+BT: TLARS,Avg_T,5.000000,16.955000
TREX-DA+BT: TLARS,FDR,10.000000,0.060988
TREX-DA+BT: TLARS,sd_FDR,10.000000,0.124082
TREX-DA+BT: TLARS,TPR,10.000000,0.739000
TREX-DA+BT: TLARS,sd_TPR,10.000000,0.231402
TREX-DA+BT: TLARS,Avg_L,10.000000,1.890000
TREX-DA+BT: TLARS,Avg_T,10.000000,20.420000
TREX-DA+BT: TLARS,FDR,15.000000,0.071565
TREX-DA+BT: TLARS,sd_FDR,15.000000,0.142162
TREX-DA+BT: TLARS,TPR,15.000000,0.758000
TREX-DA+BT: TLARS,sd_TPR,15.000000,0.231742
TREX-DA+BT: TLARS,Avg_L,15.000000,1.910000
TREX-DA+BT: TLARS,Avg_T,15.000000,26.315000
TREX-DA+BT: TLARS,FDR,20.000000,0.083917
TREX-DA+BT: TLARS,sd_FDR,20.000000,0.162239
TREX-DA+BT: TLARS,TPR,20.000000,0.728000
TREX-DA+BT: TLARS,sd_TPR,20.000000,0.252059
TREX-DA+BT: TLARS,Avg_L,20.000000,1.890000
TREX-DA+BT: TLARS,Avg_T,20.000000,36.575000
TREX-DA+BT: TLARS,FDR,25.000000,0.085929
TREX-DA+BT: TLARS,sd_FDR,25.000000,0.149975
TREX-DA+BT: TLARS,TPR,25.000000,0.727000
TREX-DA+BT: TLARS,sd_TPR,25.000000,0.241584
TREX-DA+BT: TLARS,Avg_L,25.000000,1.895000
TREX-DA+BT: TLARS,Avg_T,25.000000,42.190000
TREX-DA+BT: TLARS,FDR,30.000000,0.079179
TREX-DA+BT: TLARS,sd_FDR,30.000000,0.147059
TREX-DA+BT: TLARS,TPR,30.000000,0.746000
TREX-DA+BT: TLARS,sd_TPR,30.000000,0.235289
TREX-DA+BT: TLARS,Avg_L,30.000000,1.880000
TREX-DA+BT: TLARS,Avg_T,30.000000,38.095000
TREX-DA+BT: TLARS,FDR,35.000000,0.116119
TREX-DA+BT: TLARS,sd_FDR,35.000000,0.187843
TREX-DA+BT: TLARS,TPR,35.000000,0.727000
TREX-DA+BT: TLARS,sd_TPR,35.000000,0.249766
TREX-DA+BT: TLARS,Avg_L,35.000000,1.875000
TREX-DA+BT: TLARS,Avg_T,35.000000,32.975000
TREX-DA+BT: TLARS,FDR,40.000000,0.107726
TREX-DA+BT: TLARS,sd_FDR,40.000000,0.184304
TREX-DA+BT: TLARS,TPR,40.000000,0.691000
TREX-DA+BT: TLARS,sd_TPR,40.000000,0.269597
TREX-DA+BT: TLARS,Avg_L,40.000000,1.890000
TREX-DA+BT: TLARS,Avg_T,40.000000,32.375000
TREX-DA+BT: TLARS,FDR,45.000000,0.118292
TREX-DA+BT: TLARS,sd_FDR,45.000000,0.205974
TREX-DA+BT: TLARS,TPR,45.000000,0.669000
TREX-DA+BT: TLARS,sd_TPR,45.000000,0.305130
TREX-DA+BT: TLARS,Avg_L,45.000000,1.910000
TREX-DA+BT: TLARS,Avg_T,45.000000,27.535000
TREX-DA+BT: TLARS,FDR,50.000000,0.146050
TREX-DA+BT: TLARS,sd_FDR,50.000000,0.193284
TREX-DA+BT: TLARS,TPR,50.000000,0.661000
TREX-DA+BT: TLARS,sd_TPR,50.000000,0.263107
TREX-DA+BT: TLARS,Avg_L,50.000000,2.010000
TREX-DA+BT: TLARS,Avg_T,50.000000,28.945000
TREX-DA+BT: TAFS,FDR,5.000000,0.073952
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.114742
TREX-DA+BT: TAFS,TPR,5.000000,0.823000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.218885
TREX-DA+BT: TAFS,Avg_L,5.000000,1.720000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.415000
TREX-DA+BT: TAFS,FDR,10.000000,0.067702
TREX-DA+BT: TAFS,sd_FDR,10.000000,0.114331
TREX-DA+BT: TAFS,TPR,10.000000,0.835000
TREX-DA+BT: TAFS,sd_TPR,10.000000,0.179824
TREX-DA+BT: TAFS,Avg_L,10.000000,1.685000
TREX-DA+BT: TAFS,Avg_T,10.000000,6.465000
TREX-DA+BT: TAFS,FDR,15.000000,0.057595
TREX-DA+BT: TAFS,sd_FDR,15.000000,0.110083
TREX-DA+BT: TAFS,TPR,15.000000,0.849000
TREX-DA+BT: TAFS,sd_TPR,15.000000,0.205939
TREX-DA+BT: TAFS,Avg_L,15.000000,1.820000
TREX-DA+BT: TAFS,Avg_T,15.000000,6.865000
TREX-DA+BT: TAFS,FDR,20.000000,0.071845
TREX-DA+BT: TAFS,sd_FDR,20.000000,0.123747
TREX-DA+BT: TAFS,TPR,20.000000,0.807000
TREX-DA+BT: TAFS,sd_TPR,20.000000,0.209692
