solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.065756
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.104148
TREX-DA+BT: TLARS,TPR,0.000000,0.899000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.190210
TREX-DA+BT: TLARS,Avg_L,0.000000,2.095000
TREX-DA+BT: TLARS,Avg_T,0.000000,15.845000
TREX-DA+BT: TLARS,FDR,0.100000,0.069895
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.106313
TREX-DA+BT: TLARS,TPR,0.100000,0.928000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.180496
TREX-DA+BT: TLARS,Avg_L,0.100000,2.125000
TREX-DA+BT: TLARS,Avg_T,0.100000,15.995000
TREX-DA+BT: TLARS,FDR,0.200000,0.075407
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.115496
TREX-DA+BT: TLARS,TPR,0.200000,0.926000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.162035
TREX-DA+BT: TLARS,Avg_L,0.200000,2.080000
TREX-DA+BT: TLARS,Avg_T,0.200000,14.245000
TREX-DA+BT: TLARS,FDR,0.300000,0.054895
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.102963
TREX-DA+BT: TLARS,TPR,0.300000,0.914000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.149384
TREX-DA+BT: TLARS,Avg_L,0.300000,2.040000
TREX-DA+BT: TLARS,Avg_T,0.300000,16.190000
TREX-DA+BT: TLARS,FDR,0.400000,0.071387
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.110779
TREX-DA+BT: TLARS,TPR,0.400000,0.921000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.155175
TREX-DA+BT: TLARS,Avg_L,0.400000,1.890000
TREX-DA+BT: TLARS,Avg_T,0.400000,11.975000
TREX-DA+BT: TLARS,FDR,0.500000,0.066726
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.116915
TREX-DA+BT: TLARS,TPR,0.500000,0.892000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.155101
TREX-DA+BT: TLARS,Avg_L,0.500000,1.835000
TREX-DA+BT: TLARS,Avg_T,0.500000,12.165000
TREX-DA+BT: TLARS,FDR,0.600000,0.074393
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.123146
TREX-DA+BT: TLARS,TPR,0.600000,0.878000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.177973
TREX-DA+BT: TLARS,Avg_L,0.600000,1.825000
TREX-DA+BT: TLARS,Avg_T,0.600000,14.440000
TREX-DA+BT: TLARS,FDR,0.700000,0.054060
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.100765
TREX-DA+BT: TLARS,TPR,0.700000,0.826000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.193679
TREX-DA+BT: TLARS,Avg_L,0.700000,1.745000
TREX-DA+BT: TLARS,Avg_T,0.700000,11.730000
TREX-DA+BT: TLARS,FDR,0.800000,0.072240
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.123751
TREX-DA+BT: TLARS,TPR,0.800000,0.765000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.204902
TREX-DA+BT: TLARS,Avg_L,0.800000,1.815000
TREX-DA+BT: TLARS,Avg_T,0.800000,12.920000
TREX-DA+BT: TLARS,FDR,0.900000,0.090476
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.162538
TREX-DA+BT: TLARS,TPR,0.900000,0.635000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.244281
TREX-DA+BT: TLARS,Avg_L,0.900000,1.785000
TREX-DA+BT: TLARS,Avg_T,0.900000,14.335000
TREX-DA+BT: TAFS,FDR,0.000000,0.062268
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.097097
TREX-DA+BT: TAFS,TPR,0.000000,0.942000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.174321
TREX-DA+BT: TAFS,Avg_L,0.000000,2.005000
TREX-DA+BT: TAFS,Avg_T,0.000000,6.970000
