solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.073500
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.110314
TREX-DA+BT: TLARS,TPR,0.000000,0.903000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.194371
TREX-DA+BT: TLARS,Avg_L,0.000000,2.110000
TREX-DA+BT: TLARS,Avg_T,0.000000,17.125000
TREX-DA+BT: TLARS,FDR,0.100000,0.065605
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.107561
TREX-DA+BT: TLARS,TPR,0.100000,0.911000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.195114
TREX-DA+BT: TLARS,Avg_L,0.100000,2.070000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.425000
TREX-DA+BT: TLARS,FDR,0.200000,0.067101
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.113279
TREX-DA+BT: TLARS,TPR,0.200000,0.929000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.165213
TREX-DA+BT: TLARS,Avg_L,0.200000,2.090000
TREX-DA+BT: TLARS,Avg_T,0.200000,11.885000
TREX-DA+BT: TLARS,FDR,0.300000,0.056131
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.104122
TREX-DA+BT: TLARS,TPR,0.300000,0.923000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.144135
TREX-DA+BT: TLARS,Avg_L,0.300000,2.070000
TREX-DA+BT: TLARS,Avg_T,0.300000,15.020000
TREX-DA+BT: TLARS,FDR,0.400000,0.075901
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.114838
TREX-DA+BT: TLARS,TPR,0.400000,0.926000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.145014
TREX-DA+BT: TLARS,Avg_L,0.400000,1.920000
TREX-DA+BT: TLARS,Avg_T,0.400000,11.425000
TREX-DA+BT: TLARS,FDR,0.500000,0.060935
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.106582
TREX-DA+BT: TLARS,TPR,0.500000,0.907000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.148530
TREX-DA+BT: TLARS,Avg_L,0.500000,1.880000
TREX-DA+BT: TLARS,Avg_T,0.500000,10.785000
TREX-DA+BT: TLARS,FDR,0.600000,0.069776
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.118765
TREX-DA+BT: TLARS,TPR,0.600000,0.896000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.161600
TREX-DA+BT: TLARS,Avg_L,0.600000,1.790000
TREX-DA+BT: TLARS,Avg_T,0.600000,11.820000
TREX-DA+BT: TLARS,FDR,0.700000,0.073157
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.121330
TREX-DA+BT: TLARS,TPR,0.700000,0.835000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.203919
TREX-DA+BT: TLARS,Avg_L,0.700000,1.775000
TREX-DA+BT: TLARS,Avg_T,0.700000,10.855000
TREX-DA+BT: TLARS,FDR,0.800000,0.083411
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.126911
TREX-DA+BT: TLARS,TPR,0.800000,0.778000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.193139
TREX-DA+BT: TLARS,Avg_L,0.800000,1.775000
TREX-DA+BT: TLARS,Avg_T,0.800000,11.345000
TREX-DA+BT: TLARS,FDR,0.900000,0.100232
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.176175
TREX-DA+BT: TLARS,TPR,0.900000,0.631000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.237320
TREX-DA+BT: TLARS,Avg_L,0.900000,1.795000
TREX-DA+BT: TLARS,Avg_T,0.900000,12.770000
TREX-DA+BT: TAFS,FDR,0.000000,0.059214
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.091150
TREX-DA+BT: TAFS,TPR,0.000000,0.947000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.163477
TREX-DA+BT: TAFS,Avg_L,0.000000,1.985000
TREX-DA+BT: TAFS,Avg_T,0.000000,6.880000
TREX-DA+BT: TAFS,FDR,0.100000,0.062121
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.095456
TREX-DA+BT: TAFS,TPR,0.100000,0.949000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.175937
TREX-DA+BT: TAFS,Avg_L,0.100000,1.965000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.965000
TREX-DA+BT: TAFS,FDR,0.200000,0.056851
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.088307
TREX-DA+BT: TAFS,TPR,0.200000,0.955000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.147934
TREX-DA+BT: TAFS,Avg_L,0.200000,1.960000
TREX-DA+BT: TAFS,Avg_T,0.200000,6.870000
TREX-DA+BT: TAFS,FDR,0.300000,0.040310
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.079479
TREX-DA+BT: TAFS,TPR,0.300000,0.969000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.098425
TREX-DA+BT: TAFS,Avg_L,0.300000,1.845000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.650000
TREX-DA+BT: TAFS,FDR,0.400000,0.059315
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.095348
TREX-DA+BT: TAFS,TPR,0.400000,0.960000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.129940
TREX-DA+BT: TAFS,Avg_L,0.400000,1.755000
TREX-DA+BT: TAFS,Avg_T,0.400000,6.740000
TREX-DA+BT: TAFS,FDR,0.500000,0.057458
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.102749
TREX-DA+BT: TAFS,TPR,0.500000,0.957000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.113204
TREX-DA+BT: TAFS,Avg_L,0.500000,1.650000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.775000
TREX-DA+BT: TAFS,FDR,0.600000,0.057639
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.106137
TREX-DA+BT: TAFS,TPR,0.600000,0.949000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.148693
TREX-DA+BT: TAFS,Avg_L,0.600000,1.600000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.780000
TREX-DA+BT: TAFS,FDR,0.700000,0.041464
TREX-DA+BT: TAFS,sd_FDR,0.700000,0.085366
TREX-DA+BT: TAFS,TPR,0.700000,0.912000
TREX-DA+BT: TAFS,sd_TPR,0.700000,0.175528
TREX-DA+BT: TAFS,Avg_L,0.700000,1.525000
TREX-DA+BT: TAFS,Avg_T,0.700000,6.800000
TREX-DA+BT: TAFS,FDR,0.800000,0.075381
TREX-DA+BT: TAFS,sd_FDR,0.800000,0.106032
TREX-DA+BT: TAFS,TPR,0.800000,0.870000
TREX-DA+BT: TAFS,sd_TPR,0.800000,0.176794
TREX-DA+BT: TAFS,Avg_L,0.800000,1.580000
TREX-DA+BT: TAFS,Avg_T,0.800000,6.705000
TREX-DA+BT: TAFS,FDR,0.900000,0.138405
TREX-DA+BT: TAFS,sd_FDR,0.900000,0.197277
TREX-DA+BT: TAFS,TPR,0.900000,0.698000
TREX-DA+BT: TAFS,sd_TPR,0.900000,0.236380
TREX-DA+BT: TAFS,Avg_L,0.900000,1.905000
TREX-DA+BT: TAFS,Avg_T,0.900000,7.090000
TREX-DA+BT: TOMP,FDR,0.000000,0.038143
TREX-DA+BT: TOMP,sd_FDR,0.000000,0.081883
TREX-DA+BT: TOMP,TPR,0.000000,0.972000
TREX-DA+BT: TOMP,sd_TPR,0.000000,0.102315
TREX-DA+BT: TOMP,Avg_L,0.000000,1.960000
TREX-DA+BT: TOMP,Avg_T,0.000000,7.845000
TREX-DA+BT: TOMP,FDR,0.100000,0.043690
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.085511
TREX-DA+BT: TOMP,TPR,0.100000,0.981000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.109080
TREX-DA+BT: TOMP,Avg_L,0.100000,1.945000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.670000
TREX-DA+BT: TOMP,FDR,0.200000,0.034315
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.073509
TREX-DA+BT: TOMP,TPR,0.200000,0.979000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.094890
TREX-DA+BT: TOMP,Avg_L,0.200000,1.875000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.440000
TREX-DA+BT: TOMP,FDR,0.300000,0.040899
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.078616
TREX-DA+BT: TOMP,TPR,0.300000,0.987000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.060409
TREX-DA+BT: TOMP,Avg_L,0.300000,1.815000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.380000
TREX-DA+BT: TOMP,FDR,0.400000,0.041696
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.083230
TREX-DA+BT: TOMP,TPR,0.400000,0.982000
