solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.021333
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.081891
TREX-DA+BT: TLARS,TPR,0.000000,0.566000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.253704
TREX-DA+BT: TLARS,Avg_L,0.000000,2.165000
TREX-DA+BT: TLARS,Avg_T,0.000000,26.960000
TREX-DA+BT: TLARS,FDR,0.100000,0.026750
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.093685
TREX-DA+BT: TLARS,TPR,0.100000,0.595000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.270074
TREX-DA+BT: TLARS,Avg_L,0.100000,2.125000
TREX-DA+BT: TLARS,Avg_T,0.100000,25.800000
TREX-DA+BT: TLARS,FDR,0.200000,0.034250
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.090999
TREX-DA+BT: TLARS,TPR,0.200000,0.650000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.260460
TREX-DA+BT: TLARS,Avg_L,0.200000,2.150000
TREX-DA+BT: TLARS,Avg_T,0.200000,25.370000
TREX-DA+BT: TLARS,FDR,0.300000,0.025250
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.083792
TREX-DA+BT: TLARS,TPR,0.300000,0.702000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.247999
TREX-DA+BT: TLARS,Avg_L,0.300000,2.135000
TREX-DA+BT: TLARS,Avg_T,0.300000,20.225000
TREX-DA+BT: TLARS,FDR,0.400000,0.016083
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.063786
TREX-DA+BT: TLARS,TPR,0.400000,0.812000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.212797
TREX-DA+BT: TLARS,Avg_L,0.400000,1.955000
TREX-DA+BT: TLARS,Avg_T,0.400000,19.720000
TREX-DA+BT: TLARS,FDR,0.500000,0.019929
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.063315
TREX-DA+BT: TLARS,TPR,0.500000,0.860000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.188087
TREX-DA+BT: TLARS,Avg_L,0.500000,1.880000
TREX-DA+BT: TLARS,Avg_T,0.500000,17.450000
TREX-DA+BT: TLARS,FDR,0.600000,0.021762
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.065044
TREX-DA+BT: TLARS,TPR,0.600000,0.869000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.181116
TREX-DA+BT: TLARS,Avg_L,0.600000,1.940000
TREX-DA+BT: TLARS,Avg_T,0.600000,19.280000
TREX-DA+BT: TLARS,FDR,0.700000,0.026583
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.075412
TREX-DA+BT: TLARS,TPR,0.700000,0.814000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.220105
TREX-DA+BT: TLARS,Avg_L,0.700000,1.920000
TREX-DA+BT: TLARS,Avg_T,0.700000,19.710000
TREX-DA+BT: TLARS,FDR,0.800000,0.032762
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.082543
TREX-DA+BT: TLARS,TPR,0.800000,0.755000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.220039
TREX-DA+BT: TLARS,Avg_L,0.800000,1.865000
TREX-DA+BT: TLARS,Avg_T,0.800000,20.945000
TREX-DA+BT: TLARS,FDR,0.900000,0.065476
