solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.128298
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.163166
TREX-DA+BT: TLARS,TPR,0.000000,0.917000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.187314
TREX-DA+BT: TLARS,Avg_L,0.000000,2.085000
TREX-DA+BT: TLARS,Avg_T,0.000000,12.040000
TREX-DA+BT: TLARS,FDR,0.100000,0.118982
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.141645
TREX-DA+BT: TLARS,TPR,0.100000,0.905000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.205392
TREX-DA+BT: TLARS,Avg_L,0.100000,2.040000
TREX-DA+BT: TLARS,Avg_T,0.100000,13.460000
TREX-DA+BT: TLARS,FDR,0.200000,0.108034
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.152579
TREX-DA+BT: TLARS,TPR,0.200000,0.913000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.202077
TREX-DA+BT: TLARS,Avg_L,0.200000,1.995000
TREX-DA+BT: TLARS,Avg_T,0.200000,12.395000
TREX-DA+BT: TLARS,FDR,0.300000,0.103009
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.146769
TREX-DA+BT: TLARS,TPR,0.300000,0.927000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.156825
TREX-DA+BT: TLARS,Avg_L,0.300000,1.905000
TREX-DA+BT: TLARS,Avg_T,0.300000,10.685000
TREX-DA+BT: TLARS,FDR,0.400000,0.096919
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.138045
TREX-DA+BT: TLARS,TPR,0.400000,0.918000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.164350
TREX-DA+BT: TLARS,Avg_L,0.400000,1.820000
TREX-DA+BT: TLARS,Avg_T,0.400000,12.075000
TREX-DA+BT: TLARS,FDR,0.500000,0.116081
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.133787
TREX-DA+BT: TLARS,TPR,0.500000,0.915000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.160949
TREX-DA+BT: TLARS,Avg_L,0.500000,1.785000
TREX-DA+BT: TLARS,Avg_T,0.500000,10.980000
TREX-DA+BT: TLARS,FDR,0.600000,0.120482
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.156843
TREX-DA+BT: TLARS,TPR,0.600000,0.871000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.206329
TREX-DA+BT: TLARS,Avg_L,0.600000,1.705000
TREX-DA+BT: TLARS,Avg_T,0.600000,11.670000
