solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.130163
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.150154
TREX-DA+BT: TLARS,TPR,0.000000,0.908000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.205297
TREX-DA+BT: TLARS,Avg_L,0.000000,2.120000
TREX-DA+BT: TLARS,Avg_T,0.000000,13.335000
TREX-DA+BT: TLARS,FDR,0.100000,0.119748
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.136654
TREX-DA+BT: TLARS,TPR,0.100000,0.934000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.154152
TREX-DA+BT: TLARS,Avg_L,0.100000,1.985000
TREX-DA+BT: TLARS,Avg_T,0.100000,11.745000
TREX-DA+BT: TLARS,FDR,0.200000,0.120402
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.155994
TREX-DA+BT: TLARS,TPR,0.200000,0.919000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.196551
TREX-DA+BT: TLARS,Avg_L,0.200000,1.955000
TREX-DA+BT: TLARS,Avg_T,0.200000,11.510000
TREX-DA+BT: TLARS,FDR,0.300000,0.117392
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.145882
TREX-DA+BT: TLARS,TPR,0.300000,0.925000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.169466
TREX-DA+BT: TLARS,Avg_L,0.300000,1.950000
TREX-DA+BT: TLARS,Avg_T,0.300000,11.345000
TREX-DA+BT: TLARS,FDR,0.400000,0.104839
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.145332
TREX-DA+BT: TLARS,TPR,0.400000,0.915000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.165869
TREX-DA+BT: TLARS,Avg_L,0.400000,1.850000
TREX-DA+BT: TLARS,Avg_T,0.400000,10.800000
TREX-DA+BT: TLARS,FDR,0.500000,0.125317
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.130694
TREX-DA+BT: TLARS,TPR,0.500000,0.915000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.163427
TREX-DA+BT: TLARS,Avg_L,0.500000,1.720000
TREX-DA+BT: TLARS,Avg_T,0.500000,9.995000
TREX-DA+BT: TLARS,FDR,0.600000,0.136903
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.169397
TREX-DA+BT: TLARS,TPR,0.600000,0.885000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.186410
TREX-DA+BT: TLARS,Avg_L,0.600000,1.740000
TREX-DA+BT: TLARS,Avg_T,0.600000,11.125000
TREX-DA+BT: TLARS,FDR,0.700000,0.111675
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.145294
TREX-DA+BT: TLARS,TPR,0.700000,0.836000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.193107
TREX-DA+BT: TLARS,Avg_L,0.700000,1.705000
TREX-DA+BT: TLARS,Avg_T,0.700000,11.175000
TREX-DA+BT: TLARS,FDR,0.800000,0.111575
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.150027
TREX-DA+BT: TLARS,TPR,0.800000,0.787000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.181648
TREX-DA+BT: TLARS,Avg_L,0.800000,1.705000
TREX-DA+BT: TLARS,Avg_T,0.800000,11.940000
TREX-DA+BT: TLARS,FDR,0.900000,0.128661
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.167974
TREX-DA+BT: TLARS,TPR,0.900000,0.638000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.229826
TREX-DA+BT: TLARS,Avg_L,0.900000,1.815000
TREX-DA+BT: TLARS,Avg_T,0.900000,12.655000
TREX-DA+BT: TAFS,FDR,0.000000,0.129587
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.138051
TREX-DA+BT: TAFS,TPR,0.000000,0.946000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.167404
TREX-DA+BT: TAFS,Avg_L,0.000000,1.930000
TREX-DA+BT: TAFS,Avg_T,0.000000,6.255000
TREX-DA+BT: TAFS,FDR,0.100000,0.120250
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.127904
TREX-DA+BT: TAFS,TPR,0.100000,0.956000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.161849
TREX-DA+BT: TAFS,Avg_L,0.100000,1.870000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.870000
TREX-DA+BT: TAFS,FDR,0.200000,0.108238
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.148819
TREX-DA+BT: TAFS,TPR,0.200000,0.948000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.165630
TREX-DA+BT: TAFS,Avg_L,0.200000,1.855000
TREX-DA+BT: TAFS,Avg_T,0.200000,6.570000
TREX-DA+BT: TAFS,FDR,0.300000,0.117528
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.135847
TREX-DA+BT: TAFS,TPR,0.300000,0.964000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.145637
TREX-DA+BT: TAFS,Avg_L,0.300000,1.770000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.495000
TREX-DA+BT: TAFS,FDR,0.400000,0.086657
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.124456
TREX-DA+BT: TAFS,TPR,0.400000,0.944000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.150256
TREX-DA+BT: TAFS,Avg_L,0.400000,1.710000
TREX-DA+BT: TAFS,Avg_T,0.400000,6.435000
TREX-DA+BT: TAFS,FDR,0.500000,0.102704
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.122485
TREX-DA+BT: TAFS,TPR,0.500000,0.963000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.098384
TREX-DA+BT: TAFS,Avg_L,0.500000,1.505000
TREX-DA+BT: TAFS,Avg_T,0.500000,6.345000
TREX-DA+BT: TAFS,FDR,0.600000,0.121661
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.143613
TREX-DA+BT: TAFS,TPR,0.600000,0.931000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.180003
TREX-DA+BT: TAFS,Avg_L,0.600000,1.540000
TREX-DA+BT: TAFS,Avg_T,0.600000,6.465000
TREX-DA+BT: TAFS,FDR,0.700000,0.113736
TREX-DA+BT: TAFS,sd_FDR,0.700000,0.142269
TREX-DA+BT: TAFS,TPR,0.700000,0.892000
TREX-DA+BT: TAFS,sd_TPR,0.700000,0.181385
TREX-DA+BT: TAFS,Avg_L,0.700000,1.440000
TREX-DA+BT: TAFS,Avg_T,0.700000,6.370000
TREX-DA+BT: TAFS,FDR,0.800000,0.122363
TREX-DA+BT: TAFS,sd_FDR,0.800000,0.148683
TREX-DA+BT: TAFS,TPR,0.800000,0.865000
TREX-DA+BT: TAFS,sd_TPR,0.800000,0.157796
TREX-DA+BT: TAFS,Avg_L,0.800000,1.605000
TREX-DA+BT: TAFS,Avg_T,0.800000,6.555000
TREX-DA+BT: TAFS,FDR,0.900000,0.176304
TREX-DA+BT: TAFS,sd_FDR,0.900000,0.189732
TREX-DA+BT: TAFS,TPR,0.900000,0.696000
TREX-DA+BT: TAFS,sd_TPR,0.900000,0.220516
TREX-DA+BT: TAFS,Avg_L,0.900000,1.645000
TREX-DA+BT: TAFS,Avg_T,0.900000,6.500000
TREX-DA+BT: TOMP,FDR,0.000000,0.130190
TREX-DA+BT: TOMP,sd_FDR,0.000000,0.139986
TREX-DA+BT: TOMP,TPR,0.000000,0.958000
TREX-DA+BT: TOMP,sd_TPR,0.000000,0.158625
TREX-DA+BT: TOMP,Avg_L,0.000000,1.780000
TREX-DA+BT: TOMP,Avg_T,0.000000,7.475000
TREX-DA+BT: TOMP,FDR,0.100000,0.111062
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.125957
TREX-DA+BT: TOMP,TPR,0.100000,0.965000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.132145
TREX-DA+BT: TOMP,Avg_L,0.100000,1.810000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.355000
TREX-DA+BT: TOMP,FDR,0.200000,0.106770
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.135835
TREX-DA+BT: TOMP,TPR,0.200000,0.959000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.147743
TREX-DA+BT: TOMP,Avg_L,0.200000,1.765000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.310000
TREX-DA+BT: TOMP,FDR,0.300000,0.108988
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.124349
TREX-DA+BT: TOMP,TPR,0.300000,0.976000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.107151
TREX-DA+BT: TOMP,Avg_L,0.300000,1.640000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.215000
TREX-DA+BT: TOMP,FDR,0.400000,0.101131
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.122776
TREX-DA+BT: TOMP,TPR,0.400000,0.966000
TREX-DA+BT: TOMP,sd_TPR,0.400000,0.136149
TREX-DA+BT: TOMP,Avg_L,0.400000,1.540000
TREX-DA+BT: TOMP,Avg_T,0.400000,7.170000
TREX-DA+BT: TOMP,FDR,0.500000,0.112919
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.123830
TREX-DA+BT: TOMP,TPR,0.500000,0.983000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.077076
TREX-DA+BT: TOMP,Avg_L,0.500000,1.360000
TREX-DA+BT: TOMP,Avg_T,0.500000,7.090000
TREX-DA+BT: TOMP,FDR,0.600000,0.115756
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.127533
TREX-DA+BT: TOMP,TPR,0.600000,0.955000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.164653
TREX-DA+BT: TOMP,Avg_L,0.600000,1.375000
TREX-DA+BT: TOMP,Avg_T,0.600000,6.945000
TREX-DA+BT: TOMP,FDR,0.700000,0.103095
TREX-DA+BT: TOMP,sd_FDR,0.700000,0.139252
TREX-DA+BT: TOMP,TPR,0.700000,0.942000
TREX-DA+BT: TOMP,sd_TPR,0.700000,0.148141
TREX-DA+BT: TOMP,Avg_L,0.700000,1.290000
TREX-DA+BT: TOMP,Avg_T,0.700000,7.250000
TREX-DA+BT: TOMP,FDR,0.800000,0.103492
TREX-DA+BT: TOMP,sd_FDR,0.800000,0.142724
TREX-DA+BT: TOMP,TPR,0.800000,0.921000
TREX-DA+BT: TOMP,sd_TPR,0.800000,0.140204
TREX-DA+BT: TOMP,Avg_L,0.800000,1.265000
TREX-DA+BT: TOMP,Avg_T,0.800000,7.125000
TREX-DA+BT: TOMP,FDR,0.900000,0.165484
TREX-DA+BT: TOMP,sd_FDR,0.900000,0.152717
TREX-DA+BT: TOMP,TPR,0.900000,0.799000
TREX-DA+BT: TOMP,sd_TPR,0.900000,0.194908
TREX-DA+BT: TOMP,Avg_L,0.900000,1.490000
TREX-DA+BT: TOMP,Avg_T,0.900000,7.350000
