solver,metric,Rho,value
TREX-DA+BT: TLARS,FDR,0.000000,0.049833
TREX-DA+BT: TLARS,sd_FDR,0.000000,0.123823
TREX-DA+BT: TLARS,TPR,0.000000,0.566000
TREX-DA+BT: TLARS,sd_TPR,0.000000,0.259965
TREX-DA+BT: TLARS,Avg_L,0.000000,2.135000
TREX-DA+BT: TLARS,Avg_T,0.000000,22.715000
TREX-DA+BT: TLARS,FDR,0.100000,0.059845
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.125738
TREX-DA+BT: TLARS,TPR,0.100000,0.584000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.268523
TREX-DA+BT: TLARS,Avg_L,0.100000,2.105000
TREX-DA+BT: TLARS,Avg_T,0.100000,21.600000
TREX-DA+BT: TLARS,FDR,0.200000,0.063583
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.156491
TREX-DA+BT: TLARS,TPR,0.200000,0.645000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.281016
TREX-DA+BT: TLARS,Avg_L,0.200000,2.070000
TREX-DA+BT: TLARS,Avg_T,0.200000,22.485000
TREX-DA+BT: TLARS,FDR,0.300000,0.047548
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.124237
TREX-DA+BT: TLARS,TPR,0.300000,0.708000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.258204
TREX-DA+BT: TLARS,Avg_L,0.300000,2.090000
TREX-DA+BT: TLARS,Avg_T,0.300000,18.635000
TREX-DA+BT: TLARS,FDR,0.400000,0.033667
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.080669
TREX-DA+BT: TLARS,TPR,0.400000,0.814000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.220105
TREX-DA+BT: TLARS,Avg_L,0.400000,1.880000
TREX-DA+BT: TLARS,Avg_T,0.400000,18.020000
TREX-DA+BT: TLARS,FDR,0.500000,0.049833
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.095062
TREX-DA+BT: TLARS,TPR,0.500000,0.851000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.206427
TREX-DA+BT: TLARS,Avg_L,0.500000,1.835000
TREX-DA+BT: TLARS,Avg_T,0.500000,17.615000
TREX-DA+BT: TLARS,FDR,0.600000,0.039524
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.089129
TREX-DA+BT: TLARS,TPR,0.600000,0.847000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.237218
TREX-DA+BT: TLARS,Avg_L,0.600000,1.815000
TREX-DA+BT: TLARS,Avg_T,0.600000,21.595000
TREX-DA+BT: TLARS,FDR,0.700000,0.045238
TREX-DA+BT: TLARS,sd_FDR,0.700000,0.097910
TREX-DA+BT: TLARS,TPR,0.700000,0.814000
TREX-DA+BT: TLARS,sd_TPR,0.700000,0.224625
TREX-DA+BT: TLARS,Avg_L,0.700000,1.875000
TREX-DA+BT: TLARS,Avg_T,0.700000,20.280000
TREX-DA+BT: TLARS,FDR,0.800000,0.045250
TREX-DA+BT: TLARS,sd_FDR,0.800000,0.094671
TREX-DA+BT: TLARS,TPR,0.800000,0.777000
TREX-DA+BT: TLARS,sd_TPR,0.800000,0.200680
TREX-DA+BT: TLARS,Avg_L,0.800000,1.835000
TREX-DA+BT: TLARS,Avg_T,0.800000,18.200000
TREX-DA+BT: TLARS,FDR,0.900000,0.091476
TREX-DA+BT: TLARS,sd_FDR,0.900000,0.152379
TREX-DA+BT: TLARS,TPR,0.900000,0.636000
TREX-DA+BT: TLARS,sd_TPR,0.900000,0.234476
TREX-DA+BT: TLARS,Avg_L,0.900000,1.885000
TREX-DA+BT: TLARS,Avg_T,0.900000,20.605000
TREX-DA+BT: TAFS,FDR,0.000000,0.067512
TREX-DA+BT: TAFS,sd_FDR,0.000000,0.122948
TREX-DA+BT: TAFS,TPR,0.000000,0.591000
TREX-DA+BT: TAFS,sd_TPR,0.000000,0.260110
TREX-DA+BT: TAFS,Avg_L,0.000000,2.015000
TREX-DA+BT: TAFS,Avg_T,0.000000,6.810000
TREX-DA+BT: TAFS,FDR,0.100000,0.075940
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.135825
TREX-DA+BT: TAFS,TPR,0.100000,0.614000
