solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.022500
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.144388
TREX-DA+BT: TLARS,TPR,0.100000,0.006000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.034203
TREX-DA+BT: TLARS,Avg_L,0.100000,1.565000
TREX-DA+BT: TLARS,Avg_T,0.100000,8.445000
TREX-DA+BT: TLARS,FDR,0.200000,0.038333
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.182811
TREX-DA+BT: TLARS,TPR,0.200000,0.018000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.060782
TREX-DA+BT: TLARS,Avg_L,0.200000,2.085000
TREX-DA+BT: TLARS,Avg_T,0.200000,8.225000
TREX-DA+BT: TLARS,FDR,0.500000,0.107857
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.238773
TREX-DA+BT: TLARS,TPR,0.500000,0.212000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.214678
TREX-DA+BT: TLARS,Avg_L,0.500000,3.455000
TREX-DA+BT: TLARS,Avg_T,0.500000,7.310000
TREX-DA+BT: TLARS,FDR,0.600000,0.086500
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.182936
TREX-DA+BT: TLARS,TPR,0.600000,0.282000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.234844
TREX-DA+BT: TLARS,Avg_L,0.600000,2.985000
TREX-DA+BT: TLARS,Avg_T,0.600000,7.235000
TREX-DA+BT: TLARS,FDR,1.000000,0.112518
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.187902
TREX-DA+BT: TLARS,TPR,1.000000,0.581000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.259569
TREX-DA+BT: TLARS,Avg_L,1.000000,2.465000
TREX-DA+BT: TLARS,Avg_T,1.000000,9.960000
TREX-DA+BT: TLARS,FDR,2.000000,0.062643
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.119170
TREX-DA+BT: TLARS,TPR,2.000000,0.758000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.214631
TREX-DA+BT: TLARS,Avg_L,2.000000,1.770000
TREX-DA+BT: TLARS,Avg_T,2.000000,12.200000
TREX-DA+BT: TLARS,FDR,5.000000,0.063679
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.118685
TREX-DA+BT: TLARS,TPR,5.000000,0.808000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.185765
TREX-DA+BT: TLARS,Avg_L,5.000000,1.605000
TREX-DA+BT: TLARS,Avg_T,5.000000,18.735000
TREX-DA+BT: TAFS,FDR,0.100000,0.015000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.121857
TREX-DA+BT: TAFS,TPR,0.100000,0.005000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.031303
TREX-DA+BT: TAFS,Avg_L,0.100000,1.470000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.185000
TREX-DA+BT: TAFS,FDR,0.200000,0.050000
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.207347
TREX-DA+BT: TAFS,TPR,0.200000,0.022000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.071706
TREX-DA+BT: TAFS,Avg_L,0.200000,2.195000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.535000
TREX-DA+BT: TAFS,FDR,0.500000,0.091583
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.198824
TREX-DA+BT: TAFS,TPR,0.500000,0.235000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.227229
TREX-DA+BT: TAFS,Avg_L,0.500000,3.275000
TREX-DA+BT: TAFS,Avg_T,0.500000,5.585000
TREX-DA+BT: TAFS,FDR,0.600000,0.090500
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.184956
TREX-DA+BT: TAFS,TPR,0.600000,0.314000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.254021
TREX-DA+BT: TAFS,Avg_L,0.600000,3.025000
TREX-DA+BT: TAFS,Avg_T,0.600000,5.075000
TREX-DA+BT: TAFS,FDR,1.000000,0.100167
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.153049
TREX-DA+BT: TAFS,TPR,1.000000,0.650000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.263528
TREX-DA+BT: TAFS,Avg_L,1.000000,2.175000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.705000
TREX-DA+BT: TAFS,FDR,2.000000,0.077798
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.124816
TREX-DA+BT: TAFS,TPR,2.000000,0.833000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.193126
TREX-DA+BT: TAFS,Avg_L,2.000000,1.625000
TREX-DA+BT: TAFS,Avg_T,2.000000,6.710000
TREX-DA+BT: TAFS,FDR,5.000000,0.048857
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.103546
TREX-DA+BT: TAFS,TPR,5.000000,0.823000
