solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.022500
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.144388
TREX-DA+BT: TLARS,TPR,0.100000,0.003000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.024371
TREX-DA+BT: TLARS,Avg_L,0.100000,1.565000
TREX-DA+BT: TLARS,Avg_T,0.100000,6.945000
TREX-DA+BT: TLARS,FDR,0.200000,0.064167
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.235511
TREX-DA+BT: TLARS,TPR,0.200000,0.024000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.073833
TREX-DA+BT: TLARS,Avg_L,0.200000,2.215000
TREX-DA+BT: TLARS,Avg_T,0.200000,7.660000
TREX-DA+BT: TLARS,FDR,0.500000,0.117083
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.239884
TREX-DA+BT: TLARS,TPR,0.500000,0.230000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.215714
TREX-DA+BT: TLARS,Avg_L,0.500000,3.330000
TREX-DA+BT: TLARS,Avg_T,0.500000,8.145000
TREX-DA+BT: TLARS,FDR,0.600000,0.098500
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.200259
TREX-DA+BT: TLARS,TPR,0.600000,0.293000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.235432
TREX-DA+BT: TLARS,Avg_L,0.600000,3.130000
TREX-DA+BT: TLARS,Avg_T,0.600000,7.440000
TREX-DA+BT: TLARS,FDR,1.000000,0.110970
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.171839
TREX-DA+BT: TLARS,TPR,1.000000,0.581000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.251706
TREX-DA+BT: TLARS,Avg_L,1.000000,2.525000
TREX-DA+BT: TLARS,Avg_T,1.000000,8.995000
TREX-DA+BT: TLARS,FDR,2.000000,0.077988
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.132003
TREX-DA+BT: TLARS,TPR,2.000000,0.774000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.206731
TREX-DA+BT: TLARS,Avg_L,2.000000,1.775000
TREX-DA+BT: TLARS,Avg_T,2.000000,12.625000
TREX-DA+BT: TLARS,FDR,5.000000,0.071250
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.122582
TREX-DA+BT: TLARS,TPR,5.000000,0.822000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.174552
TREX-DA+BT: TLARS,Avg_L,5.000000,1.615000
TREX-DA+BT: TLARS,Avg_T,5.000000,17.465000
TREX-DA+BT: TAFS,FDR,0.100000,0.020000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.140351
TREX-DA+BT: TAFS,TPR,0.100000,0.005000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.031303
TREX-DA+BT: TAFS,Avg_L,0.100000,1.470000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.050000
TREX-DA+BT: TAFS,FDR,0.200000,0.060833
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.234620
TREX-DA+BT: TAFS,TPR,0.200000,0.020000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.063404
TREX-DA+BT: TAFS,Avg_L,0.200000,2.195000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.600000
TREX-DA+BT: TAFS,FDR,0.500000,0.102083
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.216824
TREX-DA+BT: TAFS,TPR,0.500000,0.229000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.220002
TREX-DA+BT: TAFS,Avg_L,0.500000,3.350000
TREX-DA+BT: TAFS,Avg_T,0.500000,5.620000
TREX-DA+BT: TAFS,FDR,0.600000,0.089750
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.181460
TREX-DA+BT: TAFS,TPR,0.600000,0.309000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.255038
TREX-DA+BT: TAFS,Avg_L,0.600000,3.180000
TREX-DA+BT: TAFS,Avg_T,0.600000,5.220000
TREX-DA+BT: TAFS,FDR,1.000000,0.103107
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.163986
TREX-DA+BT: TAFS,TPR,1.000000,0.648000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.279439
TREX-DA+BT: TAFS,Avg_L,1.000000,2.145000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.885000
TREX-DA+BT: TAFS,FDR,2.000000,0.082274
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.128954
TREX-DA+BT: TAFS,TPR,2.000000,0.840000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.189153
TREX-DA+BT: TAFS,Avg_L,2.000000,1.655000
TREX-DA+BT: TAFS,Avg_T,2.000000,6.570000
TREX-DA+BT: TAFS,FDR,5.000000,0.060863
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.111498
TREX-DA+BT: TAFS,TPR,5.000000,0.838000
