solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.020000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.140351
TREX-DA+BT: TLARS,TPR,0.100000,0.004000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.028070
TREX-DA+BT: TLARS,Avg_L,0.100000,1.355000
TREX-DA+BT: TLARS,Avg_T,0.100000,13.020000
TREX-DA+BT: TLARS,FDR,0.200000,0.033333
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.161995
TREX-DA+BT: TLARS,TPR,0.200000,0.022000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.065861
TREX-DA+BT: TLARS,Avg_L,0.200000,2.150000
TREX-DA+BT: TLARS,Avg_T,0.200000,11.170000
TREX-DA+BT: TLARS,FDR,0.500000,0.076167
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.225289
TREX-DA+BT: TLARS,TPR,0.500000,0.194000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.207314
TREX-DA+BT: TLARS,Avg_L,0.500000,3.360000
TREX-DA+BT: TLARS,Avg_T,0.500000,8.715000
TREX-DA+BT: TLARS,FDR,0.600000,0.055417
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.148808
TREX-DA+BT: TLARS,TPR,0.600000,0.273000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.217040
TREX-DA+BT: TLARS,Avg_L,0.600000,3.155000
TREX-DA+BT: TLARS,Avg_T,0.600000,7.690000
TREX-DA+BT: TLARS,FDR,1.000000,0.058083
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.154768
TREX-DA+BT: TLARS,TPR,1.000000,0.549000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.258327
TREX-DA+BT: TLARS,Avg_L,1.000000,2.470000
TREX-DA+BT: TLARS,Avg_T,1.000000,13.020000
TREX-DA+BT: TLARS,FDR,2.000000,0.028595
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.085255
TREX-DA+BT: TLARS,TPR,2.000000,0.757000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.233718
TREX-DA+BT: TLARS,Avg_L,2.000000,1.855000
TREX-DA+BT: TLARS,Avg_T,2.000000,18.635000
TREX-DA+BT: TLARS,FDR,5.000000,0.016417
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.062884
TREX-DA+BT: TLARS,TPR,5.000000,0.820000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.197471
TREX-DA+BT: TLARS,Avg_L,5.000000,1.755000
TREX-DA+BT: TLARS,Avg_T,5.000000,27.325000
TREX-DA+BT: TAFS,FDR,0.100000,0.010000
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.099748
TREX-DA+BT: TAFS,TPR,0.100000,0.004000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.028070
TREX-DA+BT: TAFS,Avg_L,0.100000,1.420000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.395000
TREX-DA+BT: TAFS,FDR,0.200000,0.045833
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.203910
TREX-DA+BT: TAFS,TPR,0.200000,0.021000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.064652
TREX-DA+BT: TAFS,Avg_L,0.200000,2.125000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.895000
TREX-DA+BT: TAFS,FDR,0.500000,0.069167
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.192559
TREX-DA+BT: TAFS,TPR,0.500000,0.221000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.231575
TREX-DA+BT: TAFS,Avg_L,0.500000,3.190000
TREX-DA+BT: TAFS,Avg_T,0.500000,5.530000
TREX-DA+BT: TAFS,FDR,0.600000,0.076750
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.170663
TREX-DA+BT: TAFS,TPR,0.600000,0.287000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.243573
TREX-DA+BT: TAFS,Avg_L,0.600000,3.105000
TREX-DA+BT: TAFS,Avg_T,0.600000,5.210000
TREX-DA+BT: TAFS,FDR,1.000000,0.075333
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.149716
TREX-DA+BT: TAFS,TPR,1.000000,0.640000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.277099
TREX-DA+BT: TAFS,Avg_L,1.000000,2.230000
TREX-DA+BT: TAFS,Avg_T,1.000000,5.720000
TREX-DA+BT: TAFS,FDR,2.000000,0.054762
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.115075
TREX-DA+BT: TAFS,TPR,2.000000,0.825000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.221405
TREX-DA+BT: TAFS,Avg_L,2.000000,1.720000
TREX-DA+BT: TAFS,Avg_T,2.000000,6.665000
TREX-DA+BT: TAFS,FDR,5.000000,0.018250
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.065709
TREX-DA+BT: TAFS,TPR,5.000000,0.825000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.177008
TREX-DA+BT: TAFS,Avg_L,5.000000,1.635000
TREX-DA+BT: TAFS,Avg_T,5.000000,7.295000
TREX-DA+BT: TOMP,FDR,0.100000,0.022500
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.144388
TREX-DA+BT: TOMP,TPR,0.100000,0.007000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.036848
TREX-DA+BT: TOMP,Avg_L,0.100000,1.465000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.330000
TREX-DA+BT: TOMP,FDR,0.200000,0.042500
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.199103
TREX-DA+BT: TOMP,TPR,0.200000,0.021000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.061465
TREX-DA+BT: TOMP,Avg_L,0.200000,2.130000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.265000
TREX-DA+BT: TOMP,FDR,0.500000,0.091583
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.224864
TREX-DA+BT: TOMP,TPR,0.500000,0.207000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.203860
TREX-DA+BT: TOMP,Avg_L,0.500000,3.390000
TREX-DA+BT: TOMP,Avg_T,0.500000,6.740000
TREX-DA+BT: TOMP,FDR,0.600000,0.073000
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.165806
TREX-DA+BT: TOMP,TPR,0.600000,0.307000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.243820
TREX-DA+BT: TOMP,Avg_L,0.600000,3.245000
TREX-DA+BT: TOMP,Avg_T,0.600000,6.455000
TREX-DA+BT: TOMP,FDR,1.000000,0.081583
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.154446
TREX-DA+BT: TOMP,TPR,1.000000,0.691000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.266598
TREX-DA+BT: TOMP,Avg_L,1.000000,2.095000
TREX-DA+BT: TOMP,Avg_T,1.000000,6.630000
TREX-DA+BT: TOMP,FDR,2.000000,0.048833
TREX-DA+BT: TOMP,sd_FDR,2.000000,0.117156
TREX-DA+BT: TOMP,TPR,2.000000,0.881000
TREX-DA+BT: TOMP,sd_TPR,2.000000,0.198585
TREX-DA+BT: TOMP,Avg_L,2.000000,1.450000
TREX-DA+BT: TOMP,Avg_T,2.000000,6.775000
TREX-DA+BT: TOMP,FDR,5.000000,0.024440
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.064611
TREX-DA+BT: TOMP,TPR,5.000000,0.978000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.068845
TREX-DA+BT: TOMP,Avg_L,5.000000,1.305000
TREX-DA+BT: TOMP,Avg_T,5.000000,7.020000
