solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.145833
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.346852
TREX-DA+BT: TLARS,TPR,0.100000,0.007000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.036848
TREX-DA+BT: TLARS,Avg_L,0.100000,2.100000
TREX-DA+BT: TLARS,Avg_T,0.100000,8.035000
TREX-DA+BT: TLARS,FDR,0.200000,0.167500
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.353355
TREX-DA+BT: TLARS,TPR,0.200000,0.046000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.099668
TREX-DA+BT: TLARS,Avg_L,0.200000,2.660000
TREX-DA+BT: TLARS,Avg_T,0.200000,8.560000
TREX-DA+BT: TLARS,FDR,0.500000,0.186194
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.293167
TREX-DA+BT: TLARS,TPR,0.500000,0.294000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.257479
TREX-DA+BT: TLARS,Avg_L,0.500000,2.945000
TREX-DA+BT: TLARS,Avg_T,0.500000,9.865000
TREX-DA+BT: TLARS,FDR,0.600000,0.168345
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.257332
TREX-DA+BT: TLARS,TPR,0.600000,0.369000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.272046
TREX-DA+BT: TLARS,Avg_L,0.600000,2.895000
TREX-DA+BT: TLARS,Avg_T,0.600000,7.910000
TREX-DA+BT: TLARS,FDR,1.000000,0.116012
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.181104
TREX-DA+BT: TLARS,TPR,1.000000,0.605000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.287381
TREX-DA+BT: TLARS,Avg_L,1.000000,2.365000
TREX-DA+BT: TLARS,Avg_T,1.000000,10.800000
TREX-DA+BT: TLARS,FDR,2.000000,0.121663
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.158630
TREX-DA+BT: TLARS,TPR,2.000000,0.777000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.206602
TREX-DA+BT: TLARS,Avg_L,2.000000,1.745000
TREX-DA+BT: TLARS,Avg_T,2.000000,10.595000
TREX-DA+BT: TLARS,FDR,5.000000,0.102492
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.155098
TREX-DA+BT: TLARS,TPR,5.000000,0.794000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.211156
TREX-DA+BT: TLARS,Avg_L,5.000000,1.415000
TREX-DA+BT: TLARS,Avg_T,5.000000,12.310000
TREX-DA+BT: TAFS,FDR,0.100000,0.138333
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.337127
TREX-DA+BT: TAFS,TPR,0.100000,0.012000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.047617
TREX-DA+BT: TAFS,Avg_L,0.100000,2.220000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.610000
TREX-DA+BT: TAFS,FDR,0.200000,0.181667
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.360760
TREX-DA+BT: TAFS,TPR,0.200000,0.047000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.107932
TREX-DA+BT: TAFS,Avg_L,0.200000,2.800000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.740000
TREX-DA+BT: TAFS,FDR,0.500000,0.167706
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.280207
TREX-DA+BT: TAFS,TPR,0.500000,0.326000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.287292
TREX-DA+BT: TAFS,Avg_L,0.500000,2.965000
TREX-DA+BT: TAFS,Avg_T,0.500000,5.560000
TREX-DA+BT: TAFS,FDR,0.600000,0.157387
TREX-DA+BT: TAFS,sd_FDR,0.600000,0.244073
TREX-DA+BT: TAFS,TPR,0.600000,0.418000
TREX-DA+BT: TAFS,sd_TPR,0.600000,0.308792
TREX-DA+BT: TAFS,Avg_L,0.600000,2.830000
TREX-DA+BT: TAFS,Avg_T,0.600000,5.875000
TREX-DA+BT: TAFS,FDR,1.000000,0.115015
TREX-DA+BT: TAFS,sd_FDR,1.000000,0.171438
TREX-DA+BT: TAFS,TPR,1.000000,0.715000
TREX-DA+BT: TAFS,sd_TPR,1.000000,0.290857
TREX-DA+BT: TAFS,Avg_L,1.000000,1.960000
TREX-DA+BT: TAFS,Avg_T,1.000000,6.065000
TREX-DA+BT: TAFS,FDR,2.000000,0.127873
TREX-DA+BT: TAFS,sd_FDR,2.000000,0.154802
TREX-DA+BT: TAFS,TPR,2.000000,0.852000
TREX-DA+BT: TAFS,sd_TPR,2.000000,0.177351
TREX-DA+BT: TAFS,Avg_L,2.000000,1.485000
TREX-DA+BT: TAFS,Avg_T,2.000000,6.460000
TREX-DA+BT: TAFS,FDR,5.000000,0.111413
TREX-DA+BT: TAFS,sd_FDR,5.000000,0.154283
TREX-DA+BT: TAFS,TPR,5.000000,0.811000
TREX-DA+BT: TAFS,sd_TPR,5.000000,0.159393
TREX-DA+BT: TAFS,Avg_L,5.000000,1.405000
TREX-DA+BT: TAFS,Avg_T,5.000000,6.525000
TREX-DA+BT: TOMP,FDR,0.100000,0.135000
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.335167
TREX-DA+BT: TOMP,TPR,0.100000,0.013000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.053341
TREX-DA+BT: TOMP,Avg_L,0.100000,2.190000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.250000
TREX-DA+BT: TOMP,FDR,0.200000,0.169167
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.355415
TREX-DA+BT: TOMP,TPR,0.200000,0.045000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.105025
TREX-DA+BT: TOMP,Avg_L,0.200000,2.835000
TREX-DA+BT: TOMP,Avg_T,0.200000,6.840000
TREX-DA+BT: TOMP,FDR,0.500000,0.174556
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.287631
TREX-DA+BT: TOMP,TPR,0.500000,0.319000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.296104
TREX-DA+BT: TOMP,Avg_L,0.500000,3.045000
TREX-DA+BT: TOMP,Avg_T,0.500000,6.270000
TREX-DA+BT: TOMP,FDR,0.600000,0.198518
TREX-DA+BT: TOMP,sd_FDR,0.600000,0.286347
TREX-DA+BT: TOMP,TPR,0.600000,0.413000
TREX-DA+BT: TOMP,sd_TPR,0.600000,0.307414
TREX-DA+BT: TOMP,Avg_L,0.600000,2.725000
TREX-DA+BT: TOMP,Avg_T,0.600000,6.475000
TREX-DA+BT: TOMP,FDR,1.000000,0.125571
TREX-DA+BT: TOMP,sd_FDR,1.000000,0.175263
TREX-DA+BT: TOMP,TPR,1.000000,0.740000
TREX-DA+BT: TOMP,sd_TPR,1.000000,0.289862
TREX-DA+BT: TOMP,Avg_L,1.000000,1.895000
TREX-DA+BT: TOMP,Avg_T,1.000000,6.875000
TREX-DA+BT: TOMP,FDR,2.000000,0.125002
TREX-DA+BT: TOMP,sd_FDR,2.000000,0.137784
TREX-DA+BT: TOMP,TPR,2.000000,0.908000
TREX-DA+BT: TOMP,sd_TPR,2.000000,0.156391
TREX-DA+BT: TOMP,Avg_L,2.000000,1.295000
TREX-DA+BT: TOMP,Avg_T,2.000000,7.080000
TREX-DA+BT: TOMP,FDR,5.000000,0.111369
TREX-DA+BT: TOMP,sd_FDR,5.000000,0.139882
TREX-DA+BT: TOMP,TPR,5.000000,0.960000
TREX-DA+BT: TOMP,sd_TPR,5.000000,0.125213
TREX-DA+BT: TOMP,Avg_L,5.000000,1.115000
TREX-DA+BT: TOMP,Avg_T,5.000000,6.915000
