solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.135833
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.336284
TREX-DA+BT: TLARS,TPR,0.100000,0.010000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.043698
TREX-DA+BT: TLARS,Avg_L,0.100000,2.145000
TREX-DA+BT: TLARS,Avg_T,0.100000,7.975000
TREX-DA+BT: TLARS,FDR,0.200000,0.169000
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.360474
TREX-DA+BT: TLARS,TPR,0.200000,0.042000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.101427
TREX-DA+BT: TLARS,Avg_L,0.200000,2.565000
TREX-DA+BT: TLARS,Avg_T,0.200000,8.230000
TREX-DA+BT: TLARS,FDR,0.500000,0.186115
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.282344
TREX-DA+BT: TLARS,TPR,0.500000,0.305000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.259057
TREX-DA+BT: TLARS,Avg_L,0.500000,3.080000
TREX-DA+BT: TLARS,Avg_T,0.500000,11.645000
TREX-DA+BT: TLARS,FDR,0.600000,0.188301
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.274653
TREX-DA+BT: TLARS,TPR,0.600000,0.380000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.280703
TREX-DA+BT: TLARS,Avg_L,0.600000,2.955000
TREX-DA+BT: TLARS,Avg_T,0.600000,7.745000
TREX-DA+BT: TLARS,FDR,1.000000,0.134214
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.194480
TREX-DA+BT: TLARS,TPR,1.000000,0.613000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.280758
TREX-DA+BT: TLARS,Avg_L,1.000000,2.275000
TREX-DA+BT: TLARS,Avg_T,1.000000,7.860000
TREX-DA+BT: TLARS,FDR,2.000000,0.123315
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.141550
TREX-DA+BT: TLARS,TPR,2.000000,0.793000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.197855
TREX-DA+BT: TLARS,Avg_L,2.000000,1.655000
TREX-DA+BT: TLARS,Avg_T,2.000000,9.520000
TREX-DA+BT: TLARS,FDR,5.000000,0.124218
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.156669
TREX-DA+BT: TLARS,TPR,5.000000,0.810000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.210049
TREX-DA+BT: TLARS,Avg_L,5.000000,1.425000
TREX-DA+BT: TLARS,Avg_T,5.000000,11.755000
TREX-DA+BT: TAFS,FDR,0.100000,0.157500
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.359988
TREX-DA+BT: TAFS,TPR,0.100000,0.008000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.039290
TREX-DA+BT: TAFS,Avg_L,0.100000,2.145000
TREX-DA+BT: TAFS,Avg_T,0.100000,5.570000
TREX-DA+BT: TAFS,FDR,0.200000,0.186667
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.367040
TREX-DA+BT: TAFS,TPR,0.200000,0.045000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.105025
TREX-DA+BT: TAFS,Avg_L,0.200000,2.750000
TREX-DA+BT: TAFS,Avg_T,0.200000,5.350000
TREX-DA+BT: TAFS,FDR,0.500000,0.186333
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.283103
TREX-DA+BT: TAFS,TPR,0.500000,0.341000
